Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"جدول رقم  (20): قيم أصول الصناديق العامة مصنفة حسب نوع الاستثمار 
Table (20): Values of Public Funds Assets Classified by Type of Investment ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,," (مليون ريال)
 (Million Riyals)"
نهاية الفترة,أسهم,أدوات دين,أسواق نقد,عقاري,قابض,متوازن,صناديق المؤشرات المتداولة  ,صناديق الاستثمار العقاري المتداولة  ,متعدد الأصول,الوقفي,مغذي,المغلقة المتداولة,سلع,أخرى,الإجمالي
End of Period,Equities,Debt Instruments,Money Markets,Real Estates,Fund of Funds,Balanced,ETFS,REITs,Multi-asset,Endowments,Feeder Fund,CEFs,Commodities,Others,Total
"النصف الأول عام 2013م
First half 2013",30022.34,640.93,63486.03,3082.49,2656.99,115.36,81.01,0,-,-,-,-,-,136.37,100221.52
"النصف الثاني عام 2013م
Second half 2013",34441.3,563.3,60945.8,4131.1,2797.9,130.5,58.66,0,-,-,-,-,-,111.3,103179.86
"النصف الأول عام 2014م
First half 2014",38002.35,503.75,69020.76,5044.83,2988.35,140.98,50.42,0,-,-,-,-,-,165.55,115916.99
"النصف الثاني عام 2014م
Second half 2014",35585.43,641.88,66381.63,4975.47,2837.21,124.57,55.93,0,-,-,-,-,-,108.7,110710.82
"النصف الأول عام  2015م
First half 2015",43831.32,806.52,67692.54,4497.87,2912.69,117.96,53.8,0,-,-,-,-,-,66.35,119979.05
"الربع الثالث عام  2015م
Third quarter 2015",35118.86,850.2,70117.43,4493.04,2749.41,97.05,45.36,0,-,-,-,-,-,51.33,113522.68
"الربع الرابع عام  2015م
Fourth quarter 2015",33011.56,831.31,61713.29,4430.51,2726.95,91.85,35.33,0,-,-,-,-,-,57.35,102898.15
"الربع الأول عام  2016م
First quarter 2016",26855.8594137,937.911917533,56344.7483812,4283.37755779,2596.63165049,86.39595835,32.69,0,-,-,-,-,-,56.0546144841,91193.6694936
"الربع الثاني عام  2016م
Second quarter 2016",26639.9895472,916.850421873,54607.7660884,4172.7140748,2566.39329894,85.875303115,35.37,0,-,-,-,-,-,185.486657848,89210.4453922
"الربع الثالث عام  2016م
Third quarter 2016",20407.8246678,983.771547016,53499.4938154,4042.41859592,2592.53554254,80.92483464,32.25920704,0,-,-,-,-,-,177.33408647,81816.5622968
"الربع الرابع عام  2016م
Fourth quarter 2016",22444.0138152,848.723063194,57497.5585625,3610.29819045,2584.8841472,82.499883725,36.47785031,555,-,-,-,-,-,176.161607771,87835.6171203
"الربع الأول عام  2017م
First quarter 2017",21886.8055835,819.84604701,74851.7304361,3318.3522928,2587.71852477,80.305695615,35.16994145,766.0,-,-,-,-,-,185.660909016,104531.58943
