Unnamed: 0,Table(7): Number of Public Funds by Type of Investment,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"العام
Year","الأسهم
 Equities","أدوات الدين
Debt Instruments","أسواق النقد
Money Markets ","عقاري
Real Estate","قابض
Fund of Funds","متوازن
Balanced","رأس المال المحمي
Protected Capital","صناديق المؤشرات المتداولة
ETFs","صناديق الاستثمار العقاري المتداولة
REITs","أخرى
Other","الإجمالي
Total"
2007,122,11,49,4,33,-,-,-,-,14,233
2008,135,7,57,4,34,-,-,-,-,25,262
2009,151,6,61,6,30,2,3,-,-,7,266
2010,154,6,56,6,27,2,8,2,-,8,269
2011,150,7,50,10,43,2,5,3,-,5,275
2012,138,9,47,10,43,3,2,3,-,4,259
2013,141,8,45,13,41,2,-,3,-,4,257
2014,150,9,46,11,41,2,-,3,-,4,266
2015,169,9,44,10,30,2,-,3,-,3,270
2016,168,8,44,12,32,2,-,3,1,5,275
2017,161,8,44,11,32,2,-,3,7,5,273
2018,141,5,43,10,25,2,-,3,16,4,249
2019,137,7,46,9,25,2,-,3,17,7,253
2020,128,12,43,10,23,2,-,6,17,13,254
2021,129,14,42,8,22,-,-,6,17,18,256
2022,123,13,43,5,24,-,-,7,18,20,253
2023,132,18,46,4,25,1,-,9,19,37,291
2024,144,21,47,3,30,1,-,12,20,47,325
