id,field_id,value,count,percentage
1,107,Q1,17,18.89
2,107,Q2,17,18.89
3,107,Q3,17,18.89
4,107,Q4,17,18.89
5,107,القائمة الرئيسية   Main List,1,1.11
6,107,Table 12e: Real Estate Loans by Banks,1,1.11
7,107,(Million ﷼),1,1.11
8,107,نهاية الفترة,1,1.11
9,107,End of Period,1,1.11
10,107,2009,1,1.11
11,107,2010,1,1.11
12,107,2011,1,1.11
13,107,2012,1,1.11
14,107,2013,1,1.11
15,107,2014,1,1.11
16,107,2015-12-31T00:00:00,1,1.11
17,107,2016-12-31T00:00:00,1,1.11
18,107,2017-12-31T00:00:00,1,1.11
19,107,2018-12-31T00:00:00,1,1.11
20,107,2019-12-31T00:00:00,1,1.11
21,107,2020-12-31T00:00:00,1,1.11
22,107,2021-12-31T00:00:00,1,1.11
23,107,2022-12-31T00:00:00,1,1.11
24,107,2023-12-31T00:00:00,1,1.11
25,107,2024-12-31T00:00:00,1,1.11
26,107,2025-12-31T00:00:00,1,1.11
27,121,Q1,28,19.18
28,121,Q2,28,19.18
29,121,Q3,28,19.18
30,121,Q4,28,19.18
31,121,القائمة الرئيسية   Main List,1,0.68
32,121,Table 13a: Consumer and Credit Card Loans*,1,0.68
33,121,(Million ﷼),1,0.68
34,121,نهاية الفترة,1,0.68
35,121,End of Period,1,0.68
36,121,1998,1,0.68
37,121,1999,1,0.68
38,121,2000,1,0.68
39,121,2001,1,0.68
40,121,2002,1,0.68
41,121,2003,1,0.68
42,121,2004,1,0.68
43,121,2005,1,0.68
44,121,2006,1,0.68
45,121,2007,1,0.68
46,121,2008,1,0.68
47,121,2009,1,0.68
48,121,2010,1,0.68
49,121,2011,1,0.68
50,121,2012,1,0.68
51,121,2013,1,0.68
52,121,2014,1,0.68
53,121,2015-12-31T00:00:00,1,0.68
54,121,2016-12-31T00:00:00,1,0.68
55,121,2017-12-31T00:00:00,1,0.68
56,121,2018-12-31T00:00:00,1,0.68
57,121,2019-12-31T00:00:00,1,0.68
58,121,2020-12-31T00:00:00,1,0.68
59,121,2021-12-31T00:00:00,1,0.68
60,121,2022-12-31T00:00:00,1,0.68
61,121,2023-12-31T00:00:00,1,0.68
62,121,2024-12-31T00:00:00,1,0.68
63,121,2025-12-31T00:00:00,1,0.68
64,121,"*Real estate financing, finance leasing, and margin lending are excluded.",1,0.68
65,125,---,83,58.04
66,125,5455.163,2,1.4
67,125,4911.855,2,1.4
68,125,4821.814,2,1.4
69,125,10783.908,2,1.4
70,125,12498.68,2,1.4
71,125,12462.085,2,1.4
72,125,12012.415,2,1.4
73,125,12214.314,2,1.4
74,125,8680.021,2,1.4
75,125,7889.437,2,1.4
76,125,8516.956,2,1.4
77,125,10380.239,2,1.4
78,125,أثاث وسلع معمرة,1,0.7
79,125,Furniture and,1,0.7
80,125,Durable Goods,1,0.7
81,125,5313.142,1,0.7
82,125,5344.039,1,0.7
83,125,5116.512,1,0.7
84,125,5116.962,1,0.7
85,125,5508.491,1,0.7
86,125,5062.722,1,0.7
87,125,4366.548,1,0.7
88,125,3989.769,1,0.7
89,125,4815.333,1,0.7
90,125,11021.357,1,0.7
91,125,11115.32,1,0.7
92,125,11383.089,1,0.7
93,125,12341.876,1,0.7
94,125,12245.26,1,0.7
95,125,12293.388,1,0.7
96,125,12631.224,1,0.7
97,125,12601.342,1,0.7
98,125,12467.558,1,0.7
99,125,12390.113,1,0.7
100,125,12616.508,1,0.7
101,125,12947.048,1,0.7
102,125,8392.339,1,0.7
103,125,8687.475,1,0.7
104,125,8681.866,1,0.7
105,125,8376.261,1,0.7
106,125,8089.204,1,0.7
107,125,7967.418,1,0.7
108,125,8000.294,1,0.7
109,125,8032.829,1,0.7
110,125,8266.143,1,0.7
111,125,8680.879,1,0.7
112,125,8885.688,1,0.7
113,125,9175.737,1,0.7
114,126,---,83,58.45
115,126,414.45,2,1.41
116,126,636.639,2,1.41
117,126,957.62,2,1.41
118,126,3722.451,2,1.41
119,126,3522.2,2,1.41
120,126,3239.001,2,1.41
121,126,4167.531,2,1.41
122,126,5168.441,2,1.41
123,126,6346.741,2,1.41
124,126,7461.561,2,1.41
125,126,8177.541,2,1.41
126,126,8008.024,2,1.41
127,126,تعليم,1,0.7
128,126,Education,1,0.7
129,126,460.397,1,0.7
130,126,519.694,1,0.7
131,126,532.623,1,0.7
132,126,712.891,1,0.7
133,126,817.764,1,0.7
134,126,824.192,1,0.7
135,126,1023.098,1,0.7
136,126,1133.833,1,0.7
