id,file_id,row_number,raw_line,parsed_json
1,1,1,"أخرى,الباحة (مقرالامارة),الباحة,أخرى,192","{""أدوات البناء"": ""أخرى"", ""المحافظة"": ""الباحة (مقرالامارة)"", ""المنطقة"": ""الباحة"", ""نوع المنزل"": ""أخرى"", ""عدد المنازل"": ""192""}"
2,1,2,"البلك/ الطوب,الباحة (مقرالامارة),الباحة,أخرى,197","{""أدوات البناء"": ""البلك/ الطوب"", ""المحافظة"": ""الباحة (مقرالامارة)"", ""المنطقة"": ""الباحة"", ""نوع المنزل"": ""أخرى"", ""عدد المنازل"": ""197""}"
3,1,3,"الحجارة,الباحة (مقرالامارة),الباحة,أخرى,6","{""أدوات البناء"": ""الحجارة"", ""المحافظة"": ""الباحة (مقرالامارة)"", ""المنطقة"": ""الباحة"", ""نوع المنزل"": ""أخرى"", ""عدد المنازل"": ""6""}"
4,1,4,"الخرسانة/مسلح,الباحة (مقرالامارة),الباحة,أخرى,907","{""أدوات البناء"": ""الخرسانة/مسلح"", ""المحافظة"": ""الباحة (مقرالامارة)"", ""المنطقة"": ""الباحة"", ""نوع المنزل"": ""أخرى"", ""عدد المنازل"": ""907""}"
5,1,5,"الطين,الباحة (مقرالامارة),الباحة,أخرى,3","{""أدوات البناء"": ""الطين"", ""المحافظة"": ""الباحة (مقرالامارة)"", ""المنطقة"": ""الباحة"", ""نوع المنزل"": ""أخرى"", ""عدد المنازل"": ""3""}"
6,1,6,"أخرى,الحجرة,الباحة,أخرى,47","{""أدوات البناء"": ""أخرى"", ""المحافظة"": ""الحجرة"", ""المنطقة"": ""الباحة"", ""نوع المنزل"": ""أخرى"", ""عدد المنازل"": ""47""}"
7,1,7,"البلك/ الطوب,الحجرة,الباحة,أخرى,18","{""أدوات البناء"": ""البلك/ الطوب"", ""المحافظة"": ""الحجرة"", ""المنطقة"": ""الباحة"", ""نوع المنزل"": ""أخرى"", ""عدد المنازل"": ""18""}"
8,1,8,"الخرسانة/مسلح,الحجرة,الباحة,أخرى,48","{""أدوات البناء"": ""الخرسانة/مسلح"", ""المحافظة"": ""الحجرة"", ""المنطقة"": ""الباحة"", ""نوع المنزل"": ""أخرى"", ""عدد المنازل"": ""48""}"
9,1,9,"أخرى,العقيق,الباحة,أخرى,201","{""أدوات البناء"": ""أخرى"", ""المحافظة"": ""العقيق"", ""المنطقة"": ""الباحة"", ""نوع المنزل"": ""أخرى"", ""عدد المنازل"": ""201""}"
10,1,10,"البلك/ الطوب,العقيق,الباحة,أخرى,59","{""أدوات البناء"": ""البلك/ الطوب"", ""المحافظة"": ""العقيق"", ""المنطقة"": ""الباحة"", ""نوع المنزل"": ""أخرى"", ""عدد المنازل"": ""59""}"
11,2,1,"سعودي,الباحة (مقرالامارة),الباحة,1,1746","{""الجنسية"": ""سعودي"", ""المحافظة"": ""الباحة (مقرالامارة)"", ""المنطقة"": ""الباحة"", ""حجم السكن"": ""1"", ""الأسر"": ""1746""}"
