,,,,,
,,,,,
,,,,,
,المتوسط السنوي للرقم القياسي العام والأقسام والمجموعات والفصول,,,,
,"Annual Average of General Index & Divis,Groups & Classes",,,,
,جدول 10-5, ( 2007 = 100 ),,,Table10-5
,الرقــم القـياسـى الـعــــام,المتوسط السنوى للرقم القياسى لعام,,نسبة التغير بين عام 2012 و 2013,General index and 
,والأقــسـام  الرئيــسية ومجموعات الإنفاق,Annual Average Index for,, Percent change , Main  Divisions & Expenditure Groups
,,2012,2013,from 2012 To 2013,
,الرقم القياسي العام,122.4,126.7,3.5,General Index
,الأغذية والمشروبات,132.7,140.5,5.8,FOOD AND BEVERAGES
,الأغذية,133.8,142,6.1,FOOD
,الخبز والحبوب,117,128,9.4,Bread and cereals
,اللحوم والدواجن,144,152.9,6.2,Meat and poultry
,السمك وطعام البحر,164.7,173.3,5.2,Fish and seafood
,الألبان والأجبان والبيض,131.4,135.1,2.8,"Milk, cheese and eggs"
,الزيوت والدهون,139.1,147,5.7,Oils and fats
,الفواكه والمكسرات,114.3,124.1,8.6,Fruit and nuts
,الخضار,127,137.8,8.5,Vegetables
,السكر والمربي والعسل والشكولاته والحلويات,133.7,138.7,3.7,"Sugar, jam, honey, chocolate & sweets"
,منتجات غذائية غير مصنفة في مكان آخر,137.8,137.7,-0.1,Food products not classified elsewhere
,المشروبات,120.1,123.1,2.4,BEVERAGES
,القهوة والشاي والكاكاو ,133.7,137.5,2.9,"Coffee, tea and cocoa"
,المياه المعدنية والمرطبات والعصيرات,112.4,114.9,2.2,"Mineral waters, soft drinks fruit- & veg"
,التبغ,141.3,153.1,8.4,TOBACCO
,التبغ,141.3,153.1,8.4,TOBACCO
,التبغ,142.3,153.1,7.6,TOBACCO
,الرقــم القـياسـى الـعــــام,المتوسط السنوى للرقم القياسى لعام,,نسبة التغير بين عام 2012 و 2013,General index and 
,والأقــسـام  الرئيــسية ومجموعات الإنفاق,Annual Average Index for,, Percent change , Main  Divisions & Expenditure Groups
,,2012,2013,from 2012 To 2013,
,الملابس والاحذية,103.3,104.8,1.4,CLOTHING AND FOOTWEAR
,الملابس,103,104.7,1.7,CLOTHING
,مواد الملابس,103.5,110.5,6.8,Clothing materials
,الملابس الجاهزة ,101.8,102.8,1,Garments
,مواد أخرى من الملابس وأكسسواراتها,109.3,117.9,7.9,Other articles of clothing & accessories
,خياطة الملابس وتنظيفها وإصلاحها,109.9,110.3,0.4,"Tailoring , Cleaning & repair of cloths "
,الأحذية,105.2,105.4,0.2,FOOTWEAR
,الأحذية وملبوسات القدم,105.3,105.4,0.2,Shoes and other footwear
,تصليح وتلميع الأحذية,102.4,104.5,2.1,Repair and hire of footwear
,السكن والمياه والكهرباء والغاز وأنواع الوقود الاخرى,148.7,153.8,3.5,"HOUSING, WATER, ELECTRI-CITY , GAS AND OTHER FUELS"
,الإيجار للسكن,161.5,167.8,3.9,RENTALS FOR HOUSING
,الإيجار للسكن,161.5,167.8,3.9,Rentals for housing
,صيانة واصلاح المسكن,124.1,128,3.1,MAITENANCE OF THE DEWELLING
,مواد وإصلاح المسكن,127.8,128.2,0.3,Materials for the maintenance & of dwelling
,خدمات إصلاح المسكن,118.2,127.6,7.9,Services for the maintenance & of dwelling
,المياه والخدمات المتصلة بالمسكن,106.6,108.1,1.4,WATER SUPPLY & OTHER SERVICES
,مصاريف المياه,102.8,104.3,1.5,Water supply
,جمع النفايات,124.3,128.5,3.4,Refuse collection
,الصرف الصحي,122.1,123.6,1.2,Sewage collection
,الكهرباء والغاز وأنواع الوقود الأخرى,100.6,100.9,0.3,"ELECTRICITY, GAS AND OTHER FUELS"
,الكهرباء,100,100,0,Electricity
,الغاز,99.9,99.9,0,Gas
,الوقود السائل,98.6,99.4,0.9,Liquid fuels
,الوقود الصلب,121.5,129.2,6.4,Solid fuels
,تأثيث وتجهيزات المنزل وصيانتها,117.5,122.6,4.3,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND MAINTENANCE "
,الأثاث والسجاد,109.1,111.5,2.2,FURNITURE & CARPETS
,الأثاث والمفروشات,108.5,110.3,1.7,Furniture and furnishings
,السجاد وأغطية أرضية أخرى,110.9,116.3,4.9,Carpets and other floor coverings
,إصلاح الأثاث والمفروشات,121.6,120,-1.3,Repair of furniture & furnishings
,المنسوجات المنزلية,111.3,119.2,7.1,HOUSEHOLD TEXTILES
,المنسوجات المنزلية,111.3,119.2,7.1,Household textiles
,الأجهزة المنزلية,114,116.3,2,HOUSEHOLD APPLIANCES
,الأجهزة المنزلية المعمرة,114.2,117.1,2.5,Major household appliances
,أجهزة منزلية كهربائية صغيرة,114.9,116.5,1.4,Small electric household appliances
,إصلاح أجهزة منزلية,99.9,103,3.2,Repair of household appliances
,أدوات منزلية,110.5,120.8,9.3,HOUSEHOLD UTENSILS
,أواني وأدوات منزلية,110.5,120.8,9.3,household utensils
,أدوات وأجهزة للمنزل والحديقة,113.6,116.1,2.2,TOOLS FOR HOUSE & GARDEN
,الأدوات والمعدات الرئيسية,108.8,119.6,9.9,Major tools and equipment
,أدوات صغيرة وملحقاتها المتنوعة,113.9,115.8,1.6,Small tools and miscellaneous accessories
,الرقــم القـياسـى الـعــــام,المتوسط السنوى للرقم القياسى لعام,,نسبة التغير بين عام 2012 و 2013,General index and 
,والأقــسـام  الرئيــسية ومجموعات الإنفاق,Annual Average Index for,, Percent change , Main  Divisions & Expenditure Groups
,,2012,2013,from 2012 To 2013,
,سلع وخدمات لصيانة المنزل,135,143.6,6.4,GOODS FOR HOUSEHOLD MAINTENANCE
,سلع منزلية غير معمرة,113.7,119.1,4.8,Non-durable household goods
,الخدمات المنزلية والأسرية,145.1,155.1,6.9,Domestic & household services
,الصحة,105.6,109,3.2,HEALTH
,المنتجات والأجهزة والمعدات الطبية,101.4,108.5,7,MEDICAL PRODUCTS & EQUIPMENT
,المنتجات الصيدلانية,102,112.1,9.9,Pharmaceutical products
,منتجات طبية اخرى,113.8,120.8,6.2,Other medical products
,الاجهزة والمعدات العلاجية,98.2,99.8,1.7,Therapeutic appliances and equipment
,خدمات المرضى,105.8,106.4,0.6,OUTPATIENT SERVICES
,الخدمات الطبية,111.9,112.8,0.8,Medical services
,خدمات طب الأسنان,101.4,101,-0.4,Dental Services
,الخدمات شبه الطبية,103.1,105.5,2.4,Paramedical services
,خدمات المستشفيات,112.9,115.3,2.1,HOSPITAL SERVICES
,خدمات المستشفيات,112.9,115.3,2.1,Hospital services
,النقل,108.3,111,2.5,TRANSPORT
,مشتريات المركبات,102.5,104.7,2.1,PURCHASE OF VEHICLES
,سيارات ,102.5,104.6,2.1,Motor cars
,درجات نارية,94.8,109.1,15,Motor cycles
,درجات هؤائية,109.7,118.7,8.2,Bicycles
