,,Year / Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Code,Item,2016 / 01,2016 / 02,2016 / 03,2016 / 04,2016 / 05,2016 / 06,2016 / 07,2016 / 08,2016 / 09,2016 / 10,2016 / 11,2016 / 12,2017 / 01,2017 / 02,2017 / 03,2017 / 04,2017 / 05,2017 / 06,2017 / 07,2017 / 08,2017 / 09,2017 / 10,2017 / 11,2017 / 12,2018 / 01,2018 / 02,2018 / 03,2018 / 04,2018 / 05,2018 / 06,2018 / 07,2018 / 08,2018 / 09,2018 / 10,2018 / 11,2018 / 12,2019 / 01,2019 / 02,2019 / 03,2019 / 04,2019 / 05,2019 / 06,2019 / 07,2019 / 08,2019 / 09,2019 / 10,2019 / 11,2019 / 12,2020 / 01,2020 / 02,2020 / 03,2020 / 04,2020 / 05,2020 / 06,2020 / 07,2020 / 08,2020 / 09,2020 / 10,2020 / 11,2020 / 12,2021 / 01,2021 / 02,2021 / 03,2021 / 04,2021 / 05,2021 / 06,2021 / 07,2021 / 08,2021 / 09,2021 / 10,2021 / 11,2021 / 12,2022 / 01,2022 / 02,2022 / 03,2022 / 04,2022 / 05,2022 / 06,2022 / 07,2022 / 08,2022 / 09,2022 / 10,2022 / 11,2022 / 12,2023 / 01,2023 / 02,2023 / 03,2023 / 04,2023 / 05,2023 / 06,2023 / 07,2023 / 08,2023 / 09
0,General Index,2.51774,2.58353,2.59072,2.52109,2.33391,2.26306,2.25891,2.05658,1.89916,1.55874,1.27799,0.97041,-0.52152,-0.57754,-0.73773,-0.65261,-0.73815,-0.53906,-0.78354,-0.73794,-0.78524,-1.15585,-1.69829,-1.11333,3.14456,2.94329,2.8681,2.49152,2.40081,2.32367,2.24768,2.27871,2.10047,2.14145,2.63193,1.90926,-3.16034,-3.23215,-3.20545,-2.8832,-2.6282,-2.59487,-2.18796,-1.8599,-1.41121,-0.88707,-0.8131,-0.18143,0.72701,1.2309,1.47859,1.30337,1.05674,0.52206,6.12495,6.16403,5.74304,5.75695,5.80217,5.32887,5.72329,5.24876,4.94789,5.25783,5.67513,6.1609,0.43286,0.26871,0.63443,0.81652,1.125,1.24313,1.17308,1.61741,2.04396,2.30029,2.23845,2.31175,2.67216,2.99579,3.0662,3.01096,2.92859,3.30287,3.35488,2.95595,2.73998,2.70016,2.77204,2.73767,2.31343,1.95149,1.68675
01,FOOD AND NON-ALCOHOLIC,0.21624,0.15799,-0.48347,-0.74664,-1.5208,-1.28507,-1.27389,-1.70354,-1.80136,-2.24533,-2.16285,-2.83757,-3.19733,-2.11969,-1.43764,-0.92052,-0.51808,-0.47699,-0.59553,-0.249,-0.3173,-0.32813,-0.20006,0.5136,6.85506,6.58136,5.95396,5.5713,5.23357,5.81346,6.51902,6.51902,6.86124,7.05466,7.62241,6.99811,2.07088,1.50409,2.10282,1.74644,2.59157,1.85411,1.14956,1.92679,2.17614,2.52559,2.36946,2.95078,1.89592,3.35511,3.9142,6.05042,6.95198,6.42111,14.30401,13.53016,12.61863,12.98413,12.99305,12.73325,12.33647,11.1558,10.17788,8.42733,7.44053,8.06959,1.18073,1.85998,2.40777,1.39388,1.60048,1.05489,2.04451,2.36044,2.96124,4.27306,4.24783,4.41,3.93526,4.01555,4.34125,4.35186,3.48749,4.16702,4.23535,3.11395,2.33943,1.03067,0.93843,0.99237,1.36863,0.35761,-0.24948
02,TOBACCO,1.47605,1.0587,16.56592,16.80909,16.70266,16.70266,16.85626,16.71362,16.69484,16.52272,16.70266,17.32187,16.63851,16.17248,0.95608,0.16882,0.24135,40.61947,40.61947,40.61947,40.40071,40.5253,40.22526,40.48329,53.98468,54.23495,53.83198,53.72445,53.69373,9.49571,9.56141,9.59426,10.38595,10.74846,10.80275,10.64508,1.55394,1.4526,1.24156,1.22216,1.27247,1.06237,1.06192,0.97149,0.45955,0.3197,0.53884,0.3598,1.2842,0.3853,0.73217,1.0101,1.0494,1.46913,12.47024,13.03355,13.33598,13.24715,13.28969,13.73054,11.99649,13.15815,13.08319,13.13725,13.2752,12.34592,1.16433,0.57961,0.34145,0.36745,0.13965,0.08717,-0.00871,-0.20873,-0.33006,-0.53726,-0.73517,-0.06095,0.13079,0.31433,0.33156,0.19177,0.11331,0.03484,0.03484,0.14816,0.20915,0.13068,0.10456,0.10456,0.07837,0.05222,0.09566
03,CLOTHING  AND FOOTWEAR,2.26935,2.20269,1.87469,1.7238,1.54832,2.34114,1.34871,0.49878,0.51511,-0.28082,-0.84319,-1.32842,-1.77326,-1.92326,-1.79177,-1.65585,-1.76751,-2.57593,-2.25651,-1.3624,-3.96442,-5.42824,-5.37582,-6.12225,-7.78119,-7.39292,-7.23688,-8.21144,-8.22755,-7.78131,-8.16867,-8.4638,-6.50838,-5.17396,-5.02107,-3.75824,-2.92335,-3.39556,-3.09637,-2.12203,-0.39561,-1.41128,-1.04538,-0.01465,-1.19689,-0.6948,-0.04176,-0.4248,0.56364,0.34829,0.3469,0.23443,-0.85496,-1.07983,5.54321,5.31328,6.0517,6.38634,6.0117,6.12556,6.12453,6.21682,5.57194,5.81655,5.85371,6.07019,-0.32527,-1.13279,-1.45288,-1.62044,-1.76577,-1.5794,-1.81486,-1.432,-1.16537,-0.70152,-1.68679,-1.25036,-1.16134,-0.93395,-0.98933,-1.24988,-1.28255,-1.39078,-1.55501,-2.18409,-2.2023,-2.10975,-2.22266,-2.8538,-3.91338,-4.15978,-3.59522
04,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",5.0905,5.52637,5.19578,5.22122,5.30338,5.23131,4.7526,4.79911,4.8213,4.41176,4.23119,3.61435,0.76247,-0.17783,-0.40863,-0.36526,-0.88511,-0.6192,-0.88786,-1.57969,-0.36406,-0.45463,-2.57363,-0.95618,1.17373,1.16706,1.05802,0.49921,-0.09329,-1.05959,-1.48024,-1.4671,-3.10358,-3.41866,-2.88917,-5.21676,-9.92053,-10.40105,-10.59537,-10.20535,-10.03245,-9.80057,-8.58023,-8.18269,-7.72202,-6.37756,-6.0589,-4.76368,-2.0921,-0.73769,-0.53406,-0.50317,-0.37293,-0.64964,0.16471,0.16505,-0.02201,-0.71285,-0.82244,-1.46496,-0.90318,-2.59016,-2.68464,-2.57256,-2.59826,-2.3163,-3.57378,-3.50434,-2.99362,-2.15835,-1.61719,-1.59769,-1.34489,-0.19073,0.23646,0.22568,0.48604,1.0211,1.95543,2.49317,3.2108,3.27518,4.72866,5.86312,6.61334,7.04811,7.36913,8.11754,8.4252,9.10827,8.64184,8.95257,8.14554
05,"FURNISHINGS, HOUSEHOLD EQUIPMENT",0.38918,0.33093,1.00694,0.84944,0.85036,0.51712,0.41964,-0.03893,0.40828,0.68087,0.08746,0.10697,-0.74627,-0.43655,-0.77429,-0.70675,-0.77534,-0.89303,-0.77745,-0.58423,-2.73018,-3.8547,-4.8835,-5.23606,0.76517,0.28774,0.5262,0.4065,0.39152,0.80833,0.59608,0.63651,2.3103,2.69589,4.23639,4.5265,-1.36408,-1.33645,-1.24565,-1.05677,-1.16779,-1.22669,-0.74831,-0.37838,-0.52829,0.38459,0.5047,0.73031,0.89799,1.06189,1.17053,1.31035,1.40532,1.36377,8.49285,8.41778,8.25633,8.10947,7.59726,7.53925,7.4,8.18573,7.44065,7.4122,8.07577,7.86326,0.48287,0.39793,0.67731,0.72222,0.78118,0.58577,1.23836,1.26723,1.69885,1.42645,1.77122,1.52453,1.4324,1.62227,1.16118,0.91929,0.57211,0.56388,0.22073,-0.95908,-1.51529,-1.26027,-2.04859,-2.29341,-2.50547,-3.20181,-2.8332
06,HEALTH,1.73215,1.72897,1.90154,2.27885,2.47187,2.37591,2.56879,2.57126,2.61004,1.94147,1.94203,1.80861,1.09388,1.01595,0.62518,-0.12221,-0.26281,-0.18792,-0.35644,-0.26289,-0.38483,-0.50661,-0.39414,-0.26318,3.72455,3.5655,3.84601,3.18253,3.70257,3.38941,4.34412,4.33375,4.3905,4.04306,4.01715,3.67256,0.08585,0.4062,0.01584,0.82054,0.35612,-0.25549,0.11554,-0.05364,-0.59129,0.30507,0.35516,0.07589,0.01999,-0.51844,-0.20994,-0.32934,-0.39896,0.55377,1.58036,2.02131,2.65398,2.56198,2.40956,3.07584,2.69865,2.97655,3.03546,3.26424,3.22451,3.24422,0.89041,0.62463,0.50732,-0.20406,-0.19442,-0.17496,-0.10706,-0.11679,-0.18474,0.02909,0.13582,0.10668,0.56251,0.58196,0.66007,1.11003,1.16879,1.18793,1.15939,1.13027,1.14943,0.71733,0.73629,0.59097,0.30861,0.05786,0.01929
07,TRANSPORT,8.33007,8.7187,8.98303,8.1089,7.64499,6.75557,7.24258,7.4822,7.02813,6.57689,6.5334,6.15956,-1.9269,-1.86038,-2.51057,-1.90235,-1.85941,-1.43157,-2.26923,-1.88782,-2.201,-2.27065,-2.59039,-2.17351,11.48427,10.52799,11.03199,10.11227,10.52779,11.13316,10.2499,10.50705,10.57581,10.36382,11.30895,10.68792,-4.25211,-3.80376,-3.87931,-2.16127,-2.29838,-2.17465,-0.90044,-1.08111,0.57539,1.22981,0.6958,1.49957,2.57732,3.70676,3.69377,-0.37836,-3.7574,-5.16699,7.28283,8.18778,7.76137,6.99387,8.00884,6.85794,9.57789,9.77698,10.53731,14.90454,19.32951,22.60758,7.80529,6.50429,5.8878,6.44226,5.72275,7.16625,4.93442,4.31707,4.65388,4.58281,4.04516,2.47075,3.62445,4.00421,3.83808,4.38335,3.96777,4.05063,3.8196,2.73865,1.8493,1.08482,1.58934,1.55917,0.88496,0.48863,-0.07578
08,COMMUNICATION,-1.02661,-0.83799,-0.50761,0.18977,0.74141,0.78023,1.03289,1.24611,-0.34895,0.53234,0.31203,0.32281,0.53374,0.40241,-0.10004,-0.66793,-1.52163,-1.79653,-1.79653,-1.79653,-1.22061,-1.39874,-0.96328,-0.71393,0.93856,0.85783,0.77705,1.0299,1.48949,1.57155,1.58173,1.55118,1.4814,1.37959,1.22638,1.2262,-1.33063,-1.23195,-1.25208,-1.49118,-1.15342,-1.24334,-1.39309,-1.56327,-1.20591,-1.27779,-1.0933,-1.17781,-1.15117,-0.63624,-0.60618,-0.62772,-0.83889,-0.64745,9.62415,9.64369,9.50401,11.43576,11.13095,11.41492,13.76034,13.20256,13.22423,13.53031,13.49506,13.23694,2.65225,2.6479,2.77881,1.21317,1.39879,1.37761,0.2694,0.17059,0.07182,-0.08974,0.0449,0.13488,0.18005,0.44196,0.15321,1.3248,1.22622,0.97192,-0.19703,-0.37645,-0.35884,-0.37726,-0.61939,-0.73635,-0.97951,-1.32902,-1.21479
