,,Year,,,,,,,
Item Code,Item,2015,2016,2017,2018,2019,2020,2021,2022
0,General Index,97.35175000000001,91.48249999999999,84.9915,82.629,80.36575,80.79625,81.2065,82.07225
01,Residential,98.81325000000001,93.82225,87.88725,85.42399999999999,82.4925,83.80525,84.69725000000001,86.50525
011,Plot,98.911,93.86574999999999,87.90575,85.42825,82.385,83.7395,84.77674999999999,86.70599999999999
012,Building,101.85425000000001,97.9335,94.03825,93.70100000000001,92.5665,91.32625,91.056,91.084
013,Villa,101.65325,96.59825,93.655,91.065,87.78750000000001,87.9325,85.60974999999999,84.102
014,Apartment,96.07425,91.9585,85.90100000000001,83.66650000000001,83.25925,83.919,81.98525000000001,81.706
015,House,98.711,98.45675,96.59925000000001,95.2315,95.18074999999999,94.02025,92.8895,92.12975
02,Commercial,94.5275,86.39975,78.30149999999999,75.94075000000001,74.765,73.554,73.136,72.43575
021,Plot,94.50675,86.35,78.2275,75.85825,74.6785,73.4585,73.03825,72.337
022,Building,100.4525,102.01675,102.12,102.12,102.12,102.158,102.156,102.156
023,Gallery/ Shop,95.39075,93.48775,88.96724999999999,90.149,88.8525,89.79125,90.41975,89.34849999999999
024,Commercial Center,102.7425,101.95425,101.77075,100.19,101.89575,102.43100000000001,102.432,102.51675
03,Agricultural,95.78575,94.7185,93.83149999999999,93.4825,93.19575,93.37025,93.18275,92.614
031,Agricultural Land,95.78575,94.71849999999999,93.83149999999999,93.4825,93.19575,93.37025,93.18275,92.614
