الرقم القياسي لأسعار العقارات (2014 = 100): الأرقام القياسية ومعدلات التغير حسب القطاع ونوع العقار ، الربع الثاني 2024,,,,,,,,,,,,,,,,,
القطاع ونوع العقار,الأرقام القياسية,,,نسبة التغير فى الربع الثاني 2024 من,,,,,,,,,,,,,
,الربع الثاني 2023,الربع الاول 2024,الربع الثاني 2024,الربع الثاني 2023,الربع الاول 2024,,,,,,,,,,,,
الرقم القياسي العام,82.516,83.013,83.943,1.72936157836054,1.1203064580246291,,,,,,,,,,,,
سكني,87.24,88.213,89.647,2.759055479138013,1.6256107376463973,,,,,,,,,,,,
قطعة أرض,87.472,88.478,89.912,2.789464057069708,1.6207418793372455,,,,,,,,,,,,
عمارة,90.25,90.114,90.124,-0.13961218836566047,0.011097054841641807,,,,,,,,,,,,
فيلا,81.114,80.67,80.711,-0.4968316196957545,0.0508243461013933,,,,,,,,,,,,
شقة,82.369,82.964,84.747,2.8870084619213543,2.1491249216527564,,,,,,,,,,,,
بيت,92.127,90.906,90.881,-1.352480814527766,-0.027500935031795848,,,,,,,,,,,,
تجاري,72.425,72.141,72.148,-0.3824646185709355,0.00970322008288349,,,,,,,,,,,,
قطعة أرض,72.33,72.046,72.053,-0.3829669570026226,0.009716014768329728,,,,,,,,,,,,
عمارة,102.156,102.156,102.16,0.0039155800931780504,0.0039155800931780504,,,,,,,,,,,,
معرض / محل,88.177,87.711,87.614,-0.6384884947321865,-0.11059046185768295,,,,,,,,,,,,
مركز تجاري,102.482,102.482,102.482,0,0,,,,,,,,,,,,
زراعي,92.376,92.306,93.771,1.5101325019485614,1.587112430394555,,,,,,,,,,,,
أرض زراعية,92.376,92.306,93.771,1.5101325019485614,1.587112430394555,,,,,,,,,,,,
