الرقم القياسي لأسعار العقارات (2014 = 100): الأرقام القياسية حسب القطاع ونوع العقار والمنطقة الإدارية ، الربع الثاني 2024,,,,,,,,,,,,,,
القطاع ونوع العقار,المملكة,الرياض,مكة المكرمة,المدينة المنورة,القصيم,المنطقة الشرقية,عسير,تبوك,حائل,المنطقة الشمالية,جيزان,نجران,الباحة,الجوف
,الأرقام القياسية (2014=100),,,,,,,,,,,,,
الرقم القياسي العام,83.943,84.101,81.585,92.655,82.657,83.423,87.16,90.441,88.12,94.096,92.139,89.053,81.405,83.932
سكني,89.647,100.533,84.663,91.306,84.678,84.621,86.395,84.991,90.057,94.169,104.67,84.242,78.943,79.306
قطعة أرض,89.912,101.049,84.872,91.434,84.449,84.239,85.488,84.356,90.31,94.003,104.976,84.222,78.542,79.311
عمارة,90.124,79.274,100,100,,113.973,100,,,104.544,,,,
فيلا,80.711,60.616,81.677,84.109,,98.504,102.97,95.299,,,,,,
شقة,84.747,87.017,80.387,90.804,87.705,89.999,91.401,87.559,77.316,,81.524,96.036,96.092,76.909
بيت,90.881,76.14,98.834,87.384,85.942,121.014,88.975,,91.291,,100,,100,
تجاري,72.148,65.148,73.158,95.986,75.789,80.864,88.797,103.405,75.844,93.59,67.756,81.442,95.451,83.516
قطعة أرض,72.053,65.046,73.006,95.987,75.703,80.854,88.87,103.418,75.775,93.524,67.756,81.442,95.451,83.498
عمارة,102.16,102.336,,,,,,,,100,,,,
معرض / محل,87.614,86.704,93.865,100,79.556,90.602,83.311,100,89.569,,,,,100
مركز تجاري,102.482,96.567,105.934,95.154,,102.29,100,,,,,,,
زراعي,93.771,124.031,96.289,93.212,82.984,90.508,92.345,97.852,97.893,,79.865,112.84,98.028,109.712
أرض زراعية,93.771,124.031,96.289,93.212,82.984,90.508,92.345,97.852,97.893,,79.865,112.84,98.028,109.712
الحقول الفارغة تدل على أن البند ليس له وزن في سنة الاساس*,,,,,,,,,,,,,,
