الرقم القياسي لأسعار العقارات (2014 = 100): التغير الربعي حسب القطاع ونوع العقار والمنطقة الإدارية، الربع الثاني 2024  ,,,,,,,,,,,,,,
القطاع ونوع العقار,المملكة,الرياض,مكة المكرمة,المدينة المنورة,القصيم,المنطقة الشرقية,عسير,تبوك,حائل,المنطقة الشمالية,جيزان,نجران,الباحة,الجوف
,نسبة التغير عن الربع الاول 2024 (%),,,,,,,,,,,,,
الرقم القياسي العام,1.1203064580246291,1.0125153138437213,0.9902828495389002,0.6408515722587254,2.6986394980431214,1.4384727626459295,0.5978624685487404,2.6525469899210066,3.0245636187202507,11.15495020849822,1.5529593298798403,6.65157666558882,4.217075699965434,2.0710454948983994
سكني,1.6256107376463973,1.7334547662416497,1.3357750727135596,0.8337842762641969,3.494298390349428,2.0070880948936747,0.6793921596047028,3.9619825814658896,3.839634715832446,12.851578884295051,2.3097148777698493,6.1664293185799295,5.0053205639797795,2.902593779600096
قطعة أرض,1.6207418793372455,1.737764666794206,1.3034137025543089,0.8726542590161301,3.7011113157733035,1.9460008955476837,0.7507277462846673,4.354495521797205,3.930030496576336,13.083594981173391,2.3207758662702815,6.176014522900047,5.13760976654531,2.909081472446772
عمارة,0.011097054841641807,0.0214492095335288,0,0,,0,0,,,0,,,,
فيلا,0.0508243461013933,1.5666627569913345,0.024492695053709213,-2.3611901141125884,,-2.176849130054819,-0.42260195151197877,0.9994065030310963,,,,,,
شقة,2.1491249216527564,1.6767544577130735,2.4651702293092512,0.529194251931898,0.8393216441506155,3.0751082300662063,0.41527965459280836,1.695722366113415,0.6679426584899062,,1.4383834361935186,0.8951084215834726,0,0
بيت,-0.027500935031795848,0.3783634134444327,-0.005058731877085165,-0.014874652448028769,0.8649727128689619,-0.009089031191905406,-1.0002892939003516,,0.24817438093668898,,0,,0,
تجاري,0.00970322008288349,-0.0015349429768747314,0.028713236802161646,0,0.005278089331667957,0,0,0,0,0,0,0,0,0
قطعة أرض,0.009716014768329728,0,0.028773035555261117,0,0,0,0,0,0,0,0,0,0,0
عمارة,0.0039155800931780504,0.004886104894879395,,,,,,,,0,,,,
معرض / محل,-0.11059046185768295,-0.2622739612570797,0.028772991751750965,0,0.18637920612532355,0.002207505518782682,0,0,0,,,,,0
مركز تجاري,0,0,0,0,,0,0,,,,,,,
زراعي,1.587112430394555,0,1.580318806637763,0.7054959539321004,2.488606750731776,8.54620901393585,0.6265664160401059,0.5290896575813804,1.1155526633819903,,0,13.595409472995428,0,-0.6618798837409372
أرض زراعية,1.587112430394555,0,1.580318806637763,0.7054959539321004,2.488606750731776,8.54620901393585,0.6265664160401059,0.5290896575813804,1.1155526633819903,,0,13.595409472995428,0,-0.6618798837409372
الحقول الفارغة تدل على أن البند ليس له وزن في سنة الاساس*,,,,,,,,,,,,,,
