الرقم القياسي لأسعار العقار ات(2014 = 100): التغير السنوي حسب القطاع ونوع العقار والمنطقة الإدارية، الربع الثاني 2024 ,,,,,,,,,,,,,,
القطاع ونوع العقار,المملكة,الرياض,مكة المكرمة,المدينة المنورة,القصيم,المنطقة الشرقية,عسير,تبوك,حائل,المنطقة الشمالية,جيزان,نجران,الباحة,الجوف
,نسبة التغير عن الربع الثاني 2023 (%),,,,,,,,,,,,,
الرقم القياسي العام,1.729361578360539,1.197266142035474,2.388243266986251,0.5720302188259865,2.43772462510843,1.8819765027722895,0.4587261704432706,3.2219406971170343,-0.5395155646854164,8.893543646063591,0.7324886026959945,6.631144105849245,3.3924352884395574,0.1658849784588199
سكني,2.759055479138013,2.172874637938918,3.6101966639335217,0.812631114055435,3.2520027801148643,2.7802069669144487,0.790974952459834,4.035792102235163,-0.696887163823618,10.337918590209256,1.2380307573266265,6.27625619740877,4.658685651407282,0.2984697103832161
قطعة أرض,2.789464057069708,2.169802736014077,3.599721689879516,0.8871234690499818,3.2661596028271447,3.0093668223727548,0.886271640487621,4.705517284180473,-0.6993160776724636,10.522850457949758,1.142691974178618,6.285887356292832,4.781344219429556,0.2984508378122115
عمارة,-0.13961218836566047,-0.2905477642915457,0,0,,0,0,,,0,,,,
فيلا,-0.4968316196957545,2.6450367460290494,-0.7726604546061822,-1.3708107601022732,,-2.176849130054819,1.0798075979189008,-1.504831791638665,,,,,,
شقة,2.8870084619213543,2.486278943773115,5.193802507262674,0.5949017913523278,3.072005264951642,-0.7794412718012182,0.3072837216448647,0.3346052918056017,-0.9543818295948086,,9.892835478870381,0.8951084215834726,0,0
بيت,-1.352480814527766,-3.4626161707091256,0.07290253336303465,-1.7870389102434387,-2.0548179383440726,-0.009089031191905406,-1.4924216423280967,,0.24817438093668898,,0,,0,
تجاري,-0.3824646185709355,-0.1716212074777843,-0.8201944064097262,-0.27635789386192755,-0.2448173741362183,-0.1420121266007186,-1.9911480005739435,2.219256623171219,-0.4632728322637547,-0.6823511933186808,1.068019093078746,-0.22297363520533509,-2.9535564683394995,0.5913881361035749
قطعة أرض,-0.3829669570026226,-0.1703577512776775,-0.825929850300227,-0.27842709469638294,-0.20696018982336284,-0.1420296656745137,-2.01764057331863,2.228065319678933,-0.4650001970339872,-0.6891571894279735,1.068019093078746,-0.22297363520533509,-2.9535564683394995,0.5927282365130111
عمارة,0.0039155800931780504,0.004886104894879395,,,,,,,,0,,,,
معرض / محل,-0.6384884947321865,-0.7281886878864299,0.028772991751750965,0,-1.8735738513721856,0.002207505518782682,0,0,0,,,,,0
مركز تجاري,0,0,0,0,,0,0,,,,,,,
زراعي,1.5101325019485614,0,1.580318806637763,0.7000561773475908,1.9885455841506285,8.7666590556764,0.6265664160401059,-0.8360610881968427,1.0351945505212115,,-4.227125554622873,13.328445600538316,-3.955322588546508,-0.6618798837409372
أرض زراعية,1.5101325019485614,0,1.580318806637763,0.7000561773475908,1.9885455841506285,8.7666590556764,0.6265664160401059,-0.8360610881968427,1.0351945505212115,,-4.227125554622873,13.328445600538316,-3.955322588546508,-0.6618798837409372
الحقول الفارغة تدل على أن البند ليس له وزن في سنة الاساس*,,,,,,,,,,,,,,
