الرقم القياسي لأسعار العقار (2014 = 100): الأرقام القياسية حسب القطاع ونوع العقار ،(2018-الربع الثاني 2024),,,,,,,,,,,,,,,,,,
,,,سكني,,,,,,تجاري,,,,,زراعي,,,,
السنة,الربع,الرقم القياسي العام,سكني، الكل,قطعة أرض,عمارة,فيلا,شقة,بيت,تجاري، الكل,قطعة أرض,عمارة,معرض / محل,مركز تجاري,زراعي، الكل,أرض زراعية,,,
2018,الربع الأول,84.16,87.43,87.47,93.57,93.29,84.97,95.303,76.7,76.62,102.12,89.543,100.24,93.61,93.61,,,
2018,الربع الثاني,83.603,86.713,86.75,93.807,91.717,84.473,95.243,76.403,76.323,102.12,90.29,100.24,93.5,93.5,,,
2018,الربع الثالث,82.31,84.883,84.9,93.997,90.403,82.743,94.94,76.01,75.93,102.12,90.373,100.24,93.45,93.45,,,
2018,الربع الرابع,80.443,82.67,82.593,93.43,88.85,82.48,95.44,74.65,74.56,102.12,90.39,100.04,93.37,93.37,,,
2019,الربع الأول,80.11,82.277,82.173,92.783,88.957,82.747,95.6,74.417,74.33,102.12,90.08,100.293,93.203,93.203,,,
2019,الربع الثاني,80.427,82.473,82.38,92.5,86.59,83.087,95.3,74.983,74.897,102.12,88.433,102.43,93.11,93.11,,,
2019,الربع الثالث,80.093,81.9,81.79,92.19,87.56,82.62,95.13,75.083,75,102.12,88.15,102.43,93.14,93.14,,,
2019,الربع الرابع,80.833,83.32,83.197,92.793,88.043,84.583,94.693,74.577,74.487,102.12,88.747,102.43,93.33,93.33,,,
2020,الربع الأول,81.07,83.973,83.903,91.543,86.743,84.46,94.32,74.047,73.953,102.16,89.03,102.43,93.397,93.397,,,
2020,الربع الثاني,80.977,83.99,83.93,91.257,88.353,83.877,94.1,73.74,73.647,102.16,89.453,102.43,93.353,93.353,,,
2020,الربع الثالث,80.538,83.562,83.489,91.351,88.313,83.754,93.868,73.242,73.144,102.156,90.358,102.432,93.424,93.424,,,
2020,الربع الرابع,80.6,83.696,83.636,91.154,88.321,83.585,93.793,73.187,73.09,102.156,90.324,102.432,93.307,93.307,,,
2021,الربع الأول ,81.315,84.54,84.523,91.056,89.413,83.45,93.475,73.736,73.641,102.156,90.359,102.432,93.206,93.206,,,
2021,الربع الثاني ,81.291,84.687,84.738,91.056,86.293,82.498,93.046,73.398,73.301,102.156,90.142,102.432,93.204,93.204,,,
2021,الربع الثالث ,80.925,84.473,84.575,91.056,83.936,81.44,92.599,72.728,72.629,102.156,90.415,102.432,93.164,93.164,,,
2021,الربع الرابع ,81.295,85.089,85.271,91.056,82.797,80.553,92.438,72.682,72.582,102.156,90.763,102.432,93.157,93.157,,,
2022,الربع الاول ,81.662,85.816,86.035,91.056,82.776,80.619,92.341,72.474,72.374,102.156,90.422,102.432,92.745,92.745,,,
2022,الربع الثاني ,81.879,86.272,86.458,91.084,85.339,81.581,92.21,72.295,72.196,102.156,89.176,102.521,92.633,92.633,,,
2022,الربع الثالث ,82.132,86.603,86.784,91.098,84.091,82.29,91.925,72.433,72.334,102.156,89.077,102.604,92.625,92.625,,,
2022,الربع الرابع ,82.616,87.33,87.547,91.098,84.202,82.334,92.043,72.541,72.444,102.156,88.719,102.51,92.453,92.453,,,
2023,الربع الاول ,82.506,87.165,87.386,90.25,82.548,82.282,92.38,72.527,72.43,102.156,88.674,102.501,92.384,92.384,,,
2023,الربع الثاني ,82.516,87.24,87.472,90.25,81.114,82.369,92.127,72.425,72.33,102.156,88.177,102.482,92.376,92.376,,,
2023,الربع الثالث ,82.687,87.574,87.829,90.25,80.909,82.317,91.837,72.328,72.232,102.156,88.119,102.482,92.332,92.332,,,
2023,الربع الرابع ,82.797,87.853,88.117,90.25,81.019,82.422,91.807,72.152,72.056,102.156,87.935,102.482,92.343,92.343,,,
2024,الربع الاول ,83.013,88.213,88.478,90.114,80.67,82.964,90.906,72.141,72.046,102.156,87.711,102.482,92.306,92.306,,,
2024,الربع الثاني ,83.943,89.647,89.912,90.124,80.711,84.747,90.881,72.148,72.053,102.16,87.614,102.482,93.771,93.771,,,
