الرقم القياسي لأسعار العقار (2014 = 100): التغير الربعي حسب القطاع ونوع العقار ، (2018-الربع الثاني 2024 (%)),,,,,,,,,,,,,,,
,,,سكني,,,,,,تجاري,,,,,زراعي,
السنة,الربع,الرقم القياسي العام,سكني، الكل,قطعة أرض,عمارة,فيلا,شقة,بيت,تجاري، الكل,قطعة أرض,عمارة,معرض / محل,مركز تجاري,زراعي، الكل,أرض زراعية
2018,الربع الثاني,-0.662,-0.82,-0.823,0.253,-1.686,-0.585,-0.063,-0.387,-0.388,0,0.834,0,-0.118,-0.118
2018,الربع الثالث,-1.547,-2.11,-2.133,0.203,-1.433,-2.048,-0.318,-0.514,-0.515,0,0.092,0,-0.053,-0.053
2018,الربع الرابع,-2.268,-2.607,-2.717,-0.603,-1.718,-0.318,0.527,-1.789,-1.804,0,0.019,-0.2,-0.086,-0.086
2019,الربع الأول,-0.414,-0.475,-0.509,-0.692,0.12,0.324,0.168,-0.312,-0.308,0,-0.343,0.253,-0.179,-0.179
2019,الربع الثاني,0.396,0.238,0.252,-0.305,-2.661,0.411,-0.314,0.761,0.763,0,-1.828,2.131,-0.1,-0.1
2019,الربع الثالث,-0.415,-0.695,-0.716,-0.335,1.12,-0.562,-0.178,0.133,0.138,0,-0.32,0,0.032,0.032
2019,الربع الرابع,0.924,1.734,1.72,0.654,0.552,2.376,-0.459,-0.674,-0.684,0,0.677,0,0.204,0.204
2020,الربع الأول,0.293,0.784,0.849,-1.347,-1.477,-0.145,-0.394,-0.711,-0.717,0.039,0.319,0,0.072,0.072
2020,الربع الثاني,-0.115,0.02,0.032,-0.312,1.856,-0.69,-0.233,-0.415,-0.414,0,0.475,0,-0.047,-0.047
2020,الربع الثالث,-0.6,-0.5,-0.5,0.1,-0.1,-0.1,-0.2,-0.7,-0.7,0,1,0,0,0
2020,الربع الرابع,0.0769822940723657,0.160359972236179,0.176071099186714,-0.21565171700365227,0.009058688981227192,-0.20178140745518647,-0.07989943324668047,-0.07509352557276827,-0.07382697145357042,0,-0.03762810155161844,0,-0.12523548552834995,-0.12523548552834995
2021,الربع الأول,0.9,1,1.1,-0.1,1.2,-0.1,-0.3,0.7,0.7,0,0.1,0,-0.1,-0.1
2021,الربع الثاني,-0.02951484965873874,0.17388218594747684,0.25436863338971705,0,-3.489425475042779,-1.140802875973634,-0.4589462423107591,-0.458392101551496,-0.4616993251042203,0,-0.24015316681239085,0,-0.0021457846061565533,-0.0021457846061565533
2021,الربع الثالث,-0.4502343432852456,-0.25269521886475843,-0.1923576199579884,0,-2.7313918857844754,-1.2824553322504926,-0.48040754035638145,-0.9128314123000649,-0.916767847641907,0,0.302855494663973,0,-0.04291661302089267,-0.04291661302089267
2021,الربع الرابع,0.45721346926166007,0.7292270903128895,0.822938220514331,0,-1.3569862752573556,-1.0891453831041247,-0.17386796833659446,-0.06324936750631593,-0.06471244268820442,0,0.3848918874080738,0,-0.007513631874971338,-0.007513631874971338
2022,الربع الأول,0.451442278122883,0.854399511100155,0.8959669758769024,0,-0.025363237798472937,0.08193363375666252,-0.10493519980960286,-0.2861781458958177,-0.2865724284257851,0,-0.3757037559358025,0,-0.44226413474027026,-0.44226413474027026
2022,الربع الثاني,0.2657294702554509,0.5313694415959702,0.49166037077934277,0.030750307503083718,3.0963081086305237,1.1932670958459113,-0.14186547687376105,-0.2469851257002489,-0.24594467626495486,0,-1.377983234168667,0.08688691034051033,-0.12076122702033842,-0.12076122702033842
2022,الربع الثالث,0.308992537769143,0.3836702522255,0.3770616946956977,0.015370427297867195,-1.46240288730827,0.8690749071474926,-0.3090771066044766,0.19088457016391658,0.19114632389607777,0,-0.11101641697317177,0.08095902302942193,-0.008636231148713591,-0.008636231148713591
2022,الربع الرابع,0.5892952807675442,0.8394628361604077,0.879194321533916,0,0.13199985729745833,0.05346943735568743,0.1283655153657861,0.14910330926510085,0.15207233113059715,0,-0.40189948022498356,-0.09161436201317485,-0.18569500674763617,-0.18569500674763617
2023,الربع الأول,-0.13314612181659413,-0.18893850910338017,-0.18390121877391152,-0.930865661156119,-1.9643238877936398,-0.06315738334103571,0.36613322034264684,-0.019299430666791295,-0.019325271934178545,0,-0.05072194231222227,-0.008779631255478648,-0.07463251598109366,-0.07463251598109366
2023,الربع الثاني,0.01212033064261675,0.08604371020477686,0.09841393358203732,0,-1.737171100450638,0.10573393937920628,-0.27386880277116177,-0.140637279909555,-0.1380643379815183,0,-0.5604799603040362,-0.018536404522890848,-0.008659508139928107,-0.008659508139928107
2023,الربع الثالث,0.20723253672014152,0.3828519027968724,0.4081306017925641,0,-0.2527307246591164,-0.06313054668626705,-0.3147828541035693,-0.1339316534345869,-0.13549011475183192,0,-0.06577678986585056,0,-0.04763141941630522,-0.04763141941630522
2023,الربع الرابع,0.13303179459892078,0.3185877086806528,0.32790991585925156,0,0.1359552089384266,0.12755566893838477,-0.03266657229656289,-0.24333591416878164,-0.24365931996899803,0,-0.20880854299299756,0,0.011913529437251213,0.011913529437251213
2024,الربع الأول,0.2608790173557196,0.40977542030438485,0.4096825811137421,-0.15069252077562112,-0.43076315432183776,0.6575914197665753,-0.9814066465520028,-0.015245592637754157,-0.013878094815140685,0,-0.254733610052881,0,-0.040068007320542165,-0.040068007320542165
2024,الربع الثاني,1.1203064580246291,1.6256107376463973,1.6207418793372455,0.011097054841641807,0.0508243461013933,2.1491249216527564,-0.027500935031795848,0.00970322008288349,0.009716014768329728,0.0039155800931780504,-0.11059046185768295,0,1.587112430394555,1.587112430394555
