الرقم القياسي لأسعار العقار (2014 = 100): التغير السنوي حسب القطاع ونوع العقار ،( 2019-الربع الثاني 2024 (%)),,,,,,,,,,,,,,,
,,,سكني,,,,,,تجاري,,,,,زراعي,
السنة,الربع,الرقم القياسي العام,سكني، الكل,قطعة أرض,عمارة,فيلا,شقة,بيت,تجاري، الكل,قطعة أرض,عمارة,معرض / محل,مركز تجاري,زراعي، الكل,أرض زراعية
2019,الربع الأول,-4.812,-5.894,-6.056,-0.841,-4.645,-2.616,0.312,-2.977,-2.989,0,0.6,0.053,-0.435,-0.435
2019,الربع الثاني,-3.799,-4.89,-5.037,-1.393,-5.59,-1.641,0.06,-1.859,-1.868,0,-2.057,2.185,-0.417,-0.417
2019,الربع الثالث,-2.693,-3.514,-3.663,-1.922,-3.145,-0.149,0.2,-1.22,-1.225,0,-2.46,2.185,-0.332,-0.332
2019,الربع الرابع,0.485,0.786,0.731,-0.682,-0.908,2.55,-0.783,-0.098,-0.098,0,-1.818,2.389,-0.043,-0.043
2020,الربع الأول,1.198,2.061,2.105,-1.336,-2.489,2.07,-1.339,-0.497,-0.507,0.039,-1.166,2.131,0.208,0.208
2020,الربع الثاني,0.684,1.839,1.882,-1.344,2.036,0.951,-1.259,-1.658,-1.669,0.039,1.153,0,0.261,0.261
2020,الربع الثالث,0.5,2.1,2.1,-0.9,0.8,1.5,-1.3,-2.5,-2.5,0.1,2.5,0,0.3,0.3
2020,الربع الرابع,-0.248248611334481,0.5,0.5,-1.7662970267153923,0.3157548016310159,-1.1799061277088896,-0.9504398424381861,-1.9,-1.9,0,1.7769614747540743,0,0,0
2021,الربع الأول,0.2,0.6,0.7,-0.4,3.1,-1.2,-0.8,-0.4,-0.5,0,1.6,0,-0.2,-0.2
2021,الربع الثاني,0.387764426936045,0.8298606977021024,0.9627070177528765,-0.22025707616950285,-2.331556370468448,-1.6440740608271511,-1.1200850159404752,-0.46379170056957264,-0.4698086819558256,-0.003915426781503584,0.7702368841738121,0.0019525529630044502,-0.15960922519897736,-0.15960922519897736
2021,الربع الثالث,0.480518513000078,1.0902084679639046,1.300770161338633,-0.32293023612220395,-4.956235208859397,-2.7628531174630666,-1.3518984105339342,-0.7017831298981605,-0.7040905610849819,0,0.06308240554240285,0,-0.27830107895188405,-0.27830107895188405
2021,الربع الرابع,0.8622828784119179,1.6643567195564941,1.954899803912184,-0.10751036707110018,-6.254458169631221,-3.627445115750433,-1.4446707110338792,-0.6900132537199113,-0.6950335203174376,0,0.4860280767016576,0,-0.16075964289925082,-0.16075964289925082
2022,الربع الأول,0.4267355346491968,1.5093446889046476,1.788862203187307,0,-7.422857973672734,-3.3924505692031204,-1.213158598555765,-1.7115113377454776,-1.7205089556089774,0,0.06972188713906746,0,-0.49460335171555414,-0.49460335171555414
2022,الربع الثاني,0.7233273056058067,1.8715977658908685,2.0297859283910498,0.030750307503083718,-1.1055357908521017,-1.1115420979902524,-0.8984803215613937,-1.5027657429357646,-1.5074828447088038,0,-1.0716425195802088,0.08688691034051033,-0.6126346508733604,-0.6126346508733604
2022,الربع الثالث,1.491504479456296,2.521515750594844,2.6118829441324323,0.04612546125461847,0.18466450629048836,1.0437131630648366,-0.7278696314215125,-0.40562094379053804,-0.4061738424045558,0,-1.4798429464137683,0.16791627616370874,-0.5785496543729352,-0.5785496543729352
2022,الربع الرابع,1.6249461836521277,2.633712935867166,2.669137221329649,0.04612546125461847,1.6969213860405574,2.210966692736463,-0.4273134425236407,-0.1939957623620785,-0.1901297842440215,0,-2.2520189945242066,0.07614807872539586,-0.7557134729542554,-0.7557134729542554
2023,الربع الأول,1.0335284465234622,1.5719679313881016,1.570291160574186,-0.8851695659813714,-0.2754421571469834,2.0627891688063613,0.042234760290654094,0.07312967409001203,0.07737585320697349,0,-1.9331578598128658,0.06736176194938537,-0.38923931209230034,-0.38923931209230034
2023,الربع الثاني,0.7779772591262741,1.1220326409495414,1.1728237988387349,-0.9156383118879319,-4.950843108074849,0.9659111802993436,-0.09001192929183333,0.17981879798047373,0.18560585073966251,0,-1.1202565712747798,-0.03804098672468115,-0.2774389256528451,-0.2774389256528451
2023,الربع الثالث,0.6757414893098854,1.1212082722307741,1.2041390117993842,-0.930865661156119,-3.7839959091935924,0.03281079110462315,-0.09573021484905553,-0.14496155067442373,-0.14101252523019525,0,-1.0754740280880526,-0.11890374644264057,-0.3163292847503527,-0.3163292847503527
2023,الربع الرابع,0.21908589135276202,0.5988778197641125,0.6510788490753612,-0.930865661156119,-3.780195244768521,0.1068817256540342,-0.256401899112376,-0.5362484663845208,-0.5355861078902393,0,-0.8836889505066381,-0.02731440835040644,-0.11897937330319053,-0.11897937330319053
2024,الربع الأول,0.6145007635808213,1.2023174439281519,1.2496280868789,-0.15069252077562112,-2.2750399767408,0.8288568581220659,-1.5955834596232847,-0.5322155886773032,-0.5301670578489563,0,-1.0860004059814656,-0.018536404522890848,-0.08443020436439497,-0.08443020436439497
2024,الربع الثاني,1.729361578360539,2.759055479138013,2.789464057069708,-0.13961218836566047,-0.4968316196957545,2.8870084619213543,-1.352480814527766,-0.3824646185709355,-0.3829669570026226,0.0039155800931780504,-0.6384884947321865,0,1.5101325019485614,1.5101325019485614
