الرقم القياسي لأسعار العقار (2014 = 100): الأرقام القياسية حسب المنطقة الإدارية ،( 2018-الربع الثاني 2024),,,,,,,,,,,,,,,
السنة,الربع,المملكة,الرياض,مكة المكرمة,المدينة المنورة,القصيم,المنطقة الشرقية,عسير,تبوك,حائل,المنطقة الشمالية,جيزان,نجران,الباحة,الجوف
2018,الربع الأول,84.16,80.497,84.117,94.34,81.993,86.423,86.583,83.567,85.493,84.883,81.203,87.69,79.153,86.293
2018,الربع الثاني,83.603,79.443,83.957,94.06,80.49,85.807,86.727,83.077,85.54,84.053,81.443,86.853,78.99,85.807
2018,الربع الثالث,82.31,77.647,82.937,93.697,77.983,84.253,86.067,82.573,86.573,85.403,81.8,87.173,79.153,85.207
2018,الربع الرابع,80.443,74.313,81.72,93.213,78.137,82.677,85.103,81.403,85.763,86.063,85.387,86.3,79.037,83.637
2019,الربع الأول,80.11,73.99,81.383,92.917,77.953,82.063,85.107,80.867,86.887,88.877,86.597,86.503,78.54,83.467
2019,الربع الثاني,80.427,75.253,80.837,92.76,78.873,82.48,84.947,82.537,87.883,91.547,88.323,85.927,78.9,83.473
2019,الربع الثالث,80.093,74.94,80.277,92.59,79.03,82.39,84.963,84.09,89.123,90.713,87.107,85.78,78.967,83.633
2019,الربع الرابع,80.833,77.143,80.067,92.7,80.033,82.577,85.11,84.947,91.2,89.133,88.413,85.733,81.617,83.053
2020,الربع الأول,81.07,79.123,79.257,92.853,80.727,81.613,85.18,84.407,90.283,88.797,91.747,85.48,81.987,83.743
2020,الربع الثاني,80.977,79.093,79.233,92.927,81.277,80.887,84.91,84.587,90.5,89.02,92.57,85.783,82.063,82.093
2020,الربع الثالث,80.538,78.826,78.661,92.891,80.18,80.228,84.838,84.013,91.514,88.536,90.048,85.932,81.968,82.249
2020,الربع الرابع,80.6,78.593,78.857,92.891,80.146,80.626,84.89,84.735,92.069,87.002,89.557,85.572,82.031,82.734
2021,الربع الاول,81.315,80.306,79.091,92.738,80.214,81.104,85.234,84.865,91.465,87.079,94.256,85.355,81.89,81.888
2021,الربع الثاني,81.291,80.465,78.861,92.684,79.948,81.333,85.544,85.572,90.663,86.631,93.436,84.995,81.761,81.66
2021,الربع الثالث,80.925,79.663,78.817,92.54,79.379,81.102,85.351,84.257,89.288,86.056,90.812,84.499,79.984,81.788
2021,الربع الرابع,81.295,79.897,79.312,92.412,81.942,81.532,85.727,84.404,88.382,86.113,88.391,84.711,77.126,82.633
2022,الربع الاول,81.662,80.635,79.482,92.302,82.139,81.908,86.034,84.332,89.157,85.881,90.143,84.875,77.124,82.833
2022,الربع الثاني,81.879,82.008,79.05,92.108,82.083,81.611,86.436,83.849,88.818,85.64,92.755,84.484,77.219,83.274
2022,الربع الثالث,82.132,81.842,79.772,92.063,81.574,81.772,86.517,83.653,89.138,85.429,94.974,84.055,76.974,83.311
2022,الربع الرابع,82.616,83.204,80.003,92.084,81.401,81.591,86.434,83.649,88.953,84.181,91.898,84.043,77.02,82.834
2023,الربع الاول,82.506,83.061,79.776,92.107,80.28,81.826,86.762,85.424,88.909,84.917,92.092,83.812,76.817,83.182
2023,الربع الثاني,82.516,83.106,79.682,92.128,80.69,81.882,86.762,87.618,88.598,86.411,91.469,83.515,78.734,83.793
2023,الربع الثالث,82.687,83.383,79.94,92.039,80.321,81.928,86.771,88.585,86.485,86.505,90.941,83.426,78.483,83.996
2023,الربع الرابع,82.797,83.239,80.364,92.005,80.289,81.952,86.454,87.74,85.433,85.457,92.499,83.475,78.272,83.756
2024,الربع الاول,83.013,83.258,80.785,92.065,80.485,82.24,86.642,88.104,85.533,84.653,90.73,83.499,78.111,82.229
2024,الربع الثاني,83.943,84.101,81.585,92.655,82.657,83.423,87.16,90.441,88.12,94.096,92.139,89.053,81.405,83.932
