المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602519
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602769
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603150
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603446
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603922
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603929
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604383
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604594
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606361
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606515
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606869
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607206
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607987
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41608612
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41609402
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41610255
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41610732
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41610833
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41610839
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41611080
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41611194
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41611648
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41612459
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41613558
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41613566
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41614489
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41615219
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41616133
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41617278
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41621302
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41618543
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41619153
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41619329
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41619330
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41619525
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41620359
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41620376
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41621102
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41621652
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41622658
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41622686
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/01,41622905
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41623351
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41623389
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41623398
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41628377
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41625461
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41625704
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41626688
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41627543
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41627848
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41627934
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41628457
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41628635
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41628664
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41629026
