المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647342
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647406
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647411
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647725
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647669
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647894
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647949
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648120
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648186
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648197
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648603
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648660
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648923
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648892
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648900
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648916
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648917
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648937
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648960
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38648973
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38648982
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649000
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649017
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649081
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649427
