المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39984616
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39985255
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39985343
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39985606
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39985851
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39986023
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39986803
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39986898
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39987180
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39987240
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39987322
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39987709
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,39987514
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39988354
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39988748
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39988973
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39988977
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39989145
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,39996740
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,39989429
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,39989316
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39989692
منطقة الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,39989609
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39989889
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,39990067
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39990101
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39990265
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39990767
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39990827
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,39990593
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39990789
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39990931
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39990932
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39991205
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39991217
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39991650
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39991678
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39991728
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,39990079
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39991828
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39991890
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,39993396
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39993640
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39992565
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39992724
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39993258
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39993260
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,39993386
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,39993140
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,39993766
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,39993772
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,39994032
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39994178
