المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647524
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647652
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647704
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647720
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647915
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648004
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648015
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648081
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648101
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648111
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648125
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648277
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648337
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648461
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648590
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648607
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648782
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649062
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649206
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649235
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649314
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649722
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649986
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649999
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38650278
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38650819
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38652392
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38652581
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653090
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653229
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653282
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653369
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653406
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653460
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653852
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654056
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654091
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654125
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654437
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654488
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654616
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654663
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654872
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38655114
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38655127
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38655154
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38655925
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38656086
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38656154
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38656290
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38656375
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38656572
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38656726
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657367
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657617
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657666
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657678
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657999
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38658363
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38658750
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38658866
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38659466
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38659519
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38660039
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38660169
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38660208
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38660687
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38661142
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38661308
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38661653
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38661656
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38661751
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38661941
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38662025
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38662152
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38662813
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38662838
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38662950
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38663195
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38663445
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38665210
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38664069
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38664830
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38666152
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38666335
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38667443
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38667488
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38668064
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38669545
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38668965
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38669111
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38669283
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38669435
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38669845
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38670145
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38670201
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38670894
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38671093
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38671924
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38672452
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38673155
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38673311
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38673437
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,38673467
