المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333018
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333371
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,37333532
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,37335353
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,37335883
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,37335904
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,37336129
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,37336519
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37337049
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37339890
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37342995
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37343276
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37343364
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37344274
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37344279
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37344304
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37345388
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,37347761
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37348489
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37351038
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,37341734
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,37339354
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37352207
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37354261
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,37354330
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,37355274
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37356747
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37357605
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,37360251
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37363357
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37363366
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37363448
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37363535
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37364547
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37364792
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37364929
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,37354491
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37367364
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37369309
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37370172
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37370296
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37371204
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37371350
