المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605184
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602585
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603168
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603448
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603487
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604331
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604554
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,41604713
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605023
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605115
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605185
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,41605199
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605420
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605536
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605537
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605760
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/01,41607607
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606256
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,41606450
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606465
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606481
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606659
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606852
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607201
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607331
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607481
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607485
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607603
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607739
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607747
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607847
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607972
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41608168
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,41608382
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41608401
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41609160
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41609248
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41610786
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41612509
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41609436
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41609546
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41609626
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41609874
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41610466
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,41610649
