المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332127
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332164
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332702
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332736
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333373
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334471
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37335584
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37335736
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37336520
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37337190
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37337307
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37337479
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37337532
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37337969
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37338171
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37338576
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37338982
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37339676
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37340130
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37340570
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37341078
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37341087
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37341747
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37342698
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37343035
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37343321
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37345456
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37345460
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37346859
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37347398
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37347723
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37348126
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37349126
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37349869
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37350081
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37350556
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37350873
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37351661
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37351865
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37351874
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37353040
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37354116
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37354227
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37354819
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37355353
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37355695
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37355701
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37356201
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37356332
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37356722
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37357306
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37358450
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37359201
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37360411
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37360625
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37361177
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37361793
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37362561
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37364071
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37365024
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37365151
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37365202
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37365442
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37365721
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37366574
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37367331
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37367814
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37368111
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37368271
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37368497
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37369597
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37369728
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37370047
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37370315
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37370332
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37370432
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37370473
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37370906
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37371825
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37371926
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37372529
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37372540
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37372673
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37372688
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37372732
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37372747
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37372769
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37372785
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37373295
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37373793
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37374010
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37374905
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37375719
