المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332281
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37331830
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332029
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332135
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332157
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332180
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332274
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332315
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332353
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332377
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332435
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332441
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332444
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332446
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332554
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332697
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332726
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332754
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332786
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332872
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332874
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332891
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332962
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333011
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333080
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333095
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333149
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333205
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333311
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333351
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,37333685
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333734
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333735
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37333817
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334048
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334136
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334246
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334306
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334325
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334365
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,37334458
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334499
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334641
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334747
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37335318
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37336046
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334862
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,37334979
