المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39997401
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39997339
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39996438
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,40003797
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39993462
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,40002190
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,40003695
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40014601
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40024189
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40012729
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40013644
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40024031
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40025982
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40010966
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40019904
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40008563
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,40029926
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,40029535
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,40039718
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,40031612
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,40038759
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,40037450
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,40033659
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/04,40044286
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/05,40053005
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/05,40052480
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/05,40050769
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/05,40052650
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40078519
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40065074
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40079449
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40068153
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40072060
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40074242
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/07,40104135
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/07,40095193
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/07,40089624
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/07,40088792
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/07,40088705
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/07,40098720
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/07,40087587
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/07,40097628
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/07,40085306
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/07,40092064
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/08,40116282
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/08,40114090
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/08,40122892
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/08,40117723
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/08,40111548
