المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647823
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647336
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647567
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647571
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647637
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647638
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647646
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647660
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647683
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647690
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647693
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38647957
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648090
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648144
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648476
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648638
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648762
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,38648783
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38648968
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649484
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649614
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649638
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649663
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38649676
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38650009
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38650298
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38650756
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38651036
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38651300
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38651383
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,38651455
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38651592
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38651613
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38652152
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38652184
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653190
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653235
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653353
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653374
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38653759
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654033
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654101
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654200
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654234
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654525
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654534
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654613
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654634
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654640
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654673
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654731
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654733
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38654935
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38655083
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38655234
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38655134
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38655232
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38655237
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,38655264
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38655650
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38656548
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38656699
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657376
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657607
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657643
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657644
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657793
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38657821
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,38658004
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,38658211
