المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602722
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602531
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602636
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602733
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602770
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603086
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603098
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603143
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603156
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603166
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603193
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603203
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603205
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603213
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603228
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603231
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603254
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603256
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603296
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603468
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603481
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603491
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603498
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603514
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604932
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603790
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603997
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604104
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604271
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604457
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604460
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604477
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604504
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604505
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604532
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,41604636
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604772
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604834
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604929
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605058
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605528
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605712
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606029
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607137
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607489
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605431
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605627
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606016
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606028
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606296
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606328
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606416
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606428
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41606795
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,41607082
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607114
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607188
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607469
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607500
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607510
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41608026
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607691
