المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39998250
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39997888
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,40003880
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39993323
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39999582
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39986967
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,40003436
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,39986191
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40012355
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40025619
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40026083
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,40007439
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,40030958
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,40043175
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/04,40045571
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/04,40047239
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/05,40059841
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/05,40051837
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/05,40051902
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40070657
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40068096
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40070152
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40062186
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,40069355
