المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,27037779
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/05,27089763
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/08,27136346
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/13,27197332
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/13,27196678
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/14,27220425
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/14,27225224
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/14,27224890
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/19,27291653
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/19,27295906
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/21,27344550
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/21,27345416
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/23,27399347
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/23,27399927
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/26,27428748
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/26,27426900
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/26,27427252
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/28,27479838
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/28,27479898
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/28,27479793
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/28,27479744
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/28,27474646
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/28,27473930
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/28,27474207
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/28,27474395
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/28,27479995
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/29,27494623
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/29,27494934
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/02,27559667
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/03,27583538
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/05,27631602
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/06,27654636
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/10,27706747
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/10,27714831
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/12,27758250
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/12,27759597
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/13,27777895
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/13,27777682
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/18,27886257
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/18,27886831
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/18,27886706
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/18,27886582
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/18,27886447
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/18,27886944
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27917268
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27916738
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27915319
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27917472
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27914895
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27916572
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27917316
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27916376
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27917046
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27916136
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27915733
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27915935
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27917504
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/19,27916897
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/20,27946248
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/20,27937712
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/24,27990437
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/24,27990609
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/26,28031736
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/26,28032364
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/03/02,28105274
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/03/02,28105551
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/03/03,28120278
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/03/05,28173123
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/03/06,28195448
 تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2025/03/11,28285990
 تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2025/03/11,28286626
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/03/25,28550946
