المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30430903
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30415934
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30415996
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30417030
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30420499
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30419497
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30418931
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30415661
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30430798
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30430874
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30416020
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30416904
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30415835
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30417565
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30415422
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30421651
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30419591
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30419873
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30420281
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30419399
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30411757
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30417813
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30415426
