المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/01,28663327
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28690270
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692633
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28689013
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28689111
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28690430
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691038
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28689038
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691424
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692099
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691747
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691786
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691867
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694285
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692700
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691537
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691752
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28689020
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28689107
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28689114
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691214
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691610
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691848
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28689122
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28690440
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691701
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693129
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692639
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694001
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691729
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692158
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691672
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691640
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691858
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691928
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694118
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695661
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692950
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692932
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694091
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695755
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693507
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693632
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28696265
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691449
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691452
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691532
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695915
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694412
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28689021
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691255
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691520
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692714
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694487
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695628
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694873
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28689011
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691415
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691708
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692307
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692690
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691863
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692937
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695981
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692952
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694302
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691445
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692142
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692836
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692577
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28689022
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695850
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28690690
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691889
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692399
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692125
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691880
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691907
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694991
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693641
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695197
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692994
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691834
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692190
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693383
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692148
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695307
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695138
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691638
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691946
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692209
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691938
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694035
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694622
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694110
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691721
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695904
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692343
 الشرقية,الجبيل,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,28692519
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,28692607
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,28705569
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,28713839
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,28714215
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704310
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28703230
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704660
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705127
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28703739
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705500
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705584
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705410
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28708119
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705163
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704636
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704973
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28703490
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28703600
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28703660
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704012
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704075
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28708620
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28706261
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28708650
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28708813
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704531
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704937
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705370
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28708607
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705930
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28707017
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28708245
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28703313
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704859
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705509
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28708446
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28710728
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28703624
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705696
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28706685
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704566
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28708695
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28710772
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28711069
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705367
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28709445
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28707234
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28708599
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705525
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705677
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28710188
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704157
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28707631
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28703859
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28711286
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28704477
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28703353
