المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30410866
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30417049
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30411048
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30416613
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30408585
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424621
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30407624
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424720
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424744
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30408598
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424646
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30411724
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30425867
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424642
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424656
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30429143
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424644
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424607
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424648
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30422041
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30421278
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424695
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424687
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424750
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424679
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30420938
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30431354
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424701
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30426666
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30407679
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30423599
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30414774
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30431161
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424615
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30408607
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424614
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30407580
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424685
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424706
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30415788
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424686
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30413549
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424677
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424779
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424640
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424600
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424716
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424711
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30412133
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424629
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424767
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424751
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424778
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424718
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424660
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424704
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424626
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30426647
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424684
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424672
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424726
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424622
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424645
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424624
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424604
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424643
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30414316
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30421418
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424742
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30411303
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30418514
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30424606
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,30415977
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,30415962
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30427956
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30428137
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30428087
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30428056
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30427829
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30428013
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30428099
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,30427906
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30408637
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30412161
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30412162
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30407719
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30407722
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30408652
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30408653
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30411293
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30407609
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30407610
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30407611
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,30407632
