المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,32387938
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,32385244
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,32384321
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,32384905
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32412141
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32415559
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32408792
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32409132
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32411040
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32416264
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32417288
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32408920
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32417709
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32412576
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/02,32419608
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/04,32443725
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/04,32443603
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/04,32443391
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/04,32443646
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/05,32451570
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/05,32451234
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/06,32485297
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/06,32482556
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/06,32474130
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/07,32515591
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/07,32507929
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/07,32499671
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/08,32534665
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/08,32523619
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/09,32555560
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/09,32544733
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/09,32552083
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/09,32552383
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/09,32543733
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/09,32555423
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/09,32555437
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/09,32559537
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/09,32547951
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/12,32586399
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/13,32599235
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/13,32602064
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/13,32603756
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/13,32598514
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/13,32604839
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/13,32596350
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/14,32623759
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,32659641
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,32663887
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,32663284
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,32650712
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,32658739
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,32650370
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,32651223
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,32657745
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,32654844
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,32649801
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/16,32686299
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/16,32680769
 مكة المكرمه,القنفذه,القطاع العام,خدمة إلكترونية جزئيا,2025/10/16,32675899
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/19,32735570
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/19,32735695
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/19,32727842
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/19,32728790
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/19,32725994
