المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/04/25,29052324
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/27,29066469
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/27,29067859
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/30,29136097
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/05/01,29153381
 الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/05/04,29194360
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/05/05,29235705
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/06/01,29863131
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/06/19,30146231
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/06/21,30181135
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/06/24,30266486
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/06/24,30259846
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/06/25,30297834
