المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,28659473
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,28659474
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28666058
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28668107
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28666063
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28666103
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28668108
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28669137
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28666073
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28667586
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28667083
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28666066
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,28669825
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,28674766
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,28675239
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,28674782
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,28675225
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,28682152
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,28686405
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,28686201
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,28685964
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,28686389
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,28685965
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,28686192
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,28682181
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,28684542
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693185
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695371
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693062
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28698433
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693036
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692967
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695385
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692596
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691978
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693074
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692140
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28691628
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28698469
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28695378
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692008
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28694523
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692970
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693063
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693191
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28693490
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28692611
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,28700056
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28715099
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28716050
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28716094
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,28705395
