المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602595
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602705
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602713
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41602841
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603164
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603340
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41603917
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604027
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604349
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604363
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41604529
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605296
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41605531
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607040
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41607124
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41608276
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41608457
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41609017
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41609118
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41609387
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41611087
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41613540
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41613620
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41613817
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41615152
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41615474
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41615536
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41615847
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41616036
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41616332
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41616436
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41617026
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41617318
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41617330
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41617508
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41617767
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41617868
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41617989
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41618093
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41618158
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41618370
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41618741
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41620747
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41620913
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41620921
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41620923
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41621168
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41621594
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41621618
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41621640
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41622282
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41622286
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41622387
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41623251
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41623529
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41623552
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41623878
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41624316
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,41624579
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41626527
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41626662
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41626910
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41626912
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41626993
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41627347
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41627349
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41628096
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41628479
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41629476
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41629695
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41629914
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41630720
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41631294
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41632278
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41632703
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41634348
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41635507
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41635650
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41635840
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41635997
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41636200
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41637000
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41637492
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41637717
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41638701
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41638840
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41639065
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41639407
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41639572
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41639803
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41639937
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41640656
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41640804
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41640848
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41640931
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41641080
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,41641603
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/02,41641574
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/02,41634587
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/02,41634435
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/02,41640283
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/02,41640080
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/02,41639852
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/02,41634934
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/02,41634868
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41642179
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41642694
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41642854
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41642949
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41643013
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41643219
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/03,41643302
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/03,41643415
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41643470
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41643485
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/03,41643525
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41643570
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41644646
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41645150
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41646672
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41646893
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41646895
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41647168
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,41647573
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41648201
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41648253
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41649318
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41649818
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41650492
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41651582
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41651632
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41652405
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41652816
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41653086
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41653187
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41653341
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41653507
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41653511
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41654220
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41654477
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41654665
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41655563
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41655859
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41656176
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41656266
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41656469
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41657101
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41657248
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41657287
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,41657425
