المؤشر العقاري لمدينة الدمام  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الدمام,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,الإجمالي السعر بالريال السعودي,الإجمالي المساحة بالمتر المربع,الإجمالي عدد الصفقات
الشهر_ميلادي,تصنيف العقار,نوع العقار,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,
يناير,,,1357630123,831947.18,730,949723407,1445803.946,932,984334436,4006668.4299999997,779,732295599,1695768.51,696,4023983565,7980188.065999999,3137
يناير,سكني,,600784501,351149.5800000001,587,515865945,404895.48600000003,798,556874931,398586.3699999999,675,499780743,319966.75,518,2173306120,1474598.1859999998,2578
يناير,سكني,قطعة أرض,525351713,318464.3900000001,422,429134550,366300.87600000005,604,463298131,354088.7199999998,445,460507937,304762.73,441,1878292331,1343616.716,1912
يناير,سكني,فيلا,2600000,870,2,3050000,1572.5,6,4659066,1794.4299999999998,4,423987,250,1,10733053,4486.93,13
يناير,سكني,شقة,72632788,31777.689999999995,162,83681395,37022.10999999999,188,88467734,42484.94000000004,223,34998819,13794.019999999999,74,279780736,125078.76000000001,647
يناير,سكني,معرض/محل,200000,37.5,1,,,,450000,218.28,3,,,,650000,255.78,4
يناير,سكني,بيت,,,,,,,,,,3850000,1160,2,3850000,1160,2
يناير,تجاري,,754970622,459783.9699999999,134,433857462,1040908.46,134,427459505,3608082.06,104,196318218,164051.85,111,1812605807,5272826.34,483
يناير,تجاري,قطعة أرض,746615647,387783.9699999999,131,433857462,1040908.46,134,427459505,3608082.06,104,196318218,164051.85,111,1804250832,5200826.34,480
يناير,تجاري,مرفق,7317475,22000,2,,,,,,,,,,7317475,22000,2
يناير,تجاري,أرض زراعية,1037500,50000,1,,,,,,,,,,1037500,50000,1
يناير,زراعي,,1875000,21013.629999999997,9,,,,,,,36196638,1211749.91,67,38071638,1232763.5399999998,76
يناير,زراعي,قطعة أرض,,,,,,,,,,31321638,11746.310000000001,58,31321638,11746.310000000001,58
يناير,زراعي,أرض زراعية,1875000,21013.629999999997,9,,,,,,,4875000,1200003.5999999999,9,6750000,1221017.2299999997,18
فبراير,,,709205640,525855.9083,651,752169776,620179.06,891,691509849,3273076.4750000006,732,867547647,6243981.372000001,811,3020432912,10663092.8153,3085
فبراير,سكني,,479740272,278825.1383,550,626223247,509143.16000000003,789,489031740,314719.96499999997,606,556336043,345878.4069999999,579,2151331302,1448566.6702999994,2524
فبراير,سكني,قطعة أرض,407965709,245461.3783,389,553051935,471413.78,608,416650706,283666.27499999997,471,520121562,328603.0469999999,489,1897789912,1329144.4803,1957
فبراير,سكني,عمارة,1550000,1040,2,459993,500,1,798321,500,1,,,,2808314,2040,4
فبراير,سكني,فيلا,2505000,1231.49,4,3488326,2141.98,6,4013500,1261,2,2010000,706.25,2,12016826,5340.719999999999,14
فبراير,سكني,شقة,67629563,31054.77000000002,154,69222993,35087.4,174,65219213,26505.190000000006,130,33594481,16277.630000000001,86,235666250,108924.99000000002,544
فبراير,سكني,معرض/محل,90000,37.5,1,,,,70000,37.5,1,360000,50,1,520000,125,3
فبراير,سكني,بيت,,,,,,,,,,250000,241.48,1,250000,241.48,1
فبراير,سكني,مرفق,,,,,,,2280000,2750,1,,,,2280000,2750,1
فبراير,تجاري,,221552368,122704.53000000004,92,125946529,111035.90000000002,102,201518109,2958038.3900000006,124,263462819,224700.72499999995,156,812479825,3416479.5450000004,474
فبراير,تجاري,قطعة أرض,220852368,122435.15000000004,91,125946529,111035.90000000002,102,201518109,2958038.3900000006,124,263462819,224700.72499999995,156,811779825,3416210.1650000005,473
فبراير,تجاري,شقة,700000,269.38,1,,,,,,,,,,700000,269.38,1
فبراير,زراعي,,7913000,124326.24,9,,,,960000,318.12,2,47748785,5673402.24,76,56621785,5798046.600000001,87
فبراير,زراعي,قطعة أرض,,,,,,,960000,318.12,2,34029588,11387.640000000003,60,34989588,11705.760000000004,62
فبراير,زراعي,أرض زراعية,7913000,124326.24,9,,,,,,,13719197,5662014.600000001,16,21632197,5786340.840000001,25
مارس,,,755804667,722423.1900000002,838,677534210,692852.6549999999,908,423144032,243858.52999999997,463,1040194460,5749317.175,939,2896677369,7408451.550000002,3148
مارس,سكني,,537580771,360131.3100000002,732,529688858,386819.67499999993,784,322583376,182907.10999999996,379,741101590,461741.38999999984,702,2130954595,1391599.4849999999,2597
مارس,سكني,قطعة أرض,452490054,323941.2500000002,542,442878935,348358.48999999993,606,287858535,169241.8,310,695154126,440964.22999999986,598,1878381650,1282505.77,2056
مارس,سكني,عمارة,,,,970000,420,1,,,,,,,970000,420,1
مارس,سكني,فيلا,,,,4510000,1252.44,4,850000,490.05,1,1813316,620.75,2,7173316,2363.24,7
مارس,سكني,شقة,85090717,36190.05999999999,190,81319923,36763.744999999995,172,33569841,12937.65,65,40927148,18907.250000000004,94,240907629,104798.70499999999,521
مارس,سكني,معرض/محل,,,,10000,25,1,180000,75,2,1737000,249.16,6,1927000,349.15999999999997,9
مارس,سكني,بيت,,,,,,,125000,162.61,1,1470000,1000,2,1595000,1162.6100000000001,3
مارس,تجاري,,214200896,336526.77,98,144345352,256032.08000000007,123,91803988,57821.13,70,240541495,175678.79499999998,151,690891731,826058.7750000001,442
مارس,تجاري,قطعة أرض,211674907,158242.57,94,144345352,256032.08000000007,123,91803988,57821.13,70,239441495,175541.835,149,687265742,647637.6150000001,436
مارس,تجاري,شقة,2025989,784.2,3,,,,,,,,,,2025989,784.2,3
مارس,تجاري,معرض/محل,,,,,,,,,,1100000,136.96,2,1100000,136.96,2
مارس,تجاري,أرض زراعية,500000,177500,1,,,,,,,,,,500000,177500,1
مارس,زراعي,,1523000,21265.11,7,3500000,50000.9,1,8756668,3130.2899999999995,14,58551375,5111896.99,86,72331043,5186293.290000001,108
