,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الدمام  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الدمام,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
حي/1048/ ش د,1055000,2871.08,1,,,,,,,,,,,,,,
مايو,1055000,2871.08,1,,,,,,,,,,,,,,
حي/1093 ش د,15703420,18005,55,123371505,36370,10,914000,300,1,5968968,1691.6399999999999,6,,,,,
يناير,,,,115500000,33740,1,,,,,,,,,,,
مارس,,,,769000,230,1,,,,5968968,1691.6399999999999,6,,,,,
مايو,,,,2600247,900,3,914000,300,1,,,,,,,,
يونيو,,,,865541,300,1,,,,,,,,,,,
يوليو,2090155,2396.5,8,,,,,,,,,,,,,,
اوغسطس,,,,940833,300,1,,,,,,,,,,,
سبتمبر,,,,928000,300,1,,,,,,,,,,,
اكتوبر,13613265,15608.5,47,,,,,,,,,,,,,,
ديسمبر,,,,1767884,600,2,,,,,,,,,,,
حي/1145/ ش د,,,,,,,16541038,9465.22,2,,,,,,,,
يونيو,,,,,,,16541038,9465.22,2,,,,,,,,
حي/1168/ ش د,15272400,42903.3,11,,,,,,,,,,,,,,
مارس,4000000,6000,3,,,,,,,,,,,,,,
يونيو,10672400,27908.8,6,,,,,,,,,,,,,,
اكتوبر,600000,8994.5,2,,,,,,,,,,,,,,
حي/125/ 1,,,,,,,,,,1149952,825,1,,,,,
مارس,,,,,,,,,,1149952,825,1,,,,,
حي/2/ 183,10400000,8754.41,1,,,,9400000,8754.41,1,,,,,,,,
يناير,10400000,8754.41,1,,,,,,,,,,,,,,
سبتمبر,,,,,,,9400000,8754.41,1,,,,,,,,
حي/211/ 1,1000000,600,1,,,,2100000,1632,2,,,,,,,,
فبراير,1000000,600,1,,,,,,,,,,,,,,
ابريل,,,,,,,2000000,1032,1,,,,,,,,
يوليو,,,,,,,100000,600,1,,,,,,,,
حي/245/ 1,849180,373.59000000000003,2,450000,500,1,,,,,,,,,,,
مارس,,,,450000,500,1,,,,,,,,,,,
اكتوبر,460000,184.68,1,,,,,,,,,,,,,,
نوفمبر,389180,188.91,1,,,,,,,,,,,,,,
حي/249/ 1,5850000,2587.67,6,3424562,1781.1000000000001,6,4609977,2905.98,6,,,,,,,,
فبراير,,,,1284842,556.44,2,,,,,,,,,,,
مارس,,,,,,,279977,117.62,1,,,,,,,,
