,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الرياض  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الرياض,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
حي/3020/ و,,,,,,,700000,911.5,1,,,,,,,,
اكتوبر,,,,,,,700000,911.5,1,,,,,,,,
حي/57 من المخطط رقم 2584 الواقع فى حى ديراب,,,,,,,1080000,480,2,,,,,,,,
اكتوبر,,,,,,,150000,240,1,,,,,,,,
ديسمبر,,,,,,,930000,240,1,,,,,,,,
حي/أحد,105273739,107039.47,203,177649573,169064.995,312,88723835,69618.06,137,21035582,22430.6,38,,,,,
يناير,7962000,5480,11,13082625,16457.7,29,15782088,14011.4,26,3812700,5501,9,,,,,
فبراير,7545000,8826.25,19,17765253,18680.5,36,23263022,13226.329999999998,29,5600680,5810.8,10,,,,,
مارس,10066052,9446.25,16,16553801,22702.53,38,6615700,5193,11,10395722,9106.3,15,,,,,
ابريل,9530758,8247.75,17,8605092,10149.5,13,3888690,2039.83,5,1226480,2012.5,4,,,,,
مايو,9199125,8935,19,17994000,14346.94,29,8100037,3968.25,10,,,,,,,,
يونيو,2670118,2512.5,5,11240000,10100.325,21,5301000,4503.5,9,,,,,,,,
يوليو,6129000,8234.25,14,11777985,15464.16,20,5901137,5914,11,,,,,,,,
اوغسطس,3820964,6293,9,14489950,9401.6,19,4002500,4225,7,,,,,,,,
سبتمبر,2771000,3322.5,7,20750030,16510.2,35,5132928,5322.5,9,,,,,,,,
اكتوبر,12625000,9653.119999999999,20,19063058,13704.55,30,3058750,3742.5,5,,,,,,,,
نوفمبر,15021349,15149,27,13166578,10271.79,21,5362199,4940.5,10,,,,,,,,
ديسمبر,17933373,20939.85,39,13161201,11275.2,21,2315784,2531.25,5,,,,,,,,
حي/أخرى,13798590,9413.880000000001,21,150706666,85767.62,107,1753471906,10338506.169,60,22872264,9217.09,19,,,,,
يناير,,,,3849813,2115,6,1965813,929,2,4793100,3758,6,,,,,
فبراير,1400000,933.29,2,2484000,1080,3,,,,1890000,1350,2,,,,,
مارس,388700,598,1,13621626,8827.76,10,4776905,2493,5,16089164,3958.24,10,,,,,
ابريل,,,,39060320,22760.300000000003,7,,,,100000,150.85,1,,,,,
مايو,3678000,3011,5,927934,1343.28,3,5630000,1152,3,,,,,,,,
يونيو,,,,10500000,11235.8,1,87913979,103160.6,29,,,,,,,,
يوليو,,,,13227554,12209.46,5,3821750,1763.6399999999999,4,,,,,,,,
اوغسطس,168750,337.5,1,1721769,1271.29,3,163000,586,1,,,,,,,,
سبتمبر,1696000,1306,3,6090250,2410,7,510000,600,1,,,,,,,,
اكتوبر,25000,122.09,1,55612400,21288,59,1764000,4900,8,,,,,,,,
نوفمبر,1704000,1306,3,751000,462.13,2,1645562059,10221767.929,5,,,,,,,,
ديسمبر,4738140,1800,5,2860000,764.6,1,1364400,1154,2,,,,,,,,
حي/أم سليم,,,,1172501,943.47,2,,,,,,,,,,,
اكتوبر,,,,70000,103.47,1,,,,,,,,,,,
نوفمبر,,,,1102501,840,1,,,,,,,,,,,
حي/ابو طليحة,1000000,386.40999999999997,2,1800000,416,1,955000,292.1,2,1938085,337.5,1,,,,,
يناير,,,,,,,,,,1938085,337.5,1,,,,,
فبراير,450000,183.12,1,1800000,416,1,,,,,,,,,,,
يونيو,,,,,,,370000,123.58,1,,,,,,,,
يوليو,,,,,,,585000,168.52,1,,,,,,,,
نوفمبر,550000,203.29,1,,,,,,,,,,,,,,
حي/ارضة الجو منطقة العزيزية,1757200,2208,4,2370000,1160,2,5238226,2170,4,2200000,1704,3,,,,,
يناير,229000,588,1,,,,1316250,260,1,,,,,,,,
فبراير,,,,,,,,,,600000,600,1,,,,,
مارس,,,,,,,800000,260,1,600000,600,1,,,,,
ابريل,,,,,,,,,,1000000,504,1,,,,,
مايو,486000,540,1,,,,,,,,,,,,,,
يونيو,1042200,1080,2,,,,,,,,,,,,,,
يوليو,,,,550000,500,1,2421976,1150,1,,,,,,,,
نوفمبر,,,,1820000,660,1,,,,,,,,,,,
ديسمبر,,,,,,,700000,500,1,,,,,,,,
حي/اسكان الجزيره,12060000,16456,34,54558502,67529.65,140,10774057,8712,18,1901506,968,2,,,,,
يناير,,,,5200000,8228,17,4750000,5324,11,,,,,,,,
فبراير,350000,484,1,2450000,3872,8,600000,968,2,1901506,968,2,,,,,
مارس,,,,6000000,7744,16,2300000,968,2,,,,,,,,
ابريل,980000,1452,3,6235000,7513.65,16,,,,,,,,,,,
مايو,300000,484,1,8753200,5808,12,,,,,,,,,,,
يونيو,,,,4890000,5324,11,1300000,484,1,,,,,,,,
يوليو,300000,484,1,6006000,7744,16,,,,,,,,,,,
اوغسطس,,,,1190000,968,2,846043,484,1,,,,,,,,
سبتمبر,1550000,2420,5,1850000,1936,4,978014,484,1,,,,,,,,
اكتوبر,2500000,3872,8,3884302,5808,12,,,,,,,,,,,
نوفمبر,3130000,3872,8,5550000,8712,18,,,,,,,,,,,
ديسمبر,2950000,3388,7,2550000,3872,8,,,,,,,,,,,
