,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة مكة المكرمة في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,مكة المكرمة,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
حي/1/ 20/ 27,550000,550,1,1670000,844,3,1132313,460,1,,,,,,,,
يناير,,,,540000,172,1,,,,,,,,,,,
يوليو,,,,530000,172,1,1132313,460,1,,,,,,,,
اوغسطس,,,,600000,500,1,,,,,,,,,,,
نوفمبر,550000,550,1,,,,,,,,,,,,,,
حي/1/ 29/ 10/ أ,,,,,,,1550000,612.5,1,1700000,612.5,1,,,,,
يناير,,,,,,,1550000,612.5,1,1700000,612.5,1,,,,,
حي/1/ 32/ 1,,,,,,,,,,800000,721.8,1,,,,,
مارس,,,,,,,,,,800000,721.8,1,,,,,
حي/1/ 32/ 16/ أ,,,,,,,300000,600,1,,,,,,,,
اوغسطس,,,,,,,300000,600,1,,,,,,,,
حي/45 بطحاء قريش النموذجى,2380000,691.45,4,,,,1390000,368.90999999999997,2,,,,,,,,
يناير,,,,,,,790000,197.15,1,,,,,,,,
فبراير,700000,161.82,1,,,,600000,171.76,1,,,,,,,,
مارس,300000,135.33,1,,,,,,,,,,,,,,
ابريل,1380000,394.3,2,,,,,,,,,,,,,,
حي/أبو مراغ,3125000,2262.67,6,2564900,1812.95,4,1853279,1378,3,1185000,2279,3,,,,,
فبراير,550000,394,1,,,,,,,200000,625,1,,,,,
مارس,,,,750000,562.5,1,,,,10000,394,1,,,,,
ابريل,,,,1199000,394,1,,,,975000,1260,1,,,,,
مايو,310000,169.2,1,,,,,,,,,,,,,,
يوليو,1200000,439.47,1,,,,503279,400,1,,,,,,,,
اوغسطس,,,,400000,400,1,450000,500,1,,,,,,,,
اكتوبر,90000,460,1,,,,,,,,,,,,,,
نوفمبر,375000,400,1,,,,,,,,,,,,,,
ديسمبر,600000,400,1,215900,456.45,1,900000,478,1,,,,,,,,
حي/أبو مراغ رقم 3,1500000,1022.04,2,,,,,,,,,,,,,,
مارس,1500000,1022.04,2,,,,,,,,,,,,,,
حي/أخرى,724503244,368389.42480000004,280,915786473,259980.17709999997,372,673096181,4777774.115400003,305,485651627,489514.2699999998,414,,,,,
يناير,18445452,29062.009199999997,21,12555645,10841.8541,28,315896152,22513.490000000005,34,98708666,21561.129999999997,33,,,,,
فبراير,102550181,54061.390000000014,27,33157673,25994.071999999996,30,21364898,18626.297100000003,36,208960505,196630.18999999992,85,,,,,
مارس,45109451,14681.921999999999,26,20963796,15871.324100000003,38,115960000,4508052.630000004,22,115631760,74411.32999999999,184,,,,,
ابريل,37892548,170317.52819999997,25,197864435,21225.668,32,240000,108.5,1,62350696,196911.61999999985,112,,,,,
مايو,62974022,14239.777100000001,29,8422470,12031.14,19,120000,564.58,1,,,,,,,,
يونيو,71321013,2095.8199999999997,8,6773815,7354.5,14,134105722,20821.3675,43,,,,,,,,
يوليو,8007353,14533.130000000001,15,21728845,17420.789999999994,31,7375121,24364.839999999997,25,,,,,,,,
اوغسطس,270225428,6466.2434,10,26092642,51821.393,28,8598200,17268.777499999997,28,,,,,,,,
سبتمبر,5182040,6968.879999999999,10,73277627,19578.8819,31,10898390,47474.54000000001,22,,,,,,,,
اكتوبر,8145807,14753.058200000001,29,330132033,32921.1137,55,12783000,79361.464,22,,,,,,,,
نوفمبر,67927949,21010.303999999996,37,92929395,31918.0563,40,28023240,19163.1893,37,,,,,,,,
ديسمبر,26722000,20199.3627,43,91888097,13001.384,26,17731458,19454.440000000002,34,,,,,,,,
حي/أم الجود,4270571,2983.6800000000003,6,1010201,1167,2,370000,750.75,1,,,,,,,,
فبراير,100000,750,1,,,,,,,,,,,,,,
يونيو,1500000,512,1,,,,,,,,,,,,,,
اوغسطس,1200000,375,1,,,,,,,,,,,,,,
سبتمبر,487000,417.34,1,856001,655,1,370000,750.75,1,,,,,,,,
اكتوبر,,,,154200,512,1,,,,,,,,,,,
نوفمبر,893571,417.34,1,,,,,,,,,,,,,,
ديسمبر,90000,512,1,,,,,,,,,,,,,,
حي/أم الجود مخطط الحمراء,2499994,8475.259999999998,7,,,,,,,,,,,,,,
مارس,2499994,8475.259999999998,7,,,,,,,,,,,,,,
حي/أم الراكه بأرض وادى ضيم,465000,3721.253,4,50000,1000.8,1,,,,,,,,,,,
مايو,200000,1000.853,1,,,,,,,,,,,,,,
يوليو,65000,717,1,,,,,,,,,,,,,,
سبتمبر,200000,2003.4,2,50000,1000.8,1,,,,,,,,,,,
حي/ابو لهب بمحلة جرول,,,,,,,13000000,205.86,1,,,,,,,,
يونيو,,,,,,,13000000,205.86,1,,,,,,,,
حي/ابو مراغ,610000,592.07,1,800000,1713.56,3,1076227,1817.57,3,1215000,891.77,1,,,,,
يناير,,,,,,,260000,757.26,1,,,,,,,,
مارس,,,,380000,540,1,,,,,,,,,,,
ابريل,610000,592.07,1,,,,,,,1215000,891.77,1,,,,,
يونيو,,,,70000,346.79,1,360000,757.26,1,,,,,,,,
نوفمبر,,,,350000,826.77,1,456227,303.05,1,,,,,,,,
حي/ابو مراغ رقم 3,550000,583.31,1,1861000,1650,3,1830000,1352.2,3,,,,,,,,
فبراير,550000,583.31,1,,,,180000,400,1,,,,,,,,
ابريل,,,,1041000,625,1,,,,,,,,,,,
اكتوبر,,,,,,,650000,525,1,,,,,,,,
ديسمبر,,,,820000,1025,2,1000000,427.2,1,,,,,,,,
حي/ابو مراغ على يمين الذاهب الى المدينة المنورة,290000,597.33,1,,,,490000,1097.94,2,,,,,,,,
يناير,290000,597.33,1,,,,,,,,,,,,,,
نوفمبر,,,,,,,290000,597.33,1,,,,,,,,
ديسمبر,,,,,,,200000,500.61,1,,,,,,,,
حي/ابو مراغ على يمين الذاهب الى وادى فاطمه,650000,705.4200000000001,2,720000,3250.88,2,500000,500,1,,,,,,,,
يناير,,,,320000,639.88,1,500000,500,1,,,,,,,,
مايو,350000,277.42,1,,,,,,,,,,,,,,
يوليو,300000,428,1,,,,,,,,,,,,,,
اكتوبر,,,,400000,2611,1,,,,,,,,,,,
حي/ابى مراغ,1160000,1388.8600000000001,3,1596665,1614.1599999999999,3,2650000,7088.250000000001,5,85000,416.86,1,,,,,
يناير,,,,,,,,,,85000,416.86,1,,,,,
فبراير,250000,416.86,1,,,,250000,402.76,1,,,,,,,,
مارس,450000,578,1,,,,1000000,5019.22,1,,,,,,,,
ابريل,460000,394,1,,,,,,,,,,,,,,
مايو,,,,796665,363.79,1,,,,,,,,,,,
يونيو,,,,,,,600000,384.58,1,,,,,,,,
يوليو,,,,,,,200000,402.76,1,,,,,,,,
اكتوبر,,,,800000,1250.37,2,,,,,,,,,,,
نوفمبر,,,,,,,600000,878.93,1,,,,,,,,
حي/ابى مراغ على يمين الذاهب الى وادى فاطمه,1780000,1919.1,5,,,,942600,1025.32,2,,,,,,,,
يناير,1175000,1134.86,2,,,,,,,,,,,,,,
مارس,300000,326.86,1,,,,,,,,,,,,,,
ابريل,125000,167.25,1,,,,,,,,,,,,,,
يوليو,180000,290.13,1,,,,,,,,,,,,,,
اوغسطس,,,,,,,500000,488.81,1,,,,,,,,
نوفمبر,,,,,,,442600,536.51,1,,,,,,,,
حي/ابى مرو,200000,570.93,1,,,,,,,,,,,,,,
مارس,200000,570.93,1,,,,,,,,,,,,,,
حي/اجياد,168269,3.9751,1,3947875,349.49,2,,,,200000,295.69,1,,,,,
مارس,,,,,,,,,,200000,295.69,1,,,,,
يوليو,,,,500000,53.8,1,,,,,,,,,,,
ديسمبر,168269,3.9751,1,3447875,295.69,1,,,,,,,,,,,
حي/اجياد المصافى,,,,59000000,2591.31,3,,,,,,,,,,,
فبراير,,,,40000000,967.55,1,,,,,,,,,,,
ابريل,,,,5000000,967.55,1,,,,,,,,,,,
اكتوبر,,,,14000000,656.21,1,,,,,,,,,,,
حي/اجياد جبل السبع البنات,11244150,374.58000000000004,7,4434122,117.42,2,,,,,,,,,,,
يناير,4844150,104.38,2,4134122,74.34,1,,,,,,,,,,,
مارس,2550000,70.68,2,,,,,,,,,,,,,,
ابريل,1150000,33.42,1,,,,,,,,,,,,,,
نوفمبر,2700000,166.1,2,300000,43.08,1,,,,,,,,,,,
حي/اجياد دحلة اللبان,6849999,109.72,1,,,,,,,,,,,,,,
فبراير,6849999,109.72,1,,,,,,,,,,,,,,
حي/اجياد ريع بخش,4229000,302.97999999999996,6,500000,84.47999999999999,2,2400000,165.47,1,900000,173.39,1,,,,,
يناير,,,,350000,31.07,1,,,,900000,173.39,1,,,,,
مايو,4229000,302.97999999999996,6,,,,,,,,,,,,,,
اكتوبر,,,,,,,2400000,165.47,1,,,,,,,,
ديسمبر,,,,150000,53.41,1,,,,,,,,,,,
حي/اراضى الشوقية,1750000,580,1,3800000,1290,2,10441316,2615.9700000000003,7,,,,,,,,
مارس,1750000,580,1,,,,5850000,653.74,1,,,,,,,,
ابريل,,,,1300000,630,1,,,,,,,,,,,
يوليو,,,,2500000,660,1,,,,,,,,,,,
سبتمبر,,,,,,,1140000,389.88,2,,,,,,,,
اكتوبر,,,,,,,1425000,445.24,2,,,,,,,,
ديسمبر,,,,,,,2026316,1127.1100000000001,2,,,,,,,,
حي/اراضى بدر,1129600,575,1,1312000,59.5229,1,,,,,,,,,,,
مايو,1129600,575,1,,,,,,,,,,,,,,
يونيو,,,,1312000,59.5229,1,,,,,,,,,,,
حي/اراضى بدر فيصل,1565848,438.08000000000004,2,,,,870000,187.9,1,,,,,,,,
سبتمبر,565848,227.74,1,,,,,,,,,,,,,,
اكتوبر,1000000,210.34,1,,,,870000,187.9,1,,,,,,,,
حي/ارض الشيخ احمد زينى,300000,4993.83,6,750000,772.41,2,,,,,,,,,,,
يوليو,300000,4993.83,6,,,,,,,,,,,,,,
سبتمبر,,,,375000,386.205,1,,,,,,,,,,,
اكتوبر,,,,375000,386.205,1,,,,,,,,,,,
حي/ارض المرور بالعمرة,,,,,,,100000,933.47,2,,,,,,,,
اكتوبر,,,,,,,100000,933.47,2,,,,,,,,
حي/اضافة جزء من محبس الجن الضفة الشمالية ب,,,,,,,2200000,500,1,,,,,,,,
ديسمبر,,,,,,,2200000,500,1,,,,,,,,
حي/اعادة تخطيط وتنضيم ارض الرصيفه الجديده,,,,,,,,,,1485000,623,1,,,,,
مارس,,,,,,,,,,1485000,623,1,,,,,
حي/اعادة تخطيط وتنظيم ارض الرصيفة الجديدة,,,,,,,,,,7000000,1416,2,,,,,
ابريل,,,,,,,,,,7000000,1416,2,,,,,
