السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,الباحة,ماطوه,الزهور,محل,تجاري,1,0,0
2025,1,الباحة,الباحة,الربيع,شقة,سكني,52,15431.25,118.01
2025,1,الباحة,الحريقه,الحريقه,شقة,سكني,1,9000,60
2025,1,الباحة,الباحة,السوق,محل,تجاري,118,0,0
2025,1,الباحة,الباحة,الحجاز,دور,سكني,1,18000,200
2025,1,الباحة,حدبه القهيب المخطط,حدبه القهيب المخطط,شقة,سكني,19,14418.75,108.49
2025,1,الباحة,الباحة,السوق,استديو,سكني,34,11127.27,258.12
2025,1,الباحة,النعره,النعره,دور,سكني,1,6000,35.29
2025,1,الباحة,ال دكنان ,ال دكنان ,شقة,سكني,1,17500,175
2025,1,الباحة,العقيق,السلامة,شقة,سكني,38,15058.33,112.09
2025,1,الباحة,بلجرشي,المدار,محل,تجاري,2,0,0
2025,1,الباحة,معشوقه,الفلاح,شقة,سكني,8,16950,105.22
2025,1,الباحة,المروه الشماليه,السندس,دور,سكني,1,5500,45.83
2025,1,الباحة,الزناد,الزناد,شقة,سكني,1,17500,175
2025,1,الباحة,الفريشه,الفجر,شقة,سكني,2,18000,163.77
2025,1,الباحة,الباحة,الحجاز,محل,تجاري,31,0,0
2025,1,الباحة,الباحة,الحجاز,معرض تجاري,تجاري,6,0,0
2025,1,الباحة,غامد الزناد,المصانعه,شقة,سكني,2,9000,86.66
2025,1,الباحة,المخواة,العروبة,شقة,سكني,22,12933.33,102.44
2025,1,الباحة,جرب,جرب,شقة,سكني,4,12500,73.11
2025,1,الباحة,بلجرشي,الرائد,معرض تجاري,تجاري,3,0,0
2025,1,الباحة,المقشع,المقشع,شقة,سكني,1,18000,180
2025,1,الباحة,الباحة,الرحاب,استديو,سكني,1,12000,342.85
2025,1,الباحة,بلجرشي,الفيصلية,شقة,سكني,17,15085.71,117.96
2025,1,الباحة,الدقمين,الدقمين,شقة,سكني,1,15000,150
2025,1,الباحة,الباحة,المنتزهات,دور,سكني,1,18000,120
2025,1,الباحة,بلجرشي,الخليج,شقة,سكني,32,16688.46,139.51
2025,1,الباحة,ال رداد ال سليم,اليمامة,شقة,سكني,1,10000,80.32
2025,1,الباحة,الباحة,الحسام,شقة,سكني,123,16890.41,118.03
2025,1,الباحة,قلوة - الفرعه,الفرعه,دور,سكني,1,6000,47.1
2025,1,الباحة,الجرين,الجرين,محل,تجاري,1,0,0
2025,1,الباحة,الجميل,الجميل,شقة,سكني,1,18000,100
2025,1,الباحة,الباحة,المنار,معرض تجاري,تجاري,1,0,0
2025,1,الباحة,الجبجبه,الجبجبه,شقة,سكني,2,11505,89.32
2025,1,الباحة,خميس الشعراء,خميس الشعراء,شقة,سكني,12,16010,134.78
2025,1,الباحة,غامد الزناد,المليحه السفلي,شقة,سكني,1,6000,60
2025,1,الباحة,القري - النباعه,النباعه,شقة,سكني,2,18005,134
2025,1,الباحة,الباحة,النسيم,شقة,سكني,59,17527.27,106.49
2025,1,الباحة,بلجرشي,الأندلس,دور,سكني,1,18000,90
2025,1,الباحة,المريبى وحناك الرين,المريبى وحناك الرين,شقة,سكني,1,5000,34.72
2025,1,الباحة,غامد الزناد,الفقهاء والرتوع,شقة,سكني,1,18000,180
