السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,2,الباحة,قلوة - الطيف,الطيف,شقة,سكني,1,6000,47.1
2025,2,الباحة,الرخامين,الرخامين,شقة,سكني,1,18000,180
2025,2,الباحة,العقيق,الكوكب,شقة,سكني,5,12000,101.66
2025,2,الباحة,نبهان,الأمواج,شقة,سكني,2,17200,122
2025,2,الباحة,ال مرزوق,الصفوة,شقة,سكني,2,7500,76.7
2025,2,الباحة,حبس الحوايل,حبس الحوايل,شقة,سكني,3,12000,75.55
2025,2,الباحة,الباحة,الربيع,شقة,سكني,58,14589.47,102.84
2025,2,الباحة,النعره,النعره,شقة,سكني,1,18000,146.34
2025,2,الباحة,الباحة,الحجاز,محل,تجاري,38,0,0
2025,2,الباحة,العقيق,الزهراء,دور,سكني,2,8500,65
2025,2,الباحة,المتلوى,المتلوى,شقة,سكني,1,12000,100
2025,2,الباحة,الطينة,الطينة,شقة,سكني,1,6000,60
2025,2,الباحة,الباحة,المنار,شقة,سكني,19,16402.18,155.03
2025,2,الباحة,قلوة,قرطبة,دور,سكني,1,14000,135.92
2025,2,الباحة,المطيريه,المودة,شقة,سكني,4,17833.33,175
2025,2,الباحة,بني حسن,الفهد,محل,تجاري,3,0,0
2025,2,الباحة,الاحد,الاحد,شقة,سكني,1,18000,180
2025,2,الباحة,المخواة,المحمدية,شقة,سكني,31,14547.36,109.51
2025,2,الباحة,الفرع السند,الفرع السند,شقة,سكني,1,9600,96
2025,2,الباحة,الباحة,النزهة,دور,سكني,8,21187.5,109.05
2025,2,الباحة,الباحة,الحسام,استديو,سكني,2,12000,285
2025,2,الباحة,العقيق,البيعة,محل,تجاري,6,0,0
2025,2,الباحة,العقيق,الإسكان,دور,سكني,1,20000,72.72
2025,2,الباحة,المخواة,القفيل,دور,سكني,1,18000,60.4
2025,2,الباحة,الباحة,الربيع,استديو,سكني,6,5000,140
2025,2,الباحة,الرهوان,الرهوان,محل,تجاري,2,0,0
2025,2,الباحة,الدكدك (النقعه),الدكدك (النقعه),شقة,سكني,2,17000,111.66
2025,2,الباحة,قرية الصدرة,قرية الصدرة,شقة,سكني,1,17000,56.66
2025,2,الباحة,العقيق,الجامعة,محل,تجاري,1,0,0
2025,2,الباحة,وادي انيام,الديوان,شقة,سكني,1,14400,80
2025,2,الباحة,خشعان,خشعان,شقة,سكني,3,21000,204.8
2025,2,الباحة,قلوة,الرمال,شقة,سكني,11,11250,90.59
2025,2,الباحة,الباحة,التلال,معرض تجاري,تجاري,6,0,0
2025,2,الباحة,قلوة,القلعة,شقة,سكني,61,12783.33,97.41
2025,2,الباحة,الباحة,السحاب,معرض تجاري,تجاري,2,0,0
2025,2,الباحة,السهمان,السهمان,شقة,سكني,2,12050,80.33
2025,2,الباحة,المندق,الغروب,شقة,سكني,5,13960,97.73
2025,2,الباحة,ابوصفيح,ابوصفيح,استديو,سكني,1,8230,274.33
2025,2,الباحة,عقده ال سعد,عقده ال سعد,دور,سكني,1,16500,137.5
2025,2,الباحة,الباحة,الندى,استديو,سكني,3,7200,205.71
2025,2,الباحة,العقيق,الإزدهار,فيلا,سكني,2,12000,13.33
2025,2,الباحة,العقيق,الطيبات,محل,تجاري,6,0,0
2025,2,الباحة,بلجرشي,السلام,دور,سكني,6,19200,129.4
2025,2,الباحة,المندق,السراة,شقة,سكني,44,12725,97.34
2025,2,الباحة,الباحة,الربيع,دور,سكني,2,18500,117.5
2025,2,الباحة,الشيق و هميجان,الشيق و هميجان,شقة,سكني,1,25000,156.25
2025,2,الباحة,بلجرشي,الأندلس,دور,سكني,3,18300,120.42
2025,2,الباحة,جرب,جرب,شقة,سكني,1,18000,90
2025,2,الباحة,الجندله,الجندله,شقة,سكني,1,7000,58.33
2025,2,الباحة,بلجرشي,الأندلس,شقة,سكني,15,16018.18,146.42
2025,2,الباحة,الجهلان,الرونة,شقة,سكني,2,18000,181.81
2025,2,الباحة,المخواة,القفيل,شقة,سكني,80,12856.85,85.97
2025,2,الباحة,قلوة,القادسية,محل,تجاري,4,0,0
2025,2,الباحة,المخواة,الخالدية,شقة,سكني,39,12104.34,88.26
2025,2,الباحة,الباحة,المنتزهات,شقة,سكني,17,13107.69,93.32
2025,2,الباحة,خميس الشعراء,خميس الشعراء,شقة,سكني,17,12092.3,140.3
2025,2,الباحة,المندق,العدل,محل,تجاري,2,0,0
2025,2,الباحة,الجفدره,الجفدره,محل,تجاري,4,0,0
2025,2,الباحة,بني حسن,الشلال,شقة,سكني,10,12066.66,89.25
2025,2,الباحة,المخواة,القفيل,محل,تجاري,1,0,0
2025,2,الباحة,المندق,الرضوان,شقة,سكني,9,14321.42,112.78
2025,2,الباحة,حبس الاثنى,حبس الاثنى,شقة,سكني,5,7600,58.19
2025,2,الباحة,الغران,الكوثر,شقة,سكني,7,13166.66,130.85
2025,2,الباحة,ابوالحصين,ابوالحصين,شقة,سكني,2,18000,115.01
2025,2,الباحة,الجرين,الجرين,شقة,سكني,3,10000,100
2025,2,الباحة,ال طارق,ذي عين,دور,سكني,1,12000,80
2025,2,الباحة,قلوة,السهول,استديو,سكني,1,6000,171.42
2025,2,الباحة,بلجرشي,الفيصلية,شقة,سكني,25,14911.11,121.93
2025,2,الباحة,سوق الحجره,سوق الحجره,شقة,سكني,7,11800,110.61
2025,2,الباحة,بلجرشي,الازهار,دور,سكني,1,10000,58.82
2025,2,الباحة,القوارير,المجد,استديو,سكني,2,14400,288
2025,2,الباحة,الباحة,الحجاز,مكتب,تجاري,1,0,0
2025,2,الباحة,العقيق,النخيل,دور,سكني,5,15000,55
2025,2,الباحة,العقيق,البيعة,دور,سكني,2,22000,73.33
2025,2,الباحة,العقيق,الجوزاء,محل,تجاري,1,0,0
2025,2,الباحة,المندق,الغيم,شقة,سكني,6,14000,88.95
2025,2,الباحة,الجفدره,الجفدره,دور,سكني,1,27600,138
