السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,3,الباحة,الباحة,المنتزهات,شقة,سكني,11,16333.33,153.61
2025,3,الباحة,الباحة,السوق,محل,تجاري,136,0,0
2025,3,الباحة,الباحة,الروضة,شقة,سكني,21,17208.33,132.7
2025,3,الباحة,الباحة,الروضة,محل,تجاري,10,0,0
2025,3,الباحة,قلوة,قرطبة,محل,تجاري,2,0,0
2025,3,الباحة,الباحة,السوق,شقة,سكني,465,17549.34,146.19
2025,3,الباحة,المندق,الغيم,شقة,سكني,24,15166.66,138.72
2025,3,الباحة,الباحة,السحاب,شقة,سكني,75,16694.11,129.1
2025,3,الباحة,العقيق,الجوزاء,محل,تجاري,1,0,0
2025,3,الباحة,سوق الحجره,سوق الحجره,شقة,سكني,18,12327.27,129.5
2025,3,الباحة,مديره,الشهداء,شقة,سكني,1,12000,80
2025,3,الباحة,ناوان,ناوان,محل,تجاري,2,0,0
2025,3,الباحة,الباحة,التلال,شقة,سكني,1,18000,120
2025,3,الباحة,الترس,الترس,شقة,سكني,1,9600,106.66
2025,3,الباحة,الباحة,الرحاب,شقة,سكني,47,13700,105.62
2025,3,الباحة,المندق,الأريج,شقة,سكني,3,15500,79.47
2025,3,الباحة,الحيموم,الحيموم,شقة,سكني,2,18000,130.9
2025,3,الباحة,المخواة,القفيل,محل,تجاري,1,0,0
2025,3,الباحة,قلوة,قرطبة,شقة,سكني,4,15625,106.42
2025,3,الباحة,حدبه الكراع,حدبه الكراع,شقة,سكني,2,12000,102.85
2025,3,الباحة,المخواة,المحمدية,دور,سكني,1,6000,20
2025,3,الباحة,الثويمات,الكادي,استديو,سكني,1,12000,300
2025,3,الباحة,بلجرشي,النجاح,شقة,سكني,7,15333.33,144.27
2025,3,الباحة,الباحة,النزهة,دور,سكني,6,20333.33,116.11
2025,3,الباحة,الباحة,السوق,دور,سكني,6,16300,76.03
2025,3,الباحة,الاحد,الاحد,شقة,سكني,1,6000,60
2025,3,الباحة,الباحة,المروج,دور,سكني,2,18000,100
2025,3,الباحة,العقيق,السلامة,شقة,سكني,149,13290,103.96
2025,3,الباحة,الباحة,البساتين,محل,تجاري,19,0,0
