السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,4,الباحة,الباحة,المنتزهات,محل,تجاري,1,0,0
2025,4,الباحة,الخمر,الخمر,شقة,سكني,1,12000,120
2025,4,الباحة,بلجرشي,الخليج,محل,تجاري,3,0,0
2025,4,الباحة,العقيق,الطيبات,شقة,سكني,90,14017.02,99.1
2025,4,الباحة,ابوصفيح,ابوصفيح,محل,تجاري,2,0,0
2025,4,الباحة,المساقه,المساقه,شقة,سكني,2,18000,66
2025,4,الباحة,العقيق,الفردوس,شقة,سكني,4,15250,94.11
2025,4,الباحة,الخفج والخفيج,الخفج والخفيج,شقة,سكني,2,12000,50
2025,4,الباحة,العقيق,الطيبات,دور,سكني,7,16542.85,73.52
2025,4,الباحة,الباحة,الحسام,استديو,سكني,4,9533.33,198.21
2025,4,الباحة,العقيق,الإسكان,شقة,سكني,3,15100,104.83
2025,4,الباحة,العقيق,المطار,شقة,سكني,149,14755.44,114.29
2025,4,الباحة,الباحة,المصيف,دور,سكني,2,17000,77.53
2025,4,الباحة,الطينة,الطينة,شقة,سكني,1,18000,100
2025,4,الباحة,الباحة,الحجاز,شقة,سكني,126,14256.75,112.02
2025,4,الباحة,الباحة,الحسام,محل,تجاري,27,0,0
2025,4,الباحة,الباحة,الشروق,شقة,سكني,61,14797.43,118.75
2025,4,الباحة,بلجرشي,التعاون,استديو,سكني,1,6000,60
2025,4,الباحة,العقيق,المطار,دور,سكني,6,24472.16,115.15
2025,4,الباحة,الباحة,النسيم,فيلا,سكني,2,24500,122.5
2025,4,الباحة,الباحة,الروضة,شقة,سكني,29,15580.76,130.63
2025,4,الباحة,القصيباء,القصيباء,شقة,سكني,2,16200,138.9
2025,4,الباحة,المندق,السراة,شقة,سكني,42,13621.84,100.6
2025,4,الباحة,الباحة,السوق,شقة,سكني,618,16312.44,140.21
2025,4,الباحة,قلوة,العزيزية,محل,تجاري,2,0,0
2025,4,الباحة,قدران,قدران,شقة,سكني,1,12000,80
2025,4,الباحة,بني حسن,الفهد,شقة,سكني,12,15600,114.66
2025,4,الباحة,المندق,الغيم,محل,تجاري,2,0,0
2025,4,الباحة,السلاطين ودليم,السلاطين ودليم,شقة,سكني,1,14000,61.94
2025,4,الباحة,حبس المجوبه,حبس المجوبه,شقة,سكني,10,12666.66,70.66
2025,4,الباحة,الباحة,السروات,شقة,سكني,1,8400,84
2025,4,الباحة,مزارع غليل بتربه,مزارع غليل بتربه,شقة,سكني,1,9000,94.73
2025,4,الباحة,العمر,العمر,شقة,سكني,2,5000,49.5
2025,4,الباحة,بلجرشي,العبير,محل,تجاري,1,0,0
2025,4,الباحة,مندسه,مندسه,شقة,سكني,1,7000,38.88
2025,4,الباحة,الباحة,النسيم,شقة,سكني,62,17920,124.61
2025,4,الباحة,فرعة غامد الزناد - الصهوه,الصهوه,شقة,سكني,1,18000,181.81
2025,4,الباحة,مهيوب العمائر,مهيوب العمائر,شقة,سكني,2,9000,73.53
2025,4,الباحة,الرهوان,الرهوان,شقة,سكني,4,6400,58.73
2025,4,الباحة,وادى جدامه,وادى جدامه,شقة,سكني,2,15000,115
2025,4,الباحة,المكاتيم,التسامح,شقة,سكني,2,12000,80.77
2025,4,الباحة,بني حسن,العين,محل,تجاري,13,0,0
2025,4,الباحة,ال باخ الاسفل والاعلى,ال باخ الاسفل والاعلى,شقة,سكني,3,14666.66,102.31
2025,4,الباحة,ابومدابغ,ابومدابغ,شقة,سكني,1,18000,90
2025,4,الباحة,ناوان,ناوان,دور,سكني,5,12000,68.34
2025,4,الباحة,الباحة,السحاب,دور,سكني,3,6000,42.42
2025,4,الباحة,ال شيبان,ال شيبان,شقة,سكني,1,8400,93.33
2025,4,الباحة,العقيق,الإزدهار,شقة,سكني,2,11500,81.25
2025,4,الباحة,المعامره والعرق والصعب وال فرحان,المعامره والعرق والصعب وال فرحان,شقة,سكني,3,8666.66,96.11
2025,4,الباحة,بيضان,بيضان,شقة,سكني,2,13500,102.94
2025,4,الباحة,المندق,المصائف,محل,تجاري,6,0,0
2025,4,الباحة,مثيب,الربوة,شقة,سكني,1,21000,123.52
2025,4,الباحة,الباحة,الحجاز,معرض تجاري,تجاري,4,0,0
2025,4,الباحة,المندق,العدل,شقة,سكني,12,15200,107.41
2025,4,الباحة,القري - النباعه,النباعه,شقة,سكني,2,18000,180
2025,4,الباحة,بلجرشي,الأندلس,دور,سكني,1,28200,151.06
2025,4,الباحة,المسعد,المسعد,شقة,سكني,3,15533.33,112.06
2025,4,الباحة,الأطاولة,الأفق,معرض تجاري,تجاري,1,0,0
2025,4,الباحة,الباحة,الرحاب,استديو,سكني,11,7400,156
2025,4,الباحة,بلجرشي,السلام,محل,تجاري,21,0,0
2025,4,الباحة,الأطاولة,الأفق,محل,تجاري,9,0,0
2025,4,الباحة,صخوان,الريان,شقة,سكني,1,18000,160.71
2025,4,الباحة,خشعان,خشعان,شقة,سكني,1,17000,212.5
2025,4,الباحة,المعصوم,المعصوم,شقة,سكني,1,18000,90
2025,4,الباحة,الجفدره,الجفدره,شقة,سكني,12,13622.22,93.86
2025,4,الباحة,بلجرشي,النور,محل,تجاري,5,0,0
2025,4,الباحة,بلجرشي,الرائد,استديو,سكني,6,10440,232.75
2025,4,الباحة,بلجرشي,المروة,شقة,سكني,33,14720,142.7
2025,4,الباحة,المخواة,المحمدية,محل,تجاري,31,0,0
2025,4,الباحة,المخواه,المخواه,شقة,سكني,1,12000,133.33
2025,4,الباحة,الثمده,الثمده,شقة,سكني,1,18000,120
2025,4,الباحة,بلجرشي,الفيصلية,شقة,سكني,24,13065,102.67
2025,4,الباحة,الباحة,النزهة,محل,تجاري,36,0,0
2025,4,الباحة,المندق,الغيم,شقة,سكني,5,17800,152
