السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,الجوف,طبرجل,الصفاء,شقة,سكني,37,14205.88,106.7
2025,1,الجوف,القريات,الصناعية,دور,سكني,2,13800,100
2025,1,الجوف,القريات,حصيدة,استديو,سكني,2,5100,101.21
2025,1,الجوف,دومة الجندل,الملك فهد,محل,تجاري,19,0,0
2025,1,الجوف,القريات,الصناعية,محل,تجاري,29,0,0
2025,1,الجوف,سكاكا,المروج,فيلا,سكني,1,36000,60
2025,1,الجوف,سكاكا,المطر,معرض تجاري,تجاري,11,0,0
2025,1,الجوف,طبرجل,الربيع,محل,تجاري,4,0,0
2025,1,الجوف,سكاكا,النهضة,شقة,سكني,17,14030.76,96.96
2025,1,الجوف,طبرجل,الزيتون,شقة,سكني,21,14055.55,111.01
2025,1,الجوف,القريات,الشفاء,معرض تجاري,تجاري,6,0,0
2025,1,الجوف,سكاكا,الزيتون,شقة,سكني,14,13550,93.53
2025,1,الجوف,سكاكا,الصناعية,محل,تجاري,19,0,0
2025,1,الجوف,دومة الجندل,غرب دومة الجندل,محل,تجاري,4,0,0
2025,1,الجوف,دومة الجندل,الصفاة,محل,تجاري,4,0,0
2025,1,الجوف,سكاكا,الروابي,دور,سكني,2,39000,111.42
2025,1,الجوف,طلعة عمار,طلعة عمار,شقة,سكني,4,18000,93.92
2025,1,الجوف,سكاكا,النخيل,محل,تجاري,30,0,0
2025,1,الجوف,سكاكا,الفرسان,شقة,سكني,30,12414.81,111.19
2025,1,الجوف,القريات,المنار,شقة,سكني,1,15600,104
2025,1,الجوف,القريات,النفل,شقة,سكني,2,10800,84.17
2025,1,الجوف,سكاكا,الشفاء,مكتب,تجاري,2,0,0
2025,1,الجوف,صوير,الشفاء,محل,تجاري,10,0,0
2025,1,الجوف,دومة الجندل,البوادي,محل,تجاري,1,0,0
2025,1,الجوف,سكاكا,الورود,دور,سكني,1,18000,90
2025,1,الجوف,سكاكا,الرحمانية,دور,سكني,7,14750,81.26
2025,1,الجوف,سكاكا,الرحمانية,فيلا,سكني,1,24000,51.05
2025,1,الجوف,سكاكا,الزهور,معرض تجاري,تجاري,2,0,0
2025,1,الجوف,سكاكا,الشروق,دور,سكني,1,30000,100
2025,1,الجوف,دومة الجندل,غرب دومة الجندل,استديو,سكني,1,18000,225
2025,1,الجوف,سكاكا,الزهور,فيلا,سكني,1,30000,66.66
2025,1,الجوف,سكاكا,الرواد,شقة,سكني,10,13400,124.57
2025,1,الجوف,دومة الجندل,العزيزية,محل,تجاري,48,0,0
2025,1,الجوف,سكاكا,سلطانة,محل,تجاري,4,0,0
2025,1,الجوف,سكاكا,الشعلة,شقة,سكني,2,12000,109.18
2025,1,الجوف,سكاكا,التلال,فيلا,سكني,1,45000,125
2025,1,الجوف,دومة الجندل,التحكيم,شقة,سكني,29,9504.54,79.08
2025,1,الجوف,دومة الجندل,خذماء,محل,تجاري,8,0,0
2025,1,الجوف,سكاكا,بدر,معرض تجاري,تجاري,3,0,0
2025,1,الجوف,القريات,الريحان,شقة,سكني,9,13875,114.23
2025,1,الجوف,العيساوية,الفيصلية,شقة,سكني,30,14398.84,97.94
2025,1,الجوف,زلوم,زلوم,محل,تجاري,3,0,0
2025,1,الجوف,سكاكا,الصناعية,شقة,سكني,24,11766.66,100.04
2025,1,الجوف,القريات,الشفاء,دور,سكني,18,16960,90.31
2025,1,الجوف,سكاكا,الواحة,شقة,سكني,41,13148.88,106.59
2025,1,الجوف,سكاكا,الفرسان,استديو,سكني,1,8400,168
2025,1,الجوف,العيساوية,السليمانية,استديو,سكني,1,12000,100
2025,1,الجوف,سكاكا,السوق,محل,تجاري,49,0,0
2025,1,الجوف,طبرجل,الشفاء,شقة,سكني,7,14400,90.4
2025,1,الجوف,سكاكا,الواحة,دور,سكني,2,21600,108
2025,1,الجوف,النباج,النباج,محل,تجاري,1,0,0
2025,1,الجوف,سكاكا,الواحة,استديو,سكني,1,6000,150
2025,1,الجوف,دومة الجندل,الملك فهد,استديو,سكني,8,7425,110.85
2025,1,الجوف,العيساوية,العزيزية,شقة,سكني,18,15680.66,95.12
2025,1,الجوف,سكاكا,السليمانية,محل,تجاري,24,0,0
2025,1,الجوف,سكاكا,الشلهوب,استديو,سكني,1,4200,84
2025,1,الجوف,دومة الجندل,التحكيم,محل,تجاري,3,0,0
