السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,2,الجوف,طبرجل,النزهة,شقة,سكني,2,15017.5,115.79
2025,2,الجوف,سكاكا,السوق,محل,تجاري,30,0,0
2025,2,الجوف,دومة الجندل,الغدير,دوبلاكس,سكني,1,24000,96
2025,2,الجوف,القريات,العقيلة الجنوبية,محل,تجاري,7,0,0
2025,2,الجوف,دومة الجندل,الملك فهد,استديو,سكني,5,6600,131.02
2025,2,الجوف,سكاكا,الضاحية,دور,سكني,1,18000,60
2025,2,الجوف,سكاكا,الزهراء,شقة,سكني,55,14530.23,121.15
2025,2,الجوف,سكاكا,السوق,شقة,سكني,21,13937.5,108.78
2025,2,الجوف,سكاكا,الشعلة,دور,سكني,1,21600,86.4
2025,2,الجوف,سكاكا,الفاروق,محل,تجاري,23,0,0
2025,2,الجوف,القريات,الرفاع,محل,تجاري,3,0,0
2025,2,الجوف,سكاكا,البديعة,شقة,سكني,17,13612.3,123.91
2025,2,الجوف,القريات,الشفاء,دور,سكني,9,12960,74.4
2025,2,الجوف,سكاكا,الشفاء,مكتب,تجاري,7,0,0
2025,2,الجوف,سكاكا,الروابي,شقة,سكني,12,13740,124.61
2025,2,الجوف,القريات,الإزدهار,شقة,سكني,1,15000,96.05
2025,2,الجوف,سكاكا,الضاحية,شقة,سكني,3,12000,60
2025,2,الجوف,سكاكا,الصالحية,دور,سكني,1,12000,60
2025,2,الجوف,طبرجل,الحزم,محل,تجاري,2,0,0
2025,2,الجوف,سكاكا,الفرسان,فيلا,سكني,1,26400,44
2025,2,الجوف,سكاكا,الشفاء,معرض تجاري,تجاري,1,0,0
2025,2,الجوف,سكاكا,الشفاء,فيلا,سكني,1,26000,104
2025,2,الجوف,سكاكا,الشعيب,محل,تجاري,31,0,0
2025,2,الجوف,طبرجل,الخالدية,معرض تجاري,تجاري,4,0,0
2025,2,الجوف,سكاكا,الصفاء,محل,تجاري,13,0,0
2025,2,الجوف,القريات,المروج,شقة,سكني,248,12531.93,106.29
2025,2,الجوف,سكاكا,الفيصلية,محل,تجاري,22,0,0
