السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,3,الجوف,النبك ابوقصر,النبك ابوقصر,محل,تجاري,14,0,0
2025,3,الجوف,زلوم,زلوم,شقة,سكني,31,12441.66,102.29
2025,3,الجوف,دومة الجندل,التحكيم,دور,سكني,1,12000,100
2025,3,الجوف,سكاكا,المعاقلة,دور,سكني,1,9600,64
2025,3,الجوف,طبرجل,الزيتون,شقة,سكني,11,17200,145.2
2025,3,الجوف,سكاكا,الشلهوب,معرض تجاري,تجاري,3,0,0
2025,3,الجوف,العيساوية,الفيصلية,محل,تجاري,3,0,0
2025,3,الجوف,سكاكا,المطر,مكتب,تجاري,1,0,0
2025,3,الجوف,سكاكا,العزيزية,محل,تجاري,42,0,0
2025,3,الجوف,دومة الجندل,النزهة,فيلا,سكني,1,28000,140
2025,3,الجوف,سكاكا,النخيل,دور,سكني,3,14800,83.55
2025,3,الجوف,سكاكا,التلال,شقة,سكني,53,15760,112.04
2025,3,الجوف,القريات,الشفاء,شقة,سكني,321,12806.72,106.39
2025,3,الجوف,سكاكا,بدر,معرض تجاري,تجاري,3,0,0
2025,3,الجوف,سكاكا,الضاحية,محل,تجاري,1,0,0
2025,3,الجوف,دومة الجندل,الملك عبدالعزيز,محل,تجاري,1,0,0
2025,3,الجوف,سكاكا,الفرسان,دور,سكني,2,18000,114.54
2025,3,الجوف,القريات,الشفاء,دور,سكني,18,13700,76.08
2025,3,الجوف,العيساوية,العزيزية,محل,تجاري,2,0,0
2025,3,الجوف,الناصفه,الناصفه,محل,تجاري,2,0,0
2025,3,الجوف,سكاكا,الصناعية,معرض تجاري,تجاري,3,0,0
2025,3,الجوف,طبرجل,الخالدية,معرض تجاري,تجاري,1,0,0
2025,3,الجوف,طبرجل,السلام,شقة,سكني,1,12000,88.88
2025,3,الجوف,الحديثة القديمة,الحديثة القديمة,محل,تجاري,16,0,0
2025,3,الجوف,القريات,العزيزية,استديو,سكني,15,15450,295.87
2025,3,الجوف,سكاكا,الشفاء,شقة,سكني,210,11996.15,110.38
2025,3,الجوف,سكاكا,الواحة,دور,سكني,4,19900,97.05
2025,3,الجوف,سكاكا,الجوهرة,استديو,سكني,2,4800,192
2025,3,الجوف,سكاكا,الروضة,شقة,سكني,97,14779.59,119.33
2025,3,الجوف,طلعة عمار,طلعة عمار,شقة,سكني,4,12600,88.58
2025,3,الجوف,دومة الجندل,الملك فهد,محل,تجاري,16,0,0
2025,3,الجوف,سكاكا,المطر,شقة,سكني,27,12972.72,105.49
2025,3,الجوف,سكاكا,الصالحية,استديو,سكني,7,11200,129.74
2025,3,الجوف,دومة الجندل,خذماء,شقة,سكني,42,12955.55,106.06
2025,3,الجوف,اللويزه,اللويزه,شقة,سكني,14,10918.18,95.41
2025,3,الجوف,طبرجل,الورود,استديو,سكني,1,6000,66.66
2025,3,الجوف,دومة الجندل,التحكيم,محل,تجاري,11,0,0
2025,3,الجوف,دومة الجندل,البوادي,شقة,سكني,10,12200,91.33
2025,3,الجوف,سكاكا,الرحمانية,استديو,سكني,28,9888,363.8
2025,3,الجوف,القريات,الواحة,دور,سكني,2,12000,110
2025,3,الجوف,سكاكا,الروضة,فيلا,سكني,1,60000,150
2025,3,الجوف,القريات,النرجس,شقة,سكني,2,12000,94.44
2025,3,الجوف,القريات,الرسالة,شقة,سكني,1,18000,180
2025,3,الجوف,طبرجل,الورود,شقة,سكني,126,13587.5,109.99
2025,3,الجوف,دومة الجندل,خذماء,دور,سكني,2,5000,41.66
2025,3,الجوف,سكاكا,الفيصلية,محل,تجاري,12,0,0
2025,3,الجوف,سكاكا,الزهور,دور,سكني,5,30500,148.37
2025,3,الجوف,سكاكا,الروضة,استديو,سكني,18,13380,189.87
2025,3,الجوف,سكاكا,الصناعية,محل,تجاري,8,0,0
2025,3,الجوف,القريات,النخيل,شقة,سكني,4,13500,117.24
2025,3,الجوف,القريات,الأمير عبدالاله بن عبدالعزيز,محل,تجاري,22,0,0
2025,3,الجوف,القريات,الزمرد,شقة,سكني,11,9600,91.59
2025,3,الجوف,القريات,الياسمين,محل,تجاري,4,0,0
2025,3,الجوف,دومة الجندل,الغربي,شقة,سكني,22,8325,64
2025,3,الجوف,طبرجل,الورود,دور,سكني,1,18000,180
2025,3,الجوف,خوعاء,خوعاء,شقة,سكني,3,8600,60
2025,3,الجوف,القريات,الشفاء,محل,تجاري,67,0,0
2025,3,الجوف,القريات,الربيع,شقة,سكني,2,12000,96.15
2025,3,الجوف,دومة الجندل,التحكيم,شقة,سكني,29,9933.33,71.58
2025,3,الجوف,سكاكا,الصفاء,شقة,سكني,61,14291.66,111
2025,3,الجوف,القريات,الأمير عبدالاله بن عبدالعزيز,استديو,سكني,8,11550,194.35
2025,3,الجوف,سكاكا,الواحة,فيلا,سكني,1,37000,123.33
2025,3,الجوف,سكاكا,المروج,محل,تجاري,7,0,0
2025,3,الجوف,سكاكا,الشلهوب,استديو,سكني,5,6000,120
2025,3,الجوف,سكاكا,المعاقلة,استديو,سكني,2,4800,140
2025,3,الجوف,الفياض,الفياض,محل,تجاري,2,0,0
2025,3,الجوف,صوير,التلال,شقة,سكني,5,13800,92
2025,3,الجوف,القريات,الياسمين,شقة,سكني,50,11557.89,95.65
2025,3,الجوف,سكاكا,الحزم,محل,تجاري,3,0,0
2025,3,الجوف,صوير,العزيزية,محل,تجاري,6,0,0
2025,3,الجوف,دومة الجندل,الجوهرة,شقة,سكني,2,9600,87.27
2025,3,الجوف,سكاكا,النور,شقة,سكني,8,12600,95
2025,3,الجوف,القريات,الرفاع,دور,سكني,1,18000,90
2025,3,الجوف,سكاكا,السلام,دور,سكني,7,20480,111.23
2025,3,الجوف,دومة الجندل,الملك فهد,استديو,سكني,13,7714.28,118.78
2025,3,الجوف,دومة الجندل,غرب دومة الجندل,استديو,سكني,1,6000,80
2025,3,الجوف,سكاكا,الرحمانية,محل,تجاري,79,0,0
2025,3,الجوف,سكاكا,السوق,شقة,سكني,18,13672.72,110.78
2025,3,الجوف,دومة الجندل,العزيزية,شقة,سكني,98,10053.33,83.45
2025,3,الجوف,القريات,العقيلة الشمالية,شقة,سكني,2,12000,90
2025,3,الجوف,دومة الجندل,غرب دومة الجندل,محل,تجاري,7,0,0
2025,3,الجوف,صوير,الفيصلية,شقة,سكني,56,12357.14,84
2025,3,الجوف,صوير,الفيصلية,محل,تجاري,9,0,0
2025,3,الجوف,دومة الجندل,الشفاء,دور,سكني,2,21000,132.47
2025,3,الجوف,القريات,الواحة,محل,تجاري,34,0,0
2025,3,الجوف,صوير,النزهة,شقة,سكني,12,9500,69.17
2025,3,الجوف,طبرجل,النفل,شقة,سكني,1,9600,46.71
2025,3,الجوف,صوير,العزيزية,شقة,سكني,4,12000,75.55
2025,3,الجوف,دومة الجندل,الخالدية,شقة,سكني,4,9300,79.66
2025,3,الجوف,سكاكا,الزهور,فيلا,سكني,1,18000,49.72
2025,3,الجوف,قليب خضر,قليب خضر,شقة,سكني,6,13200,120
2025,3,الجوف,سكاكا,المروج,فيلا,سكني,1,36000,120
2025,3,الجوف,القريات,العزيزية,فيلا,سكني,1,24000,96
2025,3,الجوف,طبرجل,الزيتون,محل,تجاري,4,0,0
2025,3,الجوف,العيساوية,السليمانية,شقة,سكني,1,6000,42.33
2025,3,الجوف,القريات,العقيلة الجنوبية,شقة,سكني,32,14857.14,112.74
2025,3,الجوف,سكاكا,العزيزية,شقة,سكني,185,17428.35,142.41
2025,3,الجوف,طبرجل,الخزامى,محل,تجاري,1,0,0
2025,3,الجوف,سكاكا,الفيصلية,شقة,سكني,323,13744.32,111
2025,3,الجوف,سكاكا,الجوهرة,دور,سكني,1,12000,100
2025,3,الجوف,القريات,حصيدة,شقة,سكني,223,11990.62,98.12
2025,3,الجوف,دومة الجندل,الصفاة,فيلا,سكني,3,23100,61.8
2025,3,الجوف,سكاكا,الواحة,شقة,سكني,36,14810,114.46
2025,3,الجوف,دومة الجندل,غرب دومة الجندل,شقة,سكني,94,13007.14,97.21
2025,3,الجوف,اللويزه,اللويزه,دور,سكني,2,33000,117.43
2025,3,الجوف,طبرجل,الربوة,شقة,سكني,7,16416.66,138.98
2025,3,الجوف,سكاكا,الزهور,شقة,سكني,165,14763.47,115.77
2025,3,الجوف,سكاكا,السلام,شقة,سكني,133,12683.67,104.71
2025,3,الجوف,دومة الجندل,الرديفة والرافعية,شقة,سكني,12,14760,105.13
2025,3,الجوف,سكاكا,الصديق,محل,تجاري,1,0,0
2025,3,الجوف,سكاكا,المروج,استديو,سكني,1,9600,174.54
2025,3,الجوف,سكاكا,النفل,شقة,سكني,13,15983.33,130.79
2025,3,الجوف,سكاكا,الشفاء,استديو,سكني,6,9600,137.14
2025,3,الجوف,سكاكا,بدر,شقة,سكني,54,13440,107.27
2025,3,الجوف,القريات,الزمرد,معرض تجاري,تجاري,1,0,0
2025,3,الجوف,القريات,العقيلة الجنوبية,دور,سكني,1,13200,60
2025,3,الجوف,سكاكا,المطر,محل,تجاري,25,0,0
2025,3,الجوف,طبرجل,الربيع,محل,تجاري,15,0,0
2025,3,الجوف,سكاكا,الطوير,استديو,سكني,2,6600,240
2025,3,الجوف,القريات,المروج,محل,تجاري,33,0,0
2025,3,الجوف,سكاكا,الفاروق,شقة,سكني,42,15890,115.78
2025,3,الجوف,سكاكا,المطر,معرض تجاري,تجاري,5,0,0
2025,3,الجوف,سكاكا,الشفاء,محل,تجاري,61,0,0
2025,3,الجوف,سكاكا,الناصرية,شقة,سكني,558,12761.25,121.59
2025,3,الجوف,دومة الجندل,الغدير,شقة,سكني,20,12885.71,85.9
2025,3,الجوف,سكاكا,العروبة,دوبلاكس,سكني,1,18000,90
2025,3,الجوف,سكاكا,المروج,دور,سكني,1,13200,44
2025,3,الجوف,دومة الجندل,خذماء,محل,تجاري,9,0,0
2025,3,الجوف,سكاكا,العزيزية,دور,سكني,1,21600,108
2025,3,الجوف,سكاكا,الورود,شقة,سكني,40,11666.66,102.8
2025,3,الجوف,سكاكا,الرحمانية,فيلا,سكني,1,37000,70.47
2025,3,الجوف,سكاكا,الشعلة,محل,تجاري,1,0,0
2025,3,الجوف,طبرجل,الروابي,شقة,سكني,9,15600,151.29
2025,3,الجوف,سكاكا,العروبة,شقة,سكني,17,14927.27,105.47
2025,3,الجوف,سكاكا,الجوهرة,شقة,سكني,51,12400,90.87
2025,3,الجوف,دومة الجندل,الملك فهد,شقة,سكني,138,11219.35,88.35
2025,3,الجوف,سكاكا,الضلع,شقة,سكني,28,14713.33,117.48
2025,3,الجوف,القريات,المروج,معرض تجاري,تجاري,2,0,0
2025,3,الجوف,سكاكا,البديعة,محل,تجاري,8,0,0
2025,3,الجوف,سكاكا,الصالحية,محل,تجاري,8,0,0
2025,3,الجوف,سكاكا,الفاروق,محل,تجاري,21,0,0
2025,3,الجوف,سكاكا,الرواد,شقة,سكني,7,13350,102.92
2025,3,الجوف,القريات,الدعبوسية,محل,تجاري,2,0,0
2025,3,الجوف,سكاكا,الهدا,شقة,سكني,7,14719.6,111.73
2025,3,الجوف,سكاكا,الشفاء,معرض تجاري,تجاري,10,0,0
2025,3,الجوف,سكاكا,النخيل,محل,تجاري,4,0,0
2025,3,الجوف,سكاكا,السليمانية,شقة,سكني,186,13943.31,103.49
2025,3,الجوف,القريات,الصناعية,محل,تجاري,18,0,0
2025,3,الجوف,طبرجل,النظيم,محل,تجاري,1,0,0
2025,3,الجوف,القريات,الشفاء,استديو,سكني,3,10500,148.66
2025,3,الجوف,سكاكا,الفيصلية,دور,سكني,6,24600,143
2025,3,الجوف,سكاكا,التلال,دور,سكني,1,36000,120
2025,3,الجوف,سكاكا,الريان,شقة,سكني,64,14891.17,114.24
2025,3,الجوف,العيساوية,الربوة,شقة,سكني,2,13800,100
2025,3,الجوف,سكاكا,الفرسان,استديو,سكني,2,9600,240
2025,3,الجوف,الناصفه,الناصفه,شقة,سكني,10,16800,116
2025,3,الجوف,الحديثة القديمة,الحديثة القديمة,شقة,سكني,3,12000,90.54
2025,3,الجوف,القريات,الواحة,استديو,سكني,3,12000,240
2025,3,الجوف,دومة الجندل,الملك فهد,فيلا,سكني,1,22800,57.28
2025,3,الجوف,القريات,الخزامى,دور,سكني,6,20800,81.77
2025,3,الجوف,سكاكا,الضاحية,شقة,سكني,2,6300,57.86
2025,3,الجوف,القريات,العزيزية,معرض تجاري,تجاري,3,0,0
2025,3,الجوف,سكاكا,السلام,استديو,سكني,4,9000,161.71
2025,3,الجوف,دومة الجندل,العزيزية,محل,تجاري,61,0,0
2025,3,الجوف,سكاكا,الرحمانية,معرض تجاري,تجاري,10,0,0
2025,3,الجوف,القريات,الورود,دور,سكني,7,20700,117.7
2025,3,الجوف,سكاكا,الناصرية,دور,سكني,5,27750,103.5
2025,3,الجوف,سكاكا,السليمانية,استديو,سكني,7,12000,205.29
2025,3,الجوف,طبرجل,الزهور,شقة,سكني,1,18000,90
2025,3,الجوف,سكاكا,الربوة,شقة,سكني,76,15053.33,113.27
2025,3,الجوف,سكاكا,الشلهوب,شقة,سكني,156,11404.48,97.67
2025,3,الجوف,القريات,الأمير عبدالاله بن عبدالعزيز,دور,سكني,10,22320,85.99
2025,3,الجوف,طبرجل,الخالدية,محل,تجاري,52,0,0
2025,3,الجوف,طبرجل,المروة,محل,تجاري,3,0,0
2025,3,الجوف,الفياض,الفياض,شقة,سكني,3,12000,111.51
2025,3,الجوف,طبرجل,العزيزية,شقة,سكني,125,15315.78,126.26
2025,3,الجوف,القريات,الأندلس,شقة,سكني,1,12000,109.09
2025,3,الجوف,سكاكا,الزيتون,استديو,سكني,1,9600,160
2025,3,الجوف,طبرجل,المنتزة,شقة,سكني,27,14250,127.64
2025,3,الجوف,سكاكا,الشفاء,مكتب,تجاري,8,0,0
2025,3,الجوف,المروت,المروت,شقة,سكني,1,18000,90
2025,3,الجوف,سكاكا,الطوير,معرض تجاري,تجاري,1,0,0
2025,3,الجوف,سكاكا,سلطانة,محل,تجاري,2,0,0
2025,3,الجوف,سكاكا,النزهة,شقة,سكني,2,10200,58
2025,3,الجوف,طبرجل,الحزم,شقة,سكني,1,12000,100
2025,3,الجوف,سكاكا,الواحة,استديو,سكني,1,4800,120
2025,3,الجوف,سكاكا,الطوير,شقة,سكني,120,13575.57,112.09
2025,3,الجوف,القريات,الرفاع,شقة,سكني,40,12514.28,92.84
2025,3,الجوف,سكاكا,النزهة,محل,تجاري,3,0,0
2025,3,الجوف,سكاكا,الروابي,شقة,سكني,7,14000,85.25
2025,3,الجوف,سكاكا,الريان,محل,تجاري,8,0,0
2025,3,الجوف,القريات,العزيزية,شقة,سكني,410,13572.45,110.78
2025,3,الجوف,طبرجل,الربيع,شقة,سكني,18,12685.71,102.92
2025,3,الجوف,القريات,الزيتون,شقة,سكني,13,14566.66,121.38
2025,3,الجوف,دومة الجندل,خذماء,استديو,سكني,1,9000,180
2025,3,الجوف,ام فرس,ام فرس,محل,تجاري,1,0,0
2025,3,الجوف,القريات,الخزامى,محل,تجاري,8,0,0
2025,3,الجوف,القريات,الورود,محل,تجاري,7,0,0
2025,3,الجوف,القريات,الملك فهد,دور,سكني,7,17800,87.11
2025,3,الجوف,سكاكا,الصالحية,شقة,سكني,96,10552.08,83.85
2025,3,الجوف,صوير,الفيصلية,استديو,سكني,1,4800,96
2025,3,الجوف,دومة الجندل,العزيزية,دور,سكني,1,19800,165
2025,3,الجوف,سكاكا,المروج,شقة,سكني,113,13028.3,107.22
2025,3,الجوف,القريات,غطي,محل,تجاري,1,0,0
2025,3,الجوف,القريات,الأمير عبدالاله بن عبدالعزيز,شقة,سكني,168,12831.25,97.22
2025,3,الجوف,سكاكا,السوق,محل,تجاري,40,0,0
2025,3,الجوف,سكاكا,المعاقلة,محل,تجاري,42,0,0
2025,3,الجوف,سكاكا,السلام,محل,تجاري,21,0,0
2025,3,الجوف,سكاكا,النفل,محل,تجاري,1,0,0
2025,3,الجوف,القريات,المروج,شقة,سكني,320,12321.62,97.32
2025,3,الجوف,سكاكا,التلال,محل,تجاري,4,0,0
