السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,4,الجوف,سكاكا,الرواد,شقة,سكني,8,20520,162.67
2025,4,الجوف,القريات,العزيزية,استديو,سكني,14,10350,193.83
2025,4,الجوف,القريات,الربيع,شقة,سكني,18,13566.66,91.5
2025,4,الجوف,الرديفة,الرديفة,محل,تجاري,2,0,0
2025,4,الجوف,سكاكا,الشلهوب,استديو,سكني,1,8400,186.66
2025,4,الجوف,سكاكا,العروبة,معرض تجاري,تجاري,1,0,0
2025,4,الجوف,سكاكا,الروضة,فيلا,سكني,1,35000,24.82
2025,4,الجوف,سكاكا,الشلهوب,دور,سكني,2,22800,174
2025,4,الجوف,الحديثة القديمة,الحديثة القديمة,شقة,سكني,2,12000,102.17
2025,4,الجوف,سكاكا,الصالحية,دور,سكني,3,20000,60
2025,4,الجوف,سكاكا,الروابي,دور,سكني,1,18000,72
2025,4,الجوف,عذفاء,عذفاء,شقة,سكني,1,6000,66.66
2025,4,الجوف,القريات,الواحة,شقة,سكني,159,11721.62,94.38
2025,4,الجوف,سكاكا,النخيل,استديو,سكني,10,7400,176.66
2025,4,الجوف,القريات,الدعبوسية,شقة,سكني,5,20000,165.89
2025,4,الجوف,القريات,العقيلة الجنوبية,شقة,سكني,65,14720.32,107.89
2025,4,الجوف,صوير,الفيصلية,شقة,سكني,43,14805.88,107.55
2025,4,الجوف,القريات,النفل,شقة,سكني,8,15428.57,127.26
2025,4,الجوف,صوير,العزيزية,شقة,سكني,16,12000,92.83
2025,4,الجوف,سكاكا,الواحة,محل,تجاري,4,0,0
2025,4,الجوف,سكاكا,النفل,دور,سكني,1,12000,63.15
2025,4,الجوف,دومة الجندل,الخالدية,شقة,سكني,15,10138.46,81.07
2025,4,الجوف,سكاكا,بدر,محل,تجاري,10,0,0
2025,4,الجوف,سكاكا,العروبة,شقة,سكني,13,13172.72,105.51
2025,4,الجوف,سكاكا,الزهراء,فيلا,سكني,1,9600,48
2025,4,الجوف,القريات,الشفاء,فيلا,سكني,1,20400,136
2025,4,الجوف,طبرجل,العزيزية,شقة,سكني,132,14833.58,110.76
2025,4,الجوف,الفياض,الفياض,شقة,سكني,11,15250,104.88
2025,4,الجوف,القريات,الشفاء,دور,سكني,6,13000,66.8
2025,4,الجوف,سكاكا,الصفاء,معرض تجاري,تجاري,10,0,0
2025,4,الجوف,سكاكا,الزهور,فيلا,سكني,3,60000,127.77
2025,4,الجوف,طبرجل,الواحة,محل,تجاري,1,0,0
2025,4,الجوف,سكاكا,الهدا,شقة,سكني,11,14733.33,105.08
