السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,القصيم,الرس,الصناعية,دور,سكني,1,19000,94.52
2025,1,القصيم,بريدة,الربوة,دور,سكني,37,15964.64,93.72
2025,1,القصيم,قبة,حي النزهة,محل,تجاري,1,0,0
2025,1,القصيم,مزارع الفويلق,الحي الجنوبي,شقة,سكني,5,16383.75,87.48
2025,1,القصيم,بريدة,الجنوب,محل,تجاري,27,0,0
2025,1,القصيم,بريدة,الباطن,معرض تجاري,تجاري,1,0,0
2025,1,القصيم,امباري,امباري,شقة,سكني,4,16400,104.35
2025,1,القصيم,الشيحيه,الشيحيه,محل,تجاري,5,0,0
2025,1,القصيم,بريدة,النازية,دور,سكني,9,18125,86.51
2025,1,القصيم,عيون الجواء,المرقب,دوبلاكس,سكني,2,24000,115.9
2025,1,القصيم,قصيباء الجديده,حي الياسمين,دور,سكني,1,12000,60
2025,1,القصيم,القرين,القرين,شقة,سكني,31,14032.53,109.36
2025,1,القصيم,بريدة,النقع الشرقي,استديو,سكني,1,6000,85.71
2025,1,القصيم,عيون الجواء,أوثال,دور,سكني,1,13000,86.66
2025,1,القصيم,قصرابن عقيل,النرجس,شقة,سكني,4,15750,132.5
2025,1,القصيم,بريدة,الحزم,استديو,سكني,1,4500,180
2025,1,القصيم,البكيرية,الأمل,دور,سكني,11,19625,89.25
2025,1,القصيم,المرموثه,المرموثه,شقة,سكني,2,18000,100
2025,1,القصيم,البكيرية,الزهرة,فيلا,سكني,4,23250,77
2025,1,القصيم,البدائع,الدحلة,محل,تجاري,1,0,0
2025,1,القصيم,الرس,الروضة,استديو,سكني,2,6500,162.5
2025,1,القصيم,القوارة,الربوة,محل,تجاري,1,0,0
2025,1,القصيم,بريدة,الإسكان,دور,سكني,37,15597.9,77.73
2025,1,القصيم,بريدة,خضيراء الشمالية,محل,تجاري,2,0,0
2025,1,القصيم,دخنة,حي الأندلس,دور,سكني,2,12000,35
2025,1,القصيم,ضرية,مركز المطيوي,شقة,سكني,4,6000,100
2025,1,القصيم,المذنب,المروج,شقة,سكني,12,14333.33,113.19
2025,1,القصيم,عنيزة,الصفاء,شقة,سكني,7,11820,95.5
2025,1,القصيم,بريدة,اللسيب,شقة,سكني,8,13571.42,83.99
2025,1,القصيم,بريدة,الروابي,محل,تجاري,5,0,0
2025,1,القصيم,البكيرية,المنار,مكتب,تجاري,2,0,0
2025,1,القصيم,البكيرية,الزهرة,معرض تجاري,تجاري,1,0,0
2025,1,القصيم,بريدة,الوسيطاء,دور,سكني,16,14916.66,90.55
2025,1,القصيم,دخنة,حي النهضة,دور,سكني,3,17000,60.93
2025,1,القصيم,الرس,المدينة,شقة,سكني,14,16750,104.11
2025,1,القصيم,بريدة,المطار القديم,دوبلاكس,سكني,1,30000,136.98
2025,1,القصيم,البكيرية,الخليج,محل,تجاري,10,0,0
2025,1,القصيم,بريدة,السلام الشرقي,محل,تجاري,32,0,0
2025,1,القصيم,عنيزة,الملك خالد,محل,تجاري,36,0,0
2025,1,القصيم,بريدة,المنتزة الغربي,معرض تجاري,تجاري,12,0,0
2025,1,القصيم,عنيزة,البستان,دور,سكني,3,13333.33,44.44
2025,1,القصيم,البدائع,العبدلية,شقة,سكني,9,16000,110.04
2025,1,القصيم,بريدة,البساتين الغربي,دور,سكني,12,15000,78.57
2025,1,القصيم,عنيزة,السليمانية,دور,سكني,26,13976.19,95.34
2025,1,القصيم,بريدة,الروابي,شقة,سكني,25,12187.5,102.17
2025,1,القصيم,عنيزة,الأشرفية,دور,سكني,38,24193.54,99.5
2025,1,القصيم,عنيزة,الشفاء,معرض تجاري,تجاري,4,0,0
2025,1,القصيم,البكيرية,الأمل,معرض تجاري,تجاري,1,0,0
2025,1,القصيم,النقره,النقره,شقة,سكني,2,18000,105
2025,1,القصيم,الرس,الروابي,شقة,سكني,46,12957.69,94.92
2025,1,القصيم,رياض الخبراء,التعاون,شقة,سكني,25,8794.73,73.05
