السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,2,القصيم,بريدة,السالمية,مكتب,تجاري,1,0,0
2025,2,القصيم,الناعمه,الناعمه,شقة,سكني,2,18000,150
2025,2,القصيم,بريدة,الشماس,شقة,سكني,176,7152.67,70.86
2025,2,القصيم,بريدة,النازية,شقة,سكني,128,9701.61,103.41
2025,2,القصيم,الرس,الروابي,استديو,سكني,1,5000,66.66
2025,2,القصيم,عنيزة,المنار,استديو,سكني,2,6000,240
2025,2,القصيم,بريدة,الصفراء,فيلا,سكني,6,23200,91.61
2025,2,القصيم,عنيزة,السليمانية,محل,تجاري,100,0,0
2025,2,القصيم,بريدة,الزهرة,فيلا,سكني,1,25000,100
2025,2,القصيم,امباري,امباري,محل,تجاري,1,0,0
2025,2,القصيم,بريدة,الصباخ,محل,تجاري,25,0,0
2025,2,القصيم,عنيزة,الصفاء,شقة,سكني,8,11080,71.51
2025,2,القصيم,عين بن فهيد,قصر العبدالله,فيلا,سكني,1,12000,40
2025,2,القصيم,بريدة,قرطبة,فيلا,سكني,1,55000,174.6
2025,2,القصيم,بريدة,خضيراء الجنوبية,محل,تجاري,1,0,0
2025,2,القصيم,النبهانية,غرناطة,دور,سكني,1,12000,68.57
2025,2,القصيم,عنيزة,الخزامى,شقة,سكني,4,15333.33,191.66
2025,2,القصيم,الجفن والردهه,الجفن والردهه,محل,تجاري,1,0,0
2025,2,القصيم,القوارة,الربوة,دور,سكني,1,12000,48
2025,2,القصيم,عقلة الصقور,الخليج,محل,تجاري,10,0,0
2025,2,القصيم,عيون الجواء,النهضة,دور,سكني,5,16300,58.96
2025,2,القصيم,المحلانى,المحلانى,شقة,سكني,3,17000,137.12
2025,2,القصيم,البدائع,الريان,دور,سكني,7,11000,65.29
2025,2,القصيم,بريدة,خب القبر,شقة,سكني,5,20000,137.29
2025,2,القصيم,عيون الجواء,النهضة,محل,تجاري,14,0,0
2025,2,القصيم,بريدة,العليا,معرض تجاري,تجاري,1,0,0
2025,2,القصيم,بريدة,ضارج,شقة,سكني,2,17000,173.07
2025,2,القصيم,عنيزة,الجلدة,شقة,سكني,3,15000,120
2025,2,القصيم,عنيزة,السلام,فيلا,سكني,2,26500,128.67
2025,2,القصيم,بريدة,وهطان,دور,سكني,1,12000,57.14
2025,2,القصيم,بريدة,السليمانية,معرض تجاري,تجاري,1,0,0
2025,2,القصيم,عنيزة,الشفاء,فيلا,سكني,4,25500,81.59
2025,2,القصيم,البصر,الميداء,فيلا,سكني,2,18500,39.56
2025,2,القصيم,البدائع,الأصفر,دور,سكني,4,12666.66,69.44
2025,2,القصيم,بريدة,حويلان,محل,تجاري,1,0,0
2025,2,القصيم,البصر,الميداء,محل,تجاري,22,0,0
2025,2,القصيم,بريدة,التخصصي,محل,تجاري,23,0,0
2025,2,القصيم,بريدة,الجردة,فيلا,سكني,2,15500,77.5
2025,2,القصيم,النبهانية,البلاد,دور,سكني,2,13800,63
