السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,3,القصيم,المذنب,حي ج21,محل,تجاري,4,0,0
2025,3,القصيم,البدائع,البساتين,شقة,سكني,3,12466.66,80.88
2025,3,القصيم,قصرابن عقيل,البستان,دور,سكني,3,16500,100.89
2025,3,القصيم,عنيزة,السليمانية,استديو,سكني,39,6263.63,163.73
2025,3,القصيم,بريدة,الشماس,شقة,سكني,188,8378.35,80.8
2025,3,القصيم,عنيزة,السلام,فيلا,سكني,3,25000,125
2025,3,القصيم,بريدة,الفلاح,شقة,سكني,284,14362.52,109.66
2025,3,القصيم,بريدة,الخبيب,فيلا,سكني,2,40000,100.25
2025,3,القصيم,عيون الجواء,المرقب,فيلا,سكني,5,21750,125
2025,3,القصيم,بريدة,الريان,محل,تجاري,99,0,0
2025,3,القصيم,الرس,الفيصلية,شقة,سكني,3,18000,100
2025,3,القصيم,بريدة,النازية,فيلا,سكني,3,20250,58.07
2025,3,القصيم,بريدة,الرحاب,دور,سكني,25,26142.85,146.75
2025,3,القصيم,العازميه,العازميه,شقة,سكني,2,17750,147.91
2025,3,القصيم,عنيزة,المصيف,معرض تجاري,تجاري,1,0,0
2025,3,القصيم,بريدة,الوسيطاء,فيلا,سكني,3,20400,58.98
2025,3,القصيم,بريدة,السادة,فيلا,سكني,1,19000,26.06
2025,3,القصيم,القوارة,الربوة,شقة,سكني,6,5500,57.5
2025,3,القصيم,البدائع,الأندلس,دور,سكني,8,14400,86.62
2025,3,القصيم,رياض الخبراء,التعاون,شقة,سكني,25,7862.22,77.18
2025,3,القصيم,المذنب - ساموده,ساموده,شقة,سكني,2,16750,55.83
2025,3,القصيم,رياض الخبراء,القادسية,شقة,سكني,21,12885.71,100.14
2025,3,القصيم,عيون الجواء,الأفق,شقة,سكني,7,11125,80.48
2025,3,القصيم,بريدة,الجزيرة,دور,سكني,10,18320,119.56
2025,3,القصيم,الشماسية,حي النخيل,دور,سكني,4,16333.33,55.72
2025,3,القصيم,بريدة,الروابي,محل,تجاري,10,0,0
2025,3,القصيم,البدائع,النهضة,معرض تجاري,تجاري,3,0,0
2025,3,القصيم,بريدة,الزيتونة,دور,سكني,1,7000,17.94
2025,3,القصيم,عيون الجواء,أوثال,فيلا,سكني,1,10000,20
2025,3,القصيم,بريدة,القادسية,معرض تجاري,تجاري,3,0,0
2025,3,القصيم,المذنب,السلام,شقة,سكني,13,9285.71,70.16
2025,3,القصيم,الرس,وادي الرمة,محل,تجاري,9,0,0
2025,3,القصيم,بريدة,القصيعة,دور,سكني,4,15755,106.92
2025,3,القصيم,قبة,حي الازهار,محل,تجاري,5,0,0
2025,3,القصيم,الرس,الروابي,شقة,سكني,24,14042.85,101.61
2025,3,القصيم,عيون الجواء,النهضة,دور,سكني,7,11750,75
2025,3,القصيم,بريدة,السادة,محل,تجاري,24,0,0
2025,3,القصيم,دخنة,حي الملك فهد ,شقة,سكني,1,9600,64
2025,3,القصيم,الرس,النخيل,فيلا,سكني,1,38000,237.5
2025,3,القصيم,الرس,وادي الرمة,فيلا,سكني,1,12000,80
2025,3,القصيم,بريدة,اليرموك,محل,تجاري,2,0,0
2025,3,القصيم,بريدة,الهدية الشمالية,محل,تجاري,2,0,0
2025,3,القصيم,المذنب,الخزان,محل,تجاري,4,0,0
2025,3,القصيم,قصرابن عقيل,البستان,شقة,سكني,6,17280,142.15
2025,3,القصيم,عنيزة,الخالدية,فيلا,سكني,8,28400,74.82
2025,3,القصيم,بريدة,الفاروق,فيلا,سكني,1,27500,78.57
2025,3,القصيم,البكيرية,الأمل,فيلا,سكني,2,27500,61.25
2025,3,القصيم,عنيزة,الخالدية,محل,تجاري,24,0,0
2025,3,القصيم,عين بن فهيد,حي عين بن فهيد,محل,تجاري,3,0,0
2025,3,القصيم,بريدة,الزهرة,دور,سكني,8,14342.85,55.94
2025,3,القصيم,بريدة,المطار القديم,دور,سكني,4,12750,120.7
2025,3,القصيم,بريدة,الحمر الشمالي,استديو,سكني,4,6000,31.57
2025,3,القصيم,بريدة,الشقة,شقة,سكني,162,12231.84,92.31
2025,3,القصيم,مزارع جنوب المدينة والبربك,مزارع جنوب المدينة والبربك,شقة,سكني,4,9675,88.67
2025,3,القصيم,بريدة,الموطا,فيلا,سكني,1,17000,85
2025,3,القصيم,الرس,التعليم,شقة,سكني,42,13680,193.19
2025,3,القصيم,بريدة,المعارض,محل,تجاري,20,0,0
2025,3,القصيم,عنيزة,الرايسية,استديو,سكني,1,12000,184.61
2025,3,القصيم,بريدة,الإزدهار,شقة,سكني,1,17000,101.21
2025,3,القصيم,بريدة,الشماس,فيلا,سكني,1,10000,16.66
2025,3,القصيم,المذنب,الصفراء,شقة,سكني,49,9681.07,71.73
2025,3,القصيم,بريدة,واسط,شقة,سكني,9,15000,81.78
2025,3,القصيم,الرس,الجريف,محل,تجاري,1,0,0
2025,3,القصيم,بريدة,الخضر,شقة,سكني,5,19000,190
2025,3,القصيم,البصر,ضراس,محل,تجاري,7,0,0
2025,3,القصيم,الشماسية,حي النخيل,شقة,سكني,5,11666.66,70
2025,3,القصيم,بريدة,الفاخرية,معرض تجاري,تجاري,1,0,0
2025,3,القصيم,عيون الجواء,النهضة,شقة,سكني,63,10547.23,100.26
2025,3,القصيم,البكيرية,المنار,دور,سكني,15,17393.75,95.15
2025,3,القصيم,بريدة,المنتزة الشرقي,معرض تجاري,تجاري,6,0,0
2025,3,القصيم,الرس,الغربي,شقة,سكني,82,14510.96,109.18
