السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,4,القصيم,عنيزة,الخالدية,معرض تجاري,تجاري,4,0,0
2025,4,القصيم,بريدة,خب البريدي,شقة,سكني,10,7444.44,96.22
2025,4,القصيم,بريدة,النور,معرض تجاري,تجاري,1,0,0
2025,4,القصيم,الرس,الاحتفالات,معرض تجاري,تجاري,1,0,0
2025,4,القصيم,البكيرية,النهضة,محل,تجاري,7,0,0
2025,4,القصيم,الرس,الحمراء,محل,تجاري,6,0,0
2025,4,القصيم,الفرعه,الفرعه,محل,تجاري,1,0,0
2025,4,القصيم,عنيزة,الريان,مكتب,تجاري,4,0,0
2025,4,القصيم,بريدة,الأفق,استديو,سكني,17,9507.14,247.32
2025,4,القصيم,بريدة,الهدية الشمالية,شقة,سكني,3,16266.33,93.67
2025,4,القصيم,بريدة,الريان,شقة,سكني,435,18672.63,150.41
2025,4,القصيم,بريدة,الفايزية,مكتب,تجاري,1,0,0
2025,4,القصيم,دهيماء القديمه,دهيماء القديمه,شقة,سكني,1,18000,60
2025,4,القصيم,المذنب,البستان,شقة,سكني,8,12857.14,85.86
2025,4,القصيم,عنيزة,الأشرفية,شقة,سكني,204,12740,97.6
2025,4,القصيم,البدائع,الرواد,شقة,سكني,6,15333.33,111.74
2025,4,القصيم,البكيرية,القادسية,فيلا,سكني,2,41500,89.16
2025,4,القصيم,رياض الخبراء,الخزان,محل,تجاري,11,0,0
2025,4,القصيم,بريدة,الفايزية,شقة,سكني,349,12605.37,102.85
2025,4,القصيم,الخبراء والسحابين,الياسمين,شقة,سكني,22,13150,95.5
2025,4,القصيم,ضرية,المحمدية,شقة,سكني,69,11058,99.43
2025,4,القصيم,البديعه,البديعه,شقة,سكني,2,15000,70
2025,4,القصيم,الرس,اليرموك,محل,تجاري,13,0,0
2025,4,القصيم,عنيزة,الريان,دوبلاكس,سكني,3,22500,86.67
2025,4,القصيم,بريدة,الفايزية,معرض تجاري,تجاري,5,0,0
2025,4,القصيم,البصر,الغماس1,شقة,سكني,2,9600,83.99
2025,4,القصيم,بريدة,النقع الشرقي,دور,سكني,8,17428.57,80.2
2025,4,القصيم,المذنب,النسيم,شقة,سكني,16,10875,89.33
2025,4,القصيم,الرس,الربوة,محل,تجاري,6,0,0
2025,4,القصيم,عنيزة,الراية,دور,سكني,2,18000,75
2025,4,القصيم,الرس,الصناعية,فيلا,سكني,1,25000,166.66
2025,4,القصيم,بريدة,الشقة العليا,معرض تجاري,تجاري,1,0,0
2025,4,القصيم,بريدة,ضارج,دور,سكني,2,25000,166.66
2025,4,القصيم,الشماسية,حي البلاد,دور,سكني,2,9000,90
2025,4,القصيم,المذنب,خزامى,محل,تجاري,1,0,0
2025,4,القصيم,القوارة,المنتزة,شقة,سكني,2,18005,120.03
2025,4,القصيم,عنيزة,المحمدية,شقة,سكني,1,10000,66.66
2025,4,القصيم,المذنب,النويديس,محل,تجاري,18,0,0
2025,4,القصيم,البطين,حي الملك سلمان,شقة,سكني,2,10500,80.28
2025,4,القصيم,عنيزة,العونية,دور,سكني,1,13000,66.97
2025,4,القصيم,عنيزة,الرمال,دور,سكني,4,18500,119.19
2025,4,القصيم,بريدة,السالمية,فيلا,سكني,8,27666.66,78.53
2025,4,القصيم,رفايع اللهيب,رفايع اللهيب,شقة,سكني,2,14000,102.77
2025,4,القصيم,عين بن فهيد,حى العيون,محل,تجاري,19,0,0
2025,4,القصيم,بريدة,الخضر,شقة,سكني,5,9600,67.06
2025,4,القصيم,بريدة,ضارج,محل,تجاري,2,0,0
2025,4,القصيم,عنيزة,السلام,محل,تجاري,9,0,0
2025,4,القصيم,رياض الخبراء,القدس,فيلا,سكني,1,27000,77.14
2025,4,القصيم,عنيزة,السلام,شقة,سكني,41,16405.88,123.58
2025,4,القصيم,الحيسونيه,الحيسونيه,شقة,سكني,3,18000,178.17
2025,4,القصيم,بريدة,النور,شقة,سكني,1,5500,55
2025,4,القصيم,عنيزة,الحفيرة,شقة,سكني,5,10920,76.95
2025,4,القصيم,بريدة,النخيل,محل,تجاري,136,0,0
2025,4,القصيم,بريدة,الجردة,محل,تجاري,192,0,0
2025,4,القصيم,البكيرية,الرياض,استديو,سكني,1,5000,71.42
2025,4,القصيم,بريدة,قرطبة,فيلا,سكني,2,46000,136.04
2025,4,القصيم,الصمعوريه,الصمعوريه,شقة,سكني,19,12976.47,108.52
2025,4,القصيم,البكيرية,الصفاء,دور,سكني,32,19031.73,132.21
2025,4,القصيم,بريدة,الربوة,دور,سكني,21,17683.33,97.26
2025,4,القصيم,بريدة,البساتين الغربي,شقة,سكني,44,16489.28,123.14
2025,4,القصيم,البصر,البصر3,شقة,سكني,15,15583.33,156.31
2025,4,القصيم,بريدة,النسيم,دور,سكني,8,14857.14,86.38
2025,4,القصيم,المذنب,قرطبة,دور,سكني,8,15587.5,98.71
2025,4,القصيم,بريدة,المصيف,فيلا,سكني,1,17500,50
2025,4,القصيم,البسيتين,البسيتين,شقة,سكني,7,16628.57,134.57
2025,4,القصيم,عنيزة,الدوحة,شقة,سكني,2,20500,112.27
2025,4,القصيم,البدائع,القادسية,دور,سكني,11,18145.45,65.34
2025,4,القصيم,الرس,الورود,دور,سكني,9,17574,103.16
2025,4,القصيم,بريدة,واسط,شقة,سكني,11,15450,113.85
2025,4,القصيم,بريدة,خضيراء الجنوبية,شقة,سكني,8,17833.33,113.33
2025,4,القصيم,الرس,الزهرة,دور,سكني,7,20666.66,92.11
2025,4,القصيم,عنيزة,الملك فهد,شقة,سكني,34,16736,112.09
2025,4,القصيم,دخنة,حي الأندلس,دور,سكني,1,19200,48
2025,4,القصيم,الرس,الملك فيصل,معرض تجاري,تجاري,1,0,0
2025,4,القصيم,رياض الخبراء,طيبة,شقة,سكني,30,12810,83.37
2025,4,القصيم,بريدة,القادسية,محل,تجاري,62,0,0
2025,4,القصيم,البدائع,العبيلة,شقة,سكني,12,7690,61.89
2025,4,القصيم,رياض الخبراء,الملك سلمان بن عبد العزيز,فيلا,سكني,1,22000,54.05
2025,4,القصيم,بريدة,البوطة,معرض تجاري,تجاري,3,0,0
2025,4,القصيم,المصك,المصك,شقة,سكني,2,9500,51.56
2025,4,القصيم,عنيزة,البستان,محل,تجاري,2,0,0
2025,4,القصيم,البتراء,البتراء,شقة,سكني,5,14750,131.55
2025,4,القصيم,ضرية,الروابي,دور,سكني,2,7500,34
2025,4,القصيم,عنيزة,المنار,دوبلاكس,سكني,1,28000,78.32
2025,4,القصيم,بريدة,المعارض,معرض تجاري,تجاري,24,0,0
2025,4,القصيم,بريدة,النخيل,مكتب,تجاري,14,0,0
2025,4,القصيم,بريدة,المنصورة,فيلا,سكني,1,45000,112.5
2025,4,القصيم,بريدة,الحزم,معرض تجاري,تجاري,2,0,0
2025,4,القصيم,بريدة,الرابية,محل,تجاري,6,0,0
2025,4,القصيم,الشماسية,حي الواسط,شقة,سكني,1,18000,150
2025,4,القصيم,بريدة,النقيب الشمالي,فيلا,سكني,2,30000,120
2025,4,القصيم,شعب الداره,شعب الداره,شقة,سكني,1,18000,138.46
2025,4,القصيم,النبهانية,الرحاب,محل,تجاري,12,0,0
2025,4,القصيم,عنيزة,وسط المدينة,مكتب,تجاري,10,0,0
2025,4,القصيم,بريدة,النقيب الشمالي,محل,تجاري,11,0,0
2025,4,القصيم,بريدة,الصباخ,معرض تجاري,تجاري,2,0,0
2025,4,القصيم,رياض الخبراء,طيبة,فيلا,سكني,3,75000,165.31
2025,4,القصيم,بريدة,التيسير,محل,تجاري,5,0,0
2025,4,القصيم,الدليمية,الدليميه,دور,سكني,2,10500,38.15
2025,4,القصيم,الخبراء والسحابين,الياسمين,فيلا,سكني,1,15000,52.91
2025,4,القصيم,الضلفعه,الضلفعه,شقة,سكني,7,7316.66,52.92
2025,4,القصيم,النبهانية,النهضة,محل,تجاري,4,0,0
2025,4,القصيم,بريدة,النازية,معرض تجاري,تجاري,2,0,0
2025,4,القصيم,قبة,حي الجزيرة,فيلا,سكني,3,17000,130.35
2025,4,القصيم,عنيزة,الخالدية,دور,سكني,16,14828.57,75.97
2025,4,القصيم,البندريه,البندريه,شقة,سكني,7,17419.28,134.19
2025,4,القصيم,بريدة,الصفاء,شقة,سكني,27,12880.95,107
2025,4,القصيم,القصيم - الطراق,الطراق,دور,سكني,1,8400,56
2025,4,القصيم,عنيزة,اليرموك قديما,محل,تجاري,3,0,0
2025,4,القصيم,القرين,القرين,شقة,سكني,23,12811.76,84.59
2025,4,القصيم,الربيعيه,الربيعيه,شقة,سكني,6,14000,81.83
2025,4,القصيم,بريدة,الفايزية,دور,سكني,54,16032.6,97.69
2025,4,القصيم,الرس,الربوة,شقة,سكني,52,13675.6,104.65
2025,4,القصيم,عنيزة,المنار,دور,سكني,10,19300,137.87
2025,4,القصيم,بريدة,القادسية,فيلا,سكني,4,23666.66,90.24
2025,4,القصيم,الرس,الجريف,محل,تجاري,7,0,0
2025,4,القصيم,البصر,البصر1,دور,سكني,7,16000,95.32
2025,4,القصيم,عنيزة,الوفاء,دور,سكني,9,20000,147.9
2025,4,القصيم,بريدة,الجامعة,محل,تجاري,2,0,0
2025,4,القصيم,عنيزة,الصفاء,فيلا,سكني,2,13750,28.59
2025,4,القصيم,الرس,الروابي,مكتب,تجاري,1,0,0
2025,4,القصيم,قبة,حي الجزيرة,دور,سكني,2,12000,61.57
2025,4,القصيم,عنيزة,الملك فهد,محل,تجاري,3,0,0
2025,4,القصيم,بريدة,الريان,معرض تجاري,تجاري,33,0,0
2025,4,القصيم,الرفيعه ومزارعها,الرفيعه ومزارعها,شقة,سكني,2,20000,111.11
2025,4,القصيم,الضلفعه,الضلفعه,محل,تجاري,2,0,0
2025,4,القصيم,عنيزة,الخالدية,فيلا,سكني,3,33000,114.11
2025,4,القصيم,المذنب,الطلعة,شقة,سكني,1,18000,180
2025,4,القصيم,عقلة الصقور,الخليج,محل,تجاري,46,0,0
