السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,عسير,المحاثه,المحاثه,شقة,سكني,1,18000,180
2025,1,عسير,بلسمر,الربيع,شقة,سكني,2,14000,94.23
2025,1,عسير,أبها,المطار,استديو,سكني,1,39600,247.5
2025,1,عسير,الحرايس,الحرايس,شقة,سكني,2,18000,141.3
2025,1,عسير,الجندل,الجندل,شقة,سكني,2,16500,165
2025,1,عسير,الجبارين,الجبارين,شقة,سكني,2,18000,127.5
2025,1,عسير,خميس مشيط,الهدا,شقة,سكني,23,17320,176.07
2025,1,عسير,آل ابوسالم,النهضه,دور,سكني,1,36000,120
2025,1,عسير,اللحجه اليسرى,اللحجه اليسرى,شقة,سكني,3,14666.66,92.24
2025,1,عسير,خميس مشيط,الحمراء,محل,تجاري,1,0,0
2025,1,عسير,أحد رفيدة,المعلاة,شقة,سكني,107,17963.15,120.84
2025,1,عسير,الحضن,الحضن,شقة,سكني,1,15000,125
2025,1,عسير,أحد رفيدة,الخليج,محل,تجاري,46,0,0
2025,1,عسير,خميس مشيط,الهميلة,دور,سكني,1,18000,120
2025,1,عسير,ال محيط,ال محيط,شقة,سكني,1,15000,150
2025,1,عسير,خميس مشيط,نعمان,شقة,سكني,201,15425.29,105.83
2025,1,عسير,لحج الماء,لحج الماء,شقة,سكني,1,18000,60
2025,1,عسير,خميس مشيط,المعمورة,دور,سكني,8,16925,96.55
2025,1,عسير,خميس مشيط,الخلصة,محل,تجاري,23,0,0
2025,1,عسير,أبها,المروج,شقة,سكني,808,18621.72,121.5
2025,1,عسير,الفروش,الفروش,شقة,سكني,1,18000,90
2025,1,عسير,خميس مشيط,عتود الشمالي,دور,سكني,3,23666.66,145
2025,1,عسير,ال مانع,ال مانع,شقة,سكني,2,17500,128.12
2025,1,عسير,بلقرن,الأمل,شقة,سكني,6,13200,80.78
2025,1,عسير,المحافيظ,المحافيظ,شقة,سكني,1,18000,60
2025,1,عسير,خنيزة,خنيزة,شقة,سكني,18,15433.33,92.5
2025,1,عسير,خميس مشيط,الوسام,دور,سكني,3,22800,77.48
2025,1,عسير,خميس مشيط,عتود الجنوبي,محل,تجاري,38,0,0
2025,1,عسير,البعضاء,البعضاء,محل,تجاري,2,0,0
2025,1,عسير,الندبه,الندبه,شقة,سكني,2,16500,120
2025,1,عسير,الحشف وشعب معين,الحشف وشعب معين,شقة,سكني,6,16800,110
