السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,2,عسير,محائل,الياسمين,معرض تجاري,تجاري,1,0,0
2025,2,عسير,سراة عبيدة,النور,محل,تجاري,8,0,0
2025,2,عسير,النماص - الغره,الغره,معرض تجاري,تجاري,1,0,0
2025,2,عسير,أحد رفيدة,المعلاة,شقة,سكني,109,17544.82,112.5
2025,2,عسير,الخنتب,الخنتب,شقة,سكني,1,15000,150
2025,2,عسير,القوز (المخرم),القوز (المخرم),شقة,سكني,1,19500,153.08
2025,2,عسير,محائل,الحيلة الشرقي,شقة,سكني,92,15157.24,121.06
2025,2,عسير,خميس مشيط,الهرير الغربى,فيلا,سكني,3,21200,93.1
2025,2,عسير,تنومة,الروضة,شقة,سكني,4,12100,64.7
2025,2,عسير,خميس مشيط,النور,فيلا,سكني,5,30500,109.16
2025,2,عسير,سراة عبيدة,النخيل,محل,تجاري,1,0,0
2025,2,عسير,وردان,وردان,شقة,سكني,1,18000,90
2025,2,عسير,خميس مشيط,الخليج,دور,سكني,1,13800,78.85
2025,2,عسير,النماص,الخليج,دور,سكني,1,17000,85
2025,2,عسير,أحد رفيدة,النهضة,دور,سكني,2,26000,71.8
2025,2,عسير,الحاجون,الحاجون,شقة,سكني,1,18000,60
2025,2,عسير,خميس مشيط,المثناه,مكتب,تجاري,2,0,0
2025,2,عسير,البرنيه,البرنيه,شقة,سكني,1,18000,90
2025,2,عسير,خميس مشيط,الشرفية,استديو,سكني,17,10145.45,325.05
2025,2,عسير,الظاهر,حي الضباب,شقة,سكني,1,9600,NULL
2025,2,عسير,خميس مشيط,الراقي,محل,تجاري,73,0,0
2025,2,عسير,ظهران الجنوب,القدس,شقة,سكني,26,12723.52,68.49
2025,2,عسير,أبها,سلطانة,شقة,سكني,222,17202.93,121.55
2025,2,عسير,غالب,غالب,شقة,سكني,2,15000,150
2025,2,عسير,أبها,الصناعية,محل,تجاري,1,0,0
2025,2,عسير,خميس مشيط,التضامن,محل,تجاري,8,0,0
2025,2,عسير,خميس مشيط,قمبر,معرض تجاري,تجاري,1,0,0
2025,2,عسير,خميس مشيط,الوقواق,استديو,سكني,1,12000,200
2025,2,عسير,بلقرن,السروات,محل,تجاري,1,0,0
