السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,3,عسير,محائل,الوعد,دور,سكني,2,15600,39
2025,3,عسير,خميس مشيط,ذهبان الشرقي,شقة,سكني,23,16889.23,131.66
2025,3,عسير,بلقرن,الشعلة,محل,تجاري,1,0,0
2025,3,عسير,أبها,اليمامة,محل,تجاري,1,0,0
2025,3,عسير,العلامه,العلامه,شقة,سكني,1,9000,94.73
2025,3,عسير,بلقرن,النخيل,دور,سكني,1,6000,30
2025,3,عسير,طريب,العروبة,محل,تجاري,1,0,0
2025,3,عسير,أحد رفيدة,الزهور,دور,سكني,2,26000,153.33
2025,3,عسير,أبها,النزهة,محل,تجاري,192,0,0
2025,3,عسير,خميس مشيط,وسط تندحة,فيلا,سكني,3,26000,92.66
2025,3,عسير,أبها,المروج,شقة,سكني,992,19100.88,120.83
2025,3,عسير,المجاردة,الشرف,مكتب,تجاري,2,0,0
2025,3,عسير,أحد رفيدة,بني تميم,شقة,سكني,2,15000,130
2025,3,عسير,بيشة,الخليج,محل,تجاري,7,0,0
2025,3,عسير,أبها,الفرعاء,شقة,سكني,58,13461.11,97.58
2025,3,عسير,خميس مشيط,الخالدية,معرض تجاري,تجاري,4,0,0
2025,3,عسير,سراة عبيدة,الربوة,محل,تجاري,10,0,0
2025,3,عسير,خميس مشيط,الفتح,معرض تجاري,تجاري,4,0,0
2025,3,عسير,خميس مشيط,شباعة,مكتب,تجاري,1,0,0
2025,3,عسير,ضريب السوق,ضريب السوق,محل,تجاري,6,0,0
2025,3,عسير,القديحى,القديحى,شقة,سكني,2,6000,66.66
2025,3,عسير,رجال المع - الشعبين,الشعبين,شقة,سكني,5,12480,99.91
2025,3,عسير,أبها,السلامة,شقة,سكني,10,18000,152.32
2025,3,عسير,أبها,الربوة,معرض تجاري,تجاري,1,0,0
2025,3,عسير,العاليه,القحمه,فيلا,سكني,1,17500,116.66
2025,3,عسير,أحد رفيدة,القرحاء 2,شقة,سكني,1,14400,180
2025,3,عسير,أحد رفيدة,مسيحل,شقة,سكني,7,14160,85.05
2025,3,عسير,خميس مشيط,الوفاء,دور,سكني,4,23300,92.21
2025,3,عسير, الفرشة - الفرشه,الفرشه,شقة,سكني,19,13440,112.13
2025,3,عسير,خميس مشيط,المعمورة,شقة,سكني,298,16389.55,120.4
2025,3,عسير,أبها,النسيم,دور,سكني,30,21725,102.44
2025,3,عسير,أبها,الخالدية,مكتب,تجاري,1,0,0
2025,3,عسير,خميس مشيط,أم سرار,شقة,سكني,131,14437.14,89.1
2025,3,عسير,بلسمر,الربيع,شقة,سكني,6,12360,81.02
2025,3,عسير,الحبيل,الحبيل,شقة,سكني,1,17500,145.83
2025,3,عسير,تثليث,الحمراء,شقة,سكني,1,18000,150
2025,3,عسير,أبها,الصفاء,شقة,سكني,407,19452.67,127.96
2025,3,عسير,الحشف وشعب معين,الحشف وشعب معين,شقة,سكني,3,9000,60
2025,3,عسير,محايل - المليحه,المليحه,شقة,سكني,1,18000,116.12
2025,3,عسير,النماص,الزهور,محل,تجاري,1,0,0
2025,3,عسير,سراة عبيدة,الشفاء,محل,تجاري,14,0,0
2025,3,عسير,أبها,المنتزة,استديو,سكني,4,9400,391.66
2025,3,عسير,احد رفيدة - النمصه,النمصه,شقة,سكني,1,14400,120
2025,3,عسير,الحريضه,الحريضه,فيلا,سكني,1,24000,80
2025,3,عسير,محائل,العزيزية,شقة,سكني,3,14466.66,74.78
2025,3,عسير,خميس مشيط,شباعة,شقة,سكني,197,14182.62,120.66
2025,3,عسير,أحد رفيدة,المراغة,شقة,سكني,20,20755.55,145.69
2025,3,عسير,المنظر,المنظر,محل,تجاري,3,0,0
2025,3,عسير,بلقرن,الشاطئ,شقة,سكني,39,14250,94.64
2025,3,عسير,خايع السويداء,خايع السويداء,محل,تجاري,1,0,0
2025,3,عسير,خميس مشيط,الصناعية,استديو,سكني,1,7200,72
2025,3,عسير,أبها,الصفاء,محل,تجاري,62,0,0
2025,3,عسير,الهريج,الهريج,شقة,سكني,1,18000,225
2025,3,عسير,بيشة,الحمة,استديو,سكني,1,12000,300
2025,3,عسير,خميس مشيط,النهضة,شقة,سكني,12,19600,131.59
2025,3,عسير,بيشة,نمران,شقة,سكني,17,13185.71,88.37
2025,3,عسير,ظهران الجنوب,الرحيب,شقة,سكني,31,14920,91.12
2025,3,عسير,خميس مشيط,المنارة,مكتب,تجاري,1,0,0
2025,3,عسير,تنومة,الرحاب,شقة,سكني,4,13550,87.5
2025,3,عسير,خميس مشيط,طيبة,فيلا,سكني,1,27000,135
2025,3,عسير,بلقرن,الصفح,شقة,سكني,12,13675,82.92
2025,3,عسير,العصاى باللسمر,العصاى بلّسمر,شقة,سكني,1,18000,90
2025,3,عسير,خميس مشيط,النور,استديو,سكني,4,7266.66,285.66
2025,3,عسير,بارق - القابل,القادسية,شقة,سكني,65,13133.33,118.87
2025,3,عسير,ظهران الجنوب,الأمل,دور,سكني,4,18000,66.75
2025,3,عسير,بارق - قرن مخلد,قرن مخلد,شقة,سكني,1,12000,133.33
2025,3,عسير,خميس مشيط,المصيف,معرض تجاري,تجاري,1,0,0
2025,3,عسير,أحد رفيدة,جرش الاثري,محل,تجاري,3,0,0
