السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,4,عسير,أبها,العقيق,فيلا,سكني,1,45000,150
2025,4,عسير,خميس مشيط,بدر,معرض تجاري,تجاري,8,0,0
2025,4,عسير,مقضاف (مريف),مقضاف (مريف),شقة,سكني,2,18000,60
2025,4,عسير,القوباء (النجد),القوباء (النجد),شقة,سكني,14,16231.53,104.23
2025,4,عسير,تنومة,النسيم,شقة,سكني,58,11748,79.24
2025,4,عسير, بارق - السلم,الزهور,شقة,سكني,29,14000,118.01
2025,4,عسير, رجال ألمع - القران,القران,شقة,سكني,3,14000,128.33
2025,4,عسير,خميس مشيط,الحمراء,فيلا,سكني,1,16800,84
2025,4,عسير,أحد رفيدة,النهضة,دور,سكني,3,23333.33,88.22
2025,4,عسير,حثام الفريده,حثام الفريده,شقة,سكني,1,18000,60
2025,4,عسير,أبها,الزهور,استديو,سكني,7,27700,601.91
2025,4,عسير,محايل - العريض,العريض,شقة,سكني,1,17000,170
2025,4,عسير,خميس مشيط,النخيل,فيلا,سكني,1,20400,58.28
2025,4,عسير, الفرشة - الفرشه,الفرشه,محل,تجاري,4,0,0
2025,4,عسير,خميس مشيط,الهرير الغربى,فيلا,سكني,10,24000,119.89
2025,4,عسير,العمائر,العمائر,شقة,سكني,1,12000,100
2025,4,عسير,رجال المع,النهضة,محل,تجاري,2,0,0
2025,4,عسير,غريب مخطط 22 الزراعي,ندوان,شقة,سكني,4,18500,88.09
2025,4,عسير,المجاردة,العدالة,شقة,سكني,102,14505.79,114.57
2025,4,عسير,خميس مشيط,ذلالة,شقة,سكني,218,16391.12,100.41
2025,4,عسير,خميس مشيط,الحضارى,معرض تجاري,تجاري,2,0,0
2025,4,عسير,ثلوث المنظر,ثلوث المنظر,محل,تجاري,20,0,0
2025,4,عسير,القرص,الروابي,معرض تجاري,تجاري,1,0,0
2025,4,عسير,أبها,ذرة,دور,سكني,9,20900,96.77
2025,4,عسير,خميس مشيط,عتود الجنوبي,دور,سكني,18,21150,107.17
2025,4,عسير,المدرم,المدرم,شقة,سكني,1,18000,90
2025,4,عسير,سراة عبيدة,الخالدية,شقة,سكني,23,16038.46,112.67
2025,4,عسير,بيشة,الخزان,مكتب,تجاري,1,0,0
2025,4,عسير,الحضن,الحضن,شقة,سكني,1,18000,180
2025,4,عسير,عيدان,عيدان,شقة,سكني,2,34000,292.7
2025,4,عسير,محائل,الحيلة الشرقي,دور,سكني,1,14400,72
2025,4,عسير,طريب,الفاخرية,شقة,سكني,23,15242.1,94.28
2025,4,عسير,خميس مشيط,الصفق,محل,تجاري,20,0,0
2025,4,عسير, محايل - الخايع,الخايع,دور,سكني,2,17400,70.32
2025,4,عسير,جوف النبع,جوف النبع,دور,سكني,1,6000,31.57
2025,4,عسير,الاعاسره وآل سليم,الاعاسره وآل سليم,محل,تجاري,6,0,0
2025,4,عسير,بحر ابوسكينه - القرونه,القرونه,شقة,سكني,1,18000,180
2025,4,عسير,الا مواه,الا مواه,محل,تجاري,4,0,0
2025,4,عسير,أبها,الزهر,شقة,سكني,5,17400,171.73
2025,4,عسير,وادى العين,وادى العين,شقة,سكني,1,18000,180
2025,4,عسير,الحضن (العطف),الحضن (العطف),شقة,سكني,1,12000,96.77
2025,4,عسير,المجاردة - الظاهره,الظاهره,شقة,سكني,1,6000,85.71
2025,4,عسير,أحد رفيدة,الشعبين,استديو,سكني,1,14400,360
2025,4,عسير,أبها,الشرقية,استديو,سكني,3,9958,278.32
2025,4,عسير,الحضن (العطف),الحضن (العطف),دور,سكني,1,18000,108.59
2025,4,عسير,ذهبان (صمع),ذهبان (صمع),شقة,سكني,1,18000,180
2025,4,عسير,أبها,السروات,محل,تجاري,4,0,0
2025,4,عسير,خميس مشيط,الجامعيين,استديو,سكني,1,10800,216
2025,4,عسير,المربع,المربع,شقة,سكني,2,12700,137.5
2025,4,عسير,أبها,الروابي,مكتب,تجاري,10,0,0
2025,4,عسير,خميس مشيط,الحرابي,مكتب,تجاري,1,0,0
2025,4,عسير,خميس مشيط,الدوحة,معرض تجاري,تجاري,4,0,0
2025,4,عسير,خميس مشيط,الدوحة,شقة,سكني,2,18000,180
2025,4,عسير,خميس مشيط,العمارة,دور,سكني,3,17000,75
2025,4,عسير,شوكان,شوكان,شقة,سكني,1,5000,50
2025,4,عسير,وادى سهول,وادى سهول,شقة,سكني,1,17000,170
2025,4,عسير,المورده,المورده,شقة,سكني,2,19000,87.73
2025,4,عسير,ال صره,ال صره,محل,تجاري,1,0,0
2025,4,عسير,بلقرن,النزهة,شقة,سكني,1,18000,90
2025,4,عسير,الصوان,الصوان,شقة,سكني,2,16800,73.82
2025,4,عسير, محايل - القصبه,القصبه,محل,تجاري,2,0,0
2025,4,عسير,خميس مشيط,العند,محل,تجاري,2,0,0
2025,4,عسير,بلقرن,الملحاء,شقة,سكني,1,14400,120
2025,4,عسير,محائل,الخالدية,محل,تجاري,70,0,0
2025,4,عسير,المحشور(مغنية),المحشور(مغنية),شقة,سكني,1,18000,180
2025,4,عسير,البرك,الواحة,محل,تجاري,24,0,0
2025,4,عسير,تثليث,البدع,شقة,سكني,1,17000,113.33
2025,4,عسير, الحرجة - آل بحير,النزهه,شقة,سكني,10,18500,102.92
2025,4,عسير,ال بالعلاء,ال بالعلاء,شقة,سكني,10,15000,120
2025,4,عسير,المجاردة,الاندلس,محل,تجاري,10,0,0
2025,4,عسير,بيشة,الحمة,شقة,سكني,43,14796.29,110.28
2025,4,عسير,خميس مشيط,الجامعيين,محل,تجاري,9,0,0
2025,4,عسير,قرن الوجع,قرن الوجع,شقة,سكني,4,14100,115.95
2025,4,عسير,الحرف الجازع,الحرف الجازع,شقة,سكني,1,12000,100
2025,4,عسير,المجاردة - العساكر,العساكر,شقة,سكني,3,16000,116.66
2025,4,عسير,بلقرن,الشروق,محل,تجاري,1,0,0
2025,4,عسير,خميس مشيط,الربيع,مكتب,تجاري,14,0,0
2025,4,عسير,المربع,المربع,محل,تجاري,2,0,0
2025,4,عسير,رجال المع,العدالة,محل,تجاري,19,0,0
2025,4,عسير,أحد رفيدة - الواديين,الاصيل,شقة,سكني,2,12000,90.51
2025,4,عسير,بيشة,الربوة,محل,تجاري,1,0,0
2025,4,عسير,خميس مشيط,أحد,دور,سكني,4,19600,104.4
2025,4,عسير,خميس مشيط,آل عزيز,استديو,سكني,1,16000,200
2025,4,عسير,خميس مشيط,المعمورة,معرض تجاري,تجاري,5,0,0
2025,4,عسير,خميس مشيط,العرق الشمالي,دور,سكني,2,14700,85.36
2025,4,عسير,محائل,الدانة,محل,تجاري,3,0,0
2025,4,عسير,الهجله,الهجله,شقة,سكني,2,18000,100
2025,4,عسير,أحد رفيدة - الواديين,العلية,شقة,سكني,49,17345,133.47
2025,4,عسير,رجال المع,الروضة,شقة,سكني,7,16666.66,96.3
2025,4,عسير,محائل,السلامة,فيلا,سكني,1,24000,48
2025,4,عسير,أبها,سلطانة,استديو,سكني,4,11700,208.75
2025,4,عسير,أبها,الخالدية,استديو,سكني,3,8566.66,118.33
2025,4,عسير,بارق - المخصر,المخصر,شقة,سكني,1,17000,170
2025,4,عسير,الرفده والحازم,الرفده والحازم,شقة,سكني,1,17000,170
2025,4,عسير,خميس مشيط,تارة,دور,سكني,4,27650,136.72
2025,4,عسير,وادى الحياة,وادى الحياة,شقة,سكني,24,16381.81,102.62
2025,4,عسير,شغبة فروان,شغبة فروان,شقة,سكني,1,18000,100
2025,4,عسير,خميس مشيط,البلد,شقة,سكني,43,13831.57,120.42
2025,4,عسير,أبها,الصفاء,فيلا,سكني,4,32000,98.7
2025,4,عسير,خميس مشيط,شمال تندحة,محل,تجاري,25,0,0
2025,4,عسير,النماص,السلام,معرض تجاري,تجاري,1,0,0
2025,4,عسير,غمان,غمان,شقة,سكني,3,14000,69.85
2025,4,عسير,خميس مشيط,الروضة,شقة,سكني,73,13452.94,131.6
2025,4,عسير,المجاردة,النسيم,محل,تجاري,7,0,0
2025,4,عسير,محائل,الخالدية,استديو,سكني,4,11466.66,305.83
2025,4,عسير,خميس مشيط - الحفاير,الحفاير,محل,تجاري,4,0,0
2025,4,عسير,خميس مشيط,الهميلة,دور,سكني,1,14400,96
2025,4,عسير,وادى خيم,وادى خيم,شقة,سكني,1,9600,96
2025,4,عسير,ظهران الجنوب,الفيصلية,شقة,سكني,40,15579.96,108.79
2025,4,عسير,أبها,سلطانة,محل,تجاري,31,0,0
2025,4,عسير,المريبعه,النسيم,شقة,سكني,3,16000,102.22
2025,4,عسير,خميس مشيط,النهضة,محل,تجاري,1,0,0
2025,4,عسير,ظهره الخوينق,ظهره الخوينق,شقة,سكني,6,16850,118.23
2025,4,عسير,أبها,العزيزية,فيلا,سكني,2,20000,109.28
2025,4,عسير,رجال المع - الحقو,الحقو,محل,تجاري,10,0,0
2025,4,عسير,خميس مشيط,الياسمين,دور,سكني,1,20400,102
2025,4,عسير,الخضراء (العنابس),الخضراء (العنابس),شقة,سكني,3,12000,68.33
2025,4,عسير,ظهران الجنوب,الروابي,دور,سكني,1,18000,180
2025,4,عسير,بحر أبو سكينه (خميس البحر),بحر ابو سكينة الغربي,فيلا,سكني,1,17000,132.69
2025,4,عسير,تثليث,الزهور,شقة,سكني,62,16767.59,136.99
2025,4,عسير,مخطط ال بلحي,مخطط ال بلحي,شقة,سكني,4,13050,92.5
2025,4,عسير,أحد رفيدة - الواديين,الخليج,محل,تجاري,1,0,0
2025,4,عسير,خميس مشيط - الحيفه,الحيفه,محل,تجاري,1,0,0
2025,4,عسير,بارق - العارضه,العارضه,شقة,سكني,1,16000,160
2025,4,عسير,خميس مشيط,الغرابة,دور,سكني,1,18000,150
2025,4,عسير,ال معمر,ال معمر,شقة,سكني,1,16000,188.23
2025,4,عسير,البسس (السليل),البسس (السليل),محل,تجاري,2,0,0
2025,4,عسير,قنا,قنا,محل,تجاري,25,0,0
2025,4,عسير,خميس مشيط,القيروان,محل,تجاري,1,0,0
2025,4,عسير,الخانق,الخانق,محل,تجاري,2,0,0
2025,4,عسير,أحد رفيدة,ال بريد,دور,سكني,25,17509.09,69
2025,4,عسير,خميس مشيط,شمال التضامن,دور,سكني,7,19100,107.36
2025,4,عسير,الظهرين,الظهرين,شقة,سكني,1,13200,110
2025,4,عسير,النماص,الصديق,دور,سكني,3,18333.33,74.59
2025,4,عسير,صمخ,صمخ,دور,سكني,2,8250,82.5
2025,4,عسير,أبها,المنتزة,دور,سكني,2,15500,48.5
2025,4,عسير,الاطراف,الاطراف,شقة,سكني,1,17000,170
2025,4,عسير,بيشة,الخالدية والعزيزية,استديو,سكني,5,7650,215
2025,4,عسير,خميس مشيط,ذهبان الغربي,مكتب,تجاري,3,0,0
2025,4,عسير,أبها,البديع,استديو,سكني,13,12866.66,241.82
2025,4,عسير,النماص,الضباب,محل,تجاري,15,0,0
