السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,المنطقة الشرقية,الدمام,الأثير,شقة,سكني,422,13239.33,139.84
2025,1,المنطقة الشرقية,القيصومة,العزيزية,شقة,سكني,37,11945.4,79.55
2025,1,المنطقة الشرقية,القطيف,سنابس,محل,تجاري,4,0,0
2025,1,المنطقة الشرقية,الدمام,السيف,محل,تجاري,11,0,0
2025,1,المنطقة الشرقية,بقيق,الفالحيه,شقة,سكني,2,18000,90
2025,1,المنطقة الشرقية,الدمام,الزهور,دوبلاكس,سكني,2,37500,100
2025,1,المنطقة الشرقية,القطيف,البديع,محل,تجاري,11,0,0
2025,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,الأحساء الجنوبي,شقة,سكني,5,31500,253.52
2025,1,المنطقة الشرقية,الاحساء,السهلة,استديو,سكني,1,8400,168
2025,1,المنطقة الشرقية,الدمام,الخالدية الجنوبية,فيلا,سكني,2,77500,250
2025,1,المنطقة الشرقية,القطيف,عنك,مكتب,تجاري,2,0,0
2025,1,المنطقة الشرقية,الاحساء,أم خريسان,محل,تجاري,28,0,0
2025,1,المنطقة الشرقية,الدمام,العنود,دور,سكني,2,137500,522.43
2025,1,المنطقة الشرقية,الجبيل,صناعية العريفي - الجبيل,معرض تجاري,تجاري,1,0,0
2025,1,المنطقة الشرقية,الاحساء,المهندسين,دور,سكني,1,11520,38.4
2025,1,المنطقة الشرقية,حفر الباطن,الشفاء,شقة,سكني,33,13431.15,127.15
2025,1,المنطقة الشرقية,حفر الباطن,العزيزية,دوبلاكس,سكني,1,12000,46.15
2025,1,المنطقة الشرقية,القطيف,الصفاء,محل,تجاري,6,0,0
2025,1,المنطقة الشرقية,مليجة,المستشفى,شقة,سكني,7,12442.85,112.42
2025,1,المنطقة الشرقية,الاحساء,برزان,استديو,سكني,1,14000,200
2025,1,المنطقة الشرقية,الدمام,الراكة الشمالية,معرض تجاري,تجاري,6,0,0
2025,1,المنطقة الشرقية,الدمام,الجامعيين,دور,سكني,3,25000,201.11
2025,1,المنطقة الشرقية,القطيف,أم الحمام,محل,تجاري,18,0,0
2025,1,المنطقة الشرقية,التوبى,التوبي,شقة,سكني,3,17866.66,100.22
2025,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,الفاروق الجنوبي,دور,سكني,7,39166.66,125.34
2025,1,المنطقة الشرقية,الاحساء,الراشدية الثالث,معرض تجاري,تجاري,1,0,0
2025,1,المنطقة الشرقية,الدمام,المزروعية,مكتب,تجاري,118,0,0
2025,1,المنطقة الشرقية,الخبر,الأمواج,مكتب,تجاري,2,0,0
2025,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,الفاروق الجنوبي,محل,تجاري,5,0,0
2025,1,المنطقة الشرقية,الخفجي,المحمدية,دور,سكني,7,23977.14,135.12
2025,1,المنطقة الشرقية,الاحساء,بلدة التويثير,شقة,سكني,69,10895.25,89.2
2025,1,المنطقة الشرقية,الدمام,الريان,شقة,سكني,48,30002.7,242.69
2025,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,الأندلس,شقة,سكني,65,18956.52,142.68
2025,1,المنطقة الشرقية,الخبر,البحر,شقة,سكني,62,57476.08,393.91
2025,1,المنطقة الشرقية,بقيق,حي البساتين - بقيق,شقة,سكني,90,18292.38,152.74
2025,1,المنطقة الشرقية,القطيف,الفتح,شقة,سكني,60,15520.23,135.97
2025,1,المنطقة الشرقية,القطيف,مياس,استديو,سكني,1,14400,320
2025,1,المنطقة الشرقية,الاحساء,الإسكان1,شقة,سكني,17,13021.42,118.92
2025,1,المنطقة الشرقية,الدمام,الندى,شقة,سكني,395,23441.9,181.08
2025,1,المنطقة الشرقية,الدمام,الأثير,محل,تجاري,290,0,0
2025,1,المنطقة الشرقية,الدمام,ضاحية الملك فهد,استديو,سكني,103,13260.86,278.38
2025,1,المنطقة الشرقية,الخفجي,الريان,دور,سكني,5,19400,74.41
2025,1,المنطقة الشرقية,الاحساء,المهندسين,فيلا,سكني,2,27000,90
2025,1,المنطقة الشرقية,الاحساء,المروج الشمالي,محل,تجاري,5,0,0
2025,1,المنطقة الشرقية,القطيف,الديرة2,استديو,سكني,2,15000,125
2025,1,المنطقة الشرقية,بقيق,حي الزهور - بقيق,دور,سكني,2,87500,350
2025,1,المنطقة الشرقية,الخبر,الرجاء,شقة,سكني,20,23908.33,188.04
2025,1,المنطقة الشرقية,القيصومة,الروضة,محل,تجاري,3,0,0
2025,1,المنطقة الشرقية,الدمام,المنتزة,شقة,سكني,209,38060.98,267.23
2025,1,المنطقة الشرقية,الدمام,الشاطئ الشرقي,دوبلاكس,سكني,3,45500,199.72
2025,1,المنطقة الشرقية,النعيرية,المحمدية,فيلا,سكني,2,20000,50
2025,1,المنطقة الشرقية,الاحساء,منسوبي التعليم الأول,محل,تجاري,18,0,0
2025,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,المطرفية,فيلا,سكني,42,63541.17,122.58
2025,1,المنطقة الشرقية,الاحساء,المباركية,دور,سكني,1,15500,119.23
2025,1,المنطقة الشرقية,الجبيل,الدانة,محل,تجاري,174,0,0
2025,1,المنطقة الشرقية,التوبى,التوبي,محل,تجاري,2,0,0
2025,1,المنطقة الشرقية,العيون,ضاحية الامير سلطان الشمالية,معرض تجاري,تجاري,1,0,0
2025,1,المنطقة الشرقية,الدمام,العنود,شقة,سكني,316,16297.45,142.34
2025,1,المنطقة الشرقية,الخبر,البحر,فيلا,سكني,2,135000,282.69
2025,1,المنطقة الشرقية,مريخ,مريخ,محل,تجاري,1,0,0
2025,1,المنطقة الشرقية,الدمام,عبدالله فؤاد,مكتب,تجاري,13,0,0
2025,1,المنطقة الشرقية,الجبيل,إشبيلية,استديو,سكني,2,10000,285.71
2025,1,المنطقة الشرقية,الاحساء,المنتزة,محل,تجاري,4,0,0
2025,1,المنطقة الشرقية,رأس تنورة,المنتزة1,استديو,سكني,8,12200,296
2025,1,المنطقة الشرقية,القطيف,الناصرة,دور,سكني,4,27500,108.82
2025,1,المنطقة الشرقية,الاحساء,المحمدية,شقة,سكني,140,12683.15,121.6
2025,1,المنطقة الشرقية,الاحساء,الدوحة,شقة,سكني,7,14333.33,104.37
2025,1,المنطقة الشرقية,الدمام,الرابية,شقة,سكني,25,13840,145.63
2025,1,المنطقة الشرقية,بقيق,حي المنتزه,محل,تجاري,5,0,0
2025,1,المنطقة الشرقية,الدمام,الندى,دوبلاكس,سكني,17,37071.42,166.59
2025,1,المنطقة الشرقية,الاحساء,الروضة2,فيلا,سكني,1,35000,70
2025,1,المنطقة الشرقية,الاحساء,الخالدية,استديو,سكني,5,6625,159.22
2025,1,المنطقة الشرقية,الدمام,الإسكان الشمالي,فيلا,سكني,11,34444.44,138.81
2025,1,المنطقة الشرقية,القطيف,الدبابية,شقة,سكني,12,19278.33,172.99
2025,1,المنطقة الشرقية,الاحساء,الفيصلية الثاني,شقة,سكني,103,10169.25,94.96
2025,1,المنطقة الشرقية,الدمام,الصناعية الأولى,شقة,سكني,10,17033.33,179.9
2025,1,المنطقة الشرقية,الدمام,الأمل,شقة,سكني,3,18000,140.36
2025,1,المنطقة الشرقية,النعيرية,حي الروضة,شقة,سكني,47,16144.44,136.96
2025,1,المنطقة الشرقية,الاحساء,بلدة الحليلة,شقة,سكني,93,11917.09,98.13
2025,1,المنطقة الشرقية,القيصومة,الخالدية,فيلا,سكني,2,19800,86
2025,1,المنطقة الشرقية,الاحساء,الفيصلية الثاني,فيلا,سكني,1,25000,55.55
2025,1,المنطقة الشرقية,الظهران,القصور,محل,تجاري,19,0,0
2025,1,المنطقة الشرقية,الدمام,الأمير محمد بن سعود,فيلا,سكني,1,50000,55.55
2025,1,المنطقة الشرقية,الدمام,الشعلة,دوبلاكس,سكني,6,39100,146.53
2025,1,المنطقة الشرقية,الظهران,الدانة الجنوبية,دور,سكني,3,40333.33,176.11
2025,1,المنطقة الشرقية,رأس تنورة,نجمة مساكن أرامكو,شقة,سكني,1,12000,171.42
2025,1,المنطقة الشرقية,الدمام,حي صناعية الظهران,استديو,سكني,61,17280,916.36
2025,1,المنطقة الشرقية,الاحساء,النعاثل,استديو,سكني,1,5500,122.22
2025,1,المنطقة الشرقية,القطيف,البستان1,محل,تجاري,6,0,0
2025,1,المنطقة الشرقية,الاحساء,السنيدية,استديو,سكني,1,5000,40.9
2025,1,المنطقة الشرقية,القطيف,الخامسة,استديو,سكني,1,6000,200
2025,1,المنطقة الشرقية,الخبر,التحلية,معرض تجاري,تجاري,6,0,0
2025,1,المنطقة الشرقية,الظهران,الدوحة الشمالية,شقة,سكني,31,22046.55,160.46
2025,1,المنطقة الشرقية,الاحساء,المحمدية,مكتب,تجاري,4,0,0
2025,1,المنطقة الشرقية,القطيف,الرابعة,شقة,سكني,10,16214,132.26
2025,1,المنطقة الشرقية,الاحساء,بلدة التهيمية,دور,سكني,1,10000,66.66
2025,1,المنطقة الشرقية,الاحساء,الفردوس,فيلا,سكني,1,8000,62.8
2025,1,المنطقة الشرقية,حفر الباطن,الرابية,محل,تجاري,1,0,0
2025,1,المنطقة الشرقية,الاحساء,الملك فهد,مكتب,تجاري,5,0,0
2025,1,المنطقة الشرقية,رزحان (مزرعه),رزحان (مزرعه),شقة,سكني,1,18000,120
2025,1,المنطقة الشرقية,الاحساء,الرويضة,دور,سكني,2,25000,160.1
2025,1,المنطقة الشرقية,الاحساء,الشروق,محل,تجاري,4,0,0
2025,1,المنطقة الشرقية,الاحساء,المطار,محل,تجاري,1,0,0
2025,1,المنطقة الشرقية,الخبر,قرطبة,دور,سكني,2,49653.5,342.31
2025,1,المنطقة الشرقية,بقيق,الكداديه الشرقيه,دور,سكني,1,14400,48
2025,1,المنطقة الشرقية,مدينه الجبيل الصناعيه,المصانع,شقة,سكني,1,16800,240
2025,1,المنطقة الشرقية,الاحساء,الراشدية الثالث,فيلا,سكني,4,22166.66,55.27
2025,1,المنطقة الشرقية,النعيرية,الخليج,فيلا,سكني,4,32666.66,72.59
2025,1,المنطقة الشرقية,الخبر,البستان,معرض تجاري,تجاري,56,0,0
