السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,2,المنطقة الشرقية,حفر الباطن, الوايليه,شقة,سكني,1,4800,47.52
2025,2,المنطقة الشرقية,القطيف,الخزامى,استديو,سكني,2,16325,360.45
2025,2,المنطقة الشرقية,الاحساء,الفيصلية الأول,استديو,سكني,10,8833.33,194.66
2025,2,المنطقة الشرقية,مزارع الدسمه,مزارع دجله للدواجن,محل,تجاري,2,0,0
2025,2,المنطقة الشرقية,الاحساء,الرقيقة,استديو,سكني,44,11285.71,278.2
2025,2,المنطقة الشرقية,رأس تنورة,الروضة,دور,سكني,5,24666.66,81.77
2025,2,المنطقة الشرقية,القطيف,الزهراء,شقة,سكني,61,23588.59,143.29
2025,2,المنطقة الشرقية,القطيف,حزم,محل,تجاري,13,0,0
2025,2,المنطقة الشرقية,مدينه الجبيل الصناعيه,جلمودة,شقة,سكني,86,23850,153.89
2025,2,المنطقة الشرقية,الاحساء,المسعودي,شقة,سكني,134,11139.15,106.17
2025,2,المنطقة الشرقية,الدمام,الدواسر,مكتب,تجاري,26,0,0
2025,2,المنطقة الشرقية,الاحساء,قرية الحوطة,محل,تجاري,13,0,0
2025,2,المنطقة الشرقية,الدمام,الأثير,دور,سكني,1,150000,415.51
2025,2,المنطقة الشرقية,الدمام,مدينة العمال,استديو,سكني,59,12176.92,398.24
2025,2,المنطقة الشرقية,الدمام,هجر,معرض تجاري,تجاري,18,0,0
2025,2,المنطقة الشرقية,الاحساء,بلدة البطالية,محل,تجاري,7,0,0
2025,2,المنطقة الشرقية,الخفجي,حي الأندلس,شقة,سكني,3,20666.66,151.9
2025,2,المنطقة الشرقية,الاحساء,محيرس,استديو,سكني,1,7400,462.5
2025,2,المنطقة الشرقية,مدينه الجبيل الصناعيه,الفردوس,فيلا,سكني,34,54260,129.92
2025,2,المنطقة الشرقية,قرية العليا,الربيع,شقة,سكني,1,6000,63.15
2025,2,المنطقة الشرقية,الاحساء,بلدة القارة,شقة,سكني,54,11901.72,105.68
2025,2,المنطقة الشرقية,الدمام,الأمانة,فيلا,سكني,9,36000,116
2025,2,المنطقة الشرقية,الدمام,الخالدية الجنوبية,استديو,سكني,172,10902.85,466.03
2025,2,المنطقة الشرقية,هجرة السيح,هجرة السيح,شقة,سكني,2,18000,90
2025,2,المنطقة الشرقية,الجبيل,ج15,محل,تجاري,3,0,0
2025,2,المنطقة الشرقية,حفر الباطن,الربوة,استديو,سكني,13,10575,148.06
2025,2,المنطقة الشرقية,القطيف,أم الحمام,محل,تجاري,9,0,0
2025,2,المنطقة الشرقية,الخبر,إشبيلية,شقة,سكني,16,68665.9,496.28
2025,2,المنطقة الشرقية,الاحساء,هجر,شقة,سكني,15,12350,95.01
2025,2,المنطقة الشرقية,الدمام,الصفاء,دوبلاكس,سكني,13,41463.63,198.45
2025,2,المنطقة الشرقية,الدمام,الأمانة,محل,تجاري,3,0,0
2025,2,المنطقة الشرقية,حفر الباطن,الصفاء,فيلا,سكني,3,29700,68.14
2025,2,المنطقة الشرقية,الخبر,صناعية الثقبة,دور,سكني,1,24000,110.09
2025,2,المنطقة الشرقية,القطيف,الربيعية,معرض تجاري,تجاري,1,0,0
2025,2,المنطقة الشرقية,مدينه الجبيل الصناعيه,الفاروق الشمالي,دوبلاكس,سكني,3,45000,153.4
2025,2,المنطقة الشرقية,بقيق,حي النخيل - عين دار القديمة ,دور,سكني,1,21600,216
2025,2,المنطقة الشرقية,بقيق,الكداديه الشرقيه,شقة,سكني,3,13500,135
2025,2,المنطقة الشرقية,الخبر,البندرية,دور,سكني,1,40000,470.58
2025,2,المنطقة الشرقية,الاحساء,الكوت,شقة,سكني,46,12453.57,109.21
2025,2,المنطقة الشرقية,الدمام,العدامة,محل,تجاري,143,0,0
2025,2,المنطقة الشرقية,الاحساء,البندرية,شقة,سكني,162,12611.44,110.34
2025,2,المنطقة الشرقية,الاحساء,الوسيطة,دور,سكني,2,14000,101.08
2025,2,المنطقة الشرقية,الاحساء,السلمانية الثالث,معرض تجاري,تجاري,1,0,0
2025,2,المنطقة الشرقية,الدمام,المحمدية,دور,سكني,2,40000,100
2025,2,المنطقة الشرقية,الدمام,النخيل,محل,تجاري,45,0,0
2025,2,المنطقة الشرقية,الدمام,المريكبات,معرض تجاري,تجاري,5,0,0
2025,2,المنطقة الشرقية,الخفجي,المحمدية,معرض تجاري,تجاري,1,0,0
2025,2,المنطقة الشرقية,الظهران,الدانة الشمالية,استديو,سكني,1,12000,133.33
2025,2,المنطقة الشرقية,الدمام,غرناطة,مكتب,تجاري,9,0,0
2025,2,المنطقة الشرقية,الجبيل,العزيزية,استديو,سكني,1,24000,282.35
2025,2,المنطقة الشرقية,الدمام,النورس,استديو,سكني,7,10000,358.33
2025,2,المنطقة الشرقية,الاحساء,السلمانية الثالث,دوبلاكس,سكني,1,36000,200
2025,2,المنطقة الشرقية,الاحساء,العزيزية الأول,دور,سكني,5,86000,367.46
2025,2,المنطقة الشرقية,حفر الباطن,الروضة,استديو,سكني,1,4800,192
2025,2,المنطقة الشرقية,الجبيل,طيبة,دور,سكني,9,38250,182.73
2025,2,المنطقة الشرقية,الاحساء,الرويضة,معرض تجاري,تجاري,4,0,0
2025,2,المنطقة الشرقية,الصحاف,الصحاف,محل,تجاري,2,0,0
2025,2,المنطقة الشرقية,الدمام,الحسام,فيلا,سكني,48,90044.11,465.69
2025,2,المنطقة الشرقية,الاحساء,محاسن ارامكو الثاني,فيلا,سكني,1,10000,19.66
