السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,3,المنطقة الشرقية,الجبيل,ج15,شقة,سكني,1,23000,230
2025,3,المنطقة الشرقية,حفر الباطن,العزيزية,دور,سكني,50,13270.58,80.49
2025,3,المنطقة الشرقية,الدمام,الفيحاء,معرض تجاري,تجاري,18,0,0
2025,3,المنطقة الشرقية,العيون,الرابية,محل,تجاري,1,0,0
2025,3,المنطقة الشرقية,الدمام,الأمير محمد بن سعود,دور,سكني,1,18000,60
2025,3,المنطقة الشرقية,الخفجي,المحمدية,استديو,سكني,2,12600,188
2025,3,المنطقة الشرقية,الخبر,الجسر,محل,تجاري,102,0,0
2025,3,المنطقة الشرقية,الخبر,الساحل,شقة,سكني,13,24581.25,289.32
2025,3,المنطقة الشرقية,الخبر,البحر,شقة,سكني,90,51024.45,342.57
2025,3,المنطقة الشرقية,الخفجي,حي الحمراء,دور,سكني,1,11500,46
2025,3,المنطقة الشرقية,القطيف,السلام,دور,سكني,2,15000,105
2025,3,المنطقة الشرقية,القطيف,الجميمة,محل,تجاري,22,0,0
2025,3,المنطقة الشرقية,القطيف,الحزم,فيلا,سكني,1,12000,45.22
2025,3,المنطقة الشرقية,الاحساء,الراشدية الثالث,محل,تجاري,46,0,0
2025,3,المنطقة الشرقية,الخبر,الخبر الجنوبية,شقة,سكني,2800,17149.88,189.07
2025,3,المنطقة الشرقية,الاحساء,بلدة الطرف,شقة,سكني,89,13480.55,110.62
2025,3,المنطقة الشرقية,الخبر,مدينة العمال,شقة,سكني,1417,19227.69,213.74
2025,3,المنطقة الشرقية,الدمام,البادية,محل,تجاري,133,0,0
2025,3,المنطقة الشرقية,حفر الباطن,الريان,محل,تجاري,21,0,0
2025,3,المنطقة الشرقية,الدمام,ابن خلدون,دور,سكني,11,18555.33,94.94
2025,3,المنطقة الشرقية,الاحساء,البندرية,شقة,سكني,143,14153.65,121.9
2025,3,المنطقة الشرقية,الدمام,المريكبات,شقة,سكني,136,16471.47,146.24
2025,3,المنطقة الشرقية,الخبر,الخبرالشمالية,محل,تجاري,836,0,0
2025,3,المنطقة الشرقية,محطة الطريفه,محطة الطريفه,معرض تجاري,تجاري,1,0,0
2025,3,المنطقة الشرقية,القطيف,المنتزة,محل,تجاري,27,0,0
2025,3,المنطقة الشرقية,الاحساء,الحمراء الثاني,محل,تجاري,14,0,0
2025,3,المنطقة الشرقية,الاحساء,الثليثية,محل,تجاري,22,0,0
2025,3,المنطقة الشرقية,القطيف,العمل,دوبلاكس,سكني,1,18000,140.52
2025,3,المنطقة الشرقية,الاحساء,الإسكان الأول,استديو,سكني,1,5000,100
2025,3,المنطقة الشرقية,الدمام,الصناعية الثانية,شقة,سكني,20,61600,391.22
2025,3,المنطقة الشرقية,الاحساء,اللويمي,محل,تجاري,4,0,0
2025,3,المنطقة الشرقية,الخفجي,الريان,فيلا,سكني,3,18300,40.17
2025,3,المنطقة الشرقية,الجبيل,الواحة,معرض تجاري,تجاري,2,0,0
2025,3,المنطقة الشرقية,مدينه الجبيل الصناعيه,جلمودة,شقة,سكني,42,17333.33,136.29
2025,3,المنطقة الشرقية,الظهران,الدانة الشمالية,معرض تجاري,تجاري,1,0,0
2025,3,المنطقة الشرقية,الاحساء,العويمرية,دور,سكني,2,11900,59.5
2025,3,المنطقة الشرقية,الاحساء,الإسكان1,شقة,سكني,30,14722.22,133.98
2025,3,المنطقة الشرقية,القطيف,غرناطة,مكتب,تجاري,2,0,0
2025,3,المنطقة الشرقية,الدمام,الشعلة,معرض تجاري,تجاري,14,0,0
2025,3,المنطقة الشرقية,الخفجي,الروضة,دور,سكني,1,125000,625
