السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,4,المنطقة الشرقية,أم الشفلح السوريه,أم الشفلح السوريه,شقة,سكني,3,8000,36.5
2025,4,المنطقة الشرقية,الدمام,النور,دوبلاكس,سكني,10,25133.33,106.54
2025,4,المنطقة الشرقية,رأس تنورة,الدانة,شقة,سكني,449,15230.11,161.35
2025,4,المنطقة الشرقية,الدمام,النور,مكتب,تجاري,22,0,0
2025,4,المنطقة الشرقية,القطيف,الجارودية,شقة,سكني,33,16441.66,113.71
2025,4,المنطقة الشرقية,الاحساء,الرفعة الشمالية,محل,تجاري,45,0,0
2025,4,المنطقة الشرقية,الاحساء,الفيصل,مكتب,تجاري,2,0,0
2025,4,المنطقة الشرقية,الاحساء,السيفة,محل,تجاري,49,0,0
2025,4,المنطقة الشرقية,الدمام,العدامة,استديو,سكني,198,8534.81,243.57
2025,4,المنطقة الشرقية,الاحساء,الرفعة الجنوبية,دور,سكني,4,9333.33,79.65
2025,4,المنطقة الشرقية,الدمام,الخالدية الشمالية,شقة,سكني,45,20364.62,180.11
2025,4,المنطقة الشرقية,الاحساء,مشرفة,محل,تجاري,39,0,0
2025,4,المنطقة الشرقية,الاحساء,بلدة القرين,دور,سكني,2,7500,60
2025,4,المنطقة الشرقية,الخبر,الكورنيش,معرض تجاري,تجاري,21,0,0
2025,4,المنطقة الشرقية,الاحساء,بو سحبل الأول,شقة,سكني,192,12225.06,99.99
2025,4,المنطقة الشرقية,الاحساء,الفيصلية الثاني,معرض تجاري,تجاري,3,0,0
2025,4,المنطقة الشرقية,مدينه الجبيل الصناعيه,نجد الجنوبي,فيلا,سكني,12,51137.5,142.37
2025,4,المنطقة الشرقية,الاحساء,إشبيلية,محل,تجاري,2,0,0
2025,4,المنطقة الشرقية,الاحساء,الطالعية,شقة,سكني,17,9569.23,95.47
2025,4,المنطقة الشرقية,حفر الباطن,النهضة,شقة,سكني,121,12318.36,98.38
2025,4,المنطقة الشرقية,الدمام,الفيصلية,شقة,سكني,831,21003.03,165.33
2025,4,المنطقة الشرقية,الخبر,الشفاء,دور,سكني,1,12000,92.3
2025,4,المنطقة الشرقية,الجبيل,إشبيلية,فيلا,سكني,14,42776.92,161.96
2025,4,المنطقة الشرقية,قرية العليا - الرفيعه,الواحة,دور,سكني,1,9600,32
2025,4,المنطقة الشرقية,القطيف,غرناطة,دوبلاكس,سكني,2,14600,78.83
2025,4,المنطقة الشرقية,الاحساء,الزهراء1,شقة,سكني,33,13638.8,126.1
2025,4,المنطقة الشرقية,القطيف,الجميمة,محل,تجاري,28,0,0
2025,4,المنطقة الشرقية,حفر الباطن,الريان,فيلا,سكني,3,34533.33,103.68
2025,4,المنطقة الشرقية,الدمام,الجامعيين,استديو,سكني,9,15333.33,327.77
2025,4,المنطقة الشرقية,الخبر,الحمراء,شقة,سكني,1627,33027.03,244.82
2025,4,المنطقة الشرقية,الاحساء,الريان,شقة,سكني,12,11818.18,117.59
2025,4,المنطقة الشرقية,الدمام,الصناعية,دوبلاكس,سكني,2,15000,71.42
2025,4,المنطقة الشرقية,الاحساء,الفتح,دور,سكني,4,13500,87.5
2025,4,المنطقة الشرقية,الاحساء,الفيصلية الأول,استديو,سكني,5,6466.66,164.44
2025,4,المنطقة الشرقية,الاحساء,النايفية,معرض تجاري,تجاري,2,0,0
2025,4,المنطقة الشرقية,الاحساء,البدور,شقة,سكني,2,17000,141.66
2025,4,المنطقة الشرقية,الاحساء,محاسن الأول,استديو,سكني,11,9375,196.98
2025,4,المنطقة الشرقية,رأس تنورة,الزهور,مكتب,تجاري,1,0,0
2025,4,المنطقة الشرقية,الاحساء,إشبيلية,دور,سكني,1,12000,64.86
2025,4,المنطقة الشرقية,الخبر,الجوهرة,مكتب,تجاري,14,0,0
2025,4,المنطقة الشرقية,الخبر,الروابي,شقة,سكني,607,46587.44,294.82
2025,4,المنطقة الشرقية,الخفجي,الملك فهد,دور,سكني,10,19960,99.07
2025,4,المنطقة الشرقية,الدمام,الشاطئ الشرقي,مكتب,تجاري,110,0,0
2025,4,المنطقة الشرقية,الخفجي,حي الخزامي,شقة,سكني,21,17842.85,159.22
2025,4,المنطقة الشرقية,القطيف,الغدير,فيلا,سكني,1,35000,100
2025,4,المنطقة الشرقية,الاحساء,البدرية,شقة,سكني,2,16000,89.84
2025,4,المنطقة الشرقية,الاحساء,الملك فهد,دور,سكني,4,14833.33,91.55
2025,4,المنطقة الشرقية,الخفجي,الروضة,استديو,سكني,2,12000,208.33
2025,4,المنطقة الشرقية,الاحساء,الصناعية,استديو,سكني,1,10800,432
2025,4,المنطقة الشرقية,حفر الباطن,الباطن,محل,تجاري,21,0,0
2025,4,المنطقة الشرقية,الاحساء,النعاثل,محل,تجاري,66,0,0
2025,4,المنطقة الشرقية,حفر الباطن,الربيع,شقة,سكني,2,9000,80
2025,4,المنطقة الشرقية,الاحساء,العاصمة,فيلا,سكني,9,34888.88,140.52
2025,4,المنطقة الشرقية,الدمام,الشعلة,دوبلاكس,سكني,10,43277.77,169.14
2025,4,المنطقة الشرقية,مدينه الجبيل الصناعيه,جلمودة,فيلا,سكني,110,66088.54,133.24
2025,4,المنطقة الشرقية,حفر الباطن,المروج,شقة,سكني,192,13361.21,105.45
2025,4,المنطقة الشرقية,الاحساء,عين نجم,دوبلاكس,سكني,5,29500,106.23
2025,4,المنطقة الشرقية,الاحساء,جوبا,محل,تجاري,15,0,0
2025,4,المنطقة الشرقية,الاحساء,أم سبعة,محل,تجاري,2,0,0
2025,4,المنطقة الشرقية,القطيف,الدبابية,محل,تجاري,16,0,0
2025,4,المنطقة الشرقية,الاحساء,المزروع الاول,دوبلاكس,سكني,2,25250,126.65
2025,4,المنطقة الشرقية,مدينه الجبيل الصناعيه,سدير الشمالي,فيلا,سكني,11,51090.9,141.47
2025,4,المنطقة الشرقية,الاحساء,الشروفية,محل,تجاري,37,0,0
2025,4,المنطقة الشرقية,مدينه الجبيل الصناعيه,جلمودة,مكتب,تجاري,1,0,0
2025,4,المنطقة الشرقية,القطيف,المسعودية,شقة,سكني,3,13333.33,127.12
2025,4,المنطقة الشرقية,الاحساء,لذة,محل,تجاري,2,0,0
2025,4,المنطقة الشرقية,الخفجي,المروج,دور,سكني,9,18288.88,82.19
2025,4,المنطقة الشرقية,الاحساء,بلدة المركز,دور,سكني,1,5000,35.18
2025,4,المنطقة الشرقية,الخبر,الكورنيش,شقة,سكني,52,54067.44,268.43
2025,4,المنطقة الشرقية,الخفجي,المروج,شقة,سكني,57,14862.85,109.78
2025,4,المنطقة الشرقية,مدينه الجبيل الصناعيه,جلمودة,معرض تجاري,تجاري,4,0,0
2025,4,المنطقة الشرقية,الجبيل,الصفاة,فيلا,سكني,3,32000,89.4
