السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,حائل,الشملى,التعاون,شقة,سكني,4,16350,153.75
2025,1,حائل,الحائط,السلام,استديو,سكني,1,12000,100
2025,1,حائل,حائل,البادية,دور,سكني,15,14557.14,74.96
2025,1,حائل,حائل,العزيزية,مكتب,تجاري,4,0,0
2025,1,حائل,النعى,النعي,شقة,سكني,5,17700,83.94
2025,1,حائل,الأجفر,الصناعية,شقة,سكني,1,5000,33.33
2025,1,حائل,الشنان,الورود,شقة,سكني,6,13986.66,113.31
2025,1,حائل,الحليفة السفلي - الملاح,الملاح,شقة,سكني,2,16500,168.38
2025,1,حائل,حائل,الملك عبدالله,دور,سكني,10,14400,82.19
2025,1,حائل,حائل,النقرة,استديو,سكني,19,17360,460.03
2025,1,حائل,حائل,السمراء,استديو,سكني,4,10000,126.66
2025,1,حائل,حائل,السمراء,شقة,سكني,191,15529.1,117.26
2025,1,حائل,حائل,قرية نقبين,شقة,سكني,6,14916.66,91.17
2025,1,حائل,حائل,غرناطة,محل,تجاري,13,0,0
2025,1,حائل,بقعاء,حي ج4,شقة,سكني,4,13500,105
2025,1,حائل,حائل - الجديده,الجديدة,دور,سكني,1,21600,216
2025,1,حائل,الشنان,العليا,دور,سكني,1,9600,80
2025,1,حائل,حائل,المزعبر,دور,سكني,4,12900,80.12
2025,1,حائل,تربة,زرود,شقة,سكني,5,12000,92
2025,1,حائل,الغزالة - الغزاله,وسط الغزالة,دور,سكني,1,8000,20
2025,1,حائل,بقعاء,مخطط الظهيره,محل,تجاري,4,0,0
2025,1,حائل,الصفياء,الصفياء,شقة,سكني,1,18000,181.81
2025,1,حائل,حائل,سوق المواشى,محل,تجاري,2,0,0
2025,1,حائل,الحمادية,ام القلبان,شقة,سكني,8,15325,123.22
2025,1,حائل,جبة,التاسع,دور,سكني,3,20000,66.66
2025,1,حائل,حائل,ضاحية الملك فهد,دور,سكني,3,22000,84.35
2025,1,حائل,حائل,المزعبر,فيلا,سكني,1,50000,166.66
2025,1,حائل,حائل,قفار,استديو,سكني,2,10000,266.66
2025,1,حائل,حمض,حمض,شقة,سكني,1,18000,100
2025,1,حائل,حائل,المحطة,محل,تجاري,252,0,0
2025,1,حائل,مخطط محمد الحبيب الزراعي,مخطط رقم(1018),محل,تجاري,2,0,0
2025,1,حائل,الخطه,الخطة,فيلا,سكني,1,12000,60
2025,1,حائل,حائل,الخزامى,شقة,سكني,356,16715.32,126.5
2025,1,حائل,الداره,الدارة,شقة,سكني,1,18000,60
2025,1,حائل,حائل,مريفق,شقة,سكني,9,15428.57,135.56
2025,1,حائل,حائل,سوق المواشى,شقة,سكني,2,16500,150
2025,1,حائل,حائل,الرصف,محل,تجاري,51,0,0
2025,1,حائل,حائل,الزبارة,شقة,سكني,351,11845.98,96.23
2025,1,حائل,حائل,قرطبة,محل,تجاري,2,0,0
2025,1,حائل,حائل,شراف,محل,تجاري,7,0,0
2025,1,حائل,مشروع الجبرين,مشروع الجبرين,شقة,سكني,1,18000,90
2025,1,حائل,تربة,الزهراء,شقة,سكني,14,9384.61,91.69
2025,1,حائل,بدائع البادية,بدائع البادية,شقة,سكني,1,18000,180
2025,1,حائل,تربة,السلام,محل,تجاري,4,0,0
2025,1,حائل,حائل,قرية النيصية,فيلا,سكني,9,26020.44,82.35
2025,1,حائل,سميراء - مشرفة,مشرفة,شقة,سكني,2,16500,194.11
2025,1,حائل,الأجفر,حى الوسيطاء,فيلا,سكني,1,18000,36
2025,1,حائل,حائل,الودي,فيلا,سكني,6,28200,67.45
2025,1,حائل,الحائط,أبو سهيلات,شقة,سكني,3,16000,192.3
2025,1,حائل,القاسميه,القاسمية,شقة,سكني,1,18000,141.3
2025,1,حائل,الخفج,الخفج,شقة,سكني,1,18010,100.05
2025,1,حائل,وادي البعيثة,وادي البعيثة,شقة,سكني,1,18000,90
2025,1,حائل,المهينيه,المهينية,شقة,سكني,2,12000,80
2025,1,حائل,حائل,المكظم,دور,سكني,1,10000,50
2025,1,حائل,تربة,زرود,محل,تجاري,2,0,0
2025,1,حائل,حائل,البحيرة,شقة,سكني,42,15791.3,150.88
