السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,2,حائل,الكهيفيه,الكهيفية,شقة,سكني,1,18000,90
2025,2,حائل,حائل,السمراء,دور,سكني,14,18220,74.05
2025,2,حائل,مشاش  بن جازي,مشاش بن جازي,محل,تجاري,1,0,0
2025,2,حائل,اسبطر,اسبطر,استديو,سكني,1,6000,120
2025,2,حائل,الرفايع,الرفايع,شقة,سكني,1,18000,90
2025,2,حائل,حائل,صبابة,استديو,سكني,1,10000,333.33
2025,2,حائل,حائل,قرية الجثامية,دور,سكني,1,12000,30
2025,2,حائل,بقعاء,الوسطى,محل,تجاري,10,0,0
2025,2,حائل,الأجفر,حى البلد,شقة,سكني,5,16500,116.25
2025,2,حائل,حائل,صلاح الدين الغربي,مكتب,تجاري,1,0,0
2025,2,حائل,منيفة القاعد,منيفة القاعد,محل,تجاري,20,0,0
2025,2,حائل,حائل,لبدة,معرض تجاري,تجاري,1,0,0
2025,2,حائل,حائل,شراف,شقة,سكني,39,15536.84,142.21
2025,2,حائل,حائل,الياسمين,دوبلاكس,سكني,1,25000,125
2025,2,حائل,تربة,السلام,محل,تجاري,3,0,0
2025,2,حائل,الشنان,الحمراء,محل,تجاري,1,0,0
2025,2,حائل,تربة,البدع,شقة,سكني,2,12000,120
2025,2,حائل,حائل,قرية النيصية,دوبلاكس,سكني,1,37200,186
2025,2,حائل,ضرغط,ضرغط,شقة,سكني,2,9066.5,42.46
2025,2,حائل,الحائط,البستان,شقة,سكني,1,18000,90
2025,2,حائل,حائل,المحطة,فيلا,سكني,2,19000,62.05
2025,2,حائل,حائل,المطار,شقة,سكني,98,14451.19,98.05
2025,2,حائل,منيفة القاعد,منيفة القاعد,شقة,سكني,38,10441.66,91.3
2025,2,حائل,حائل,السمراء,محل,تجاري,32,0,0
2025,2,حائل,الداره,الدارة,محل,تجاري,1,0,0
2025,2,حائل,الشويمس ,الشويمس ,شقة,سكني,1,18000,180
2025,2,حائل,الخطة - المندسه الشرقيه,المندسة الغربية,دور,سكني,1,12000,40
2025,2,حائل,كمب الثنيان,كمب الثنيان,محل,تجاري,1,0,0
2025,2,حائل,حائل,الزبارة,شقة,سكني,160,11521.69,97.32
2025,2,حائل,حائل,السمراء,دوبلاكس,سكني,1,12000,40
2025,2,حائل,الحائط,أبو سهيلات,شقة,سكني,2,15000,105
2025,2,حائل,حائل,المنتزة الشرقي,فيلا,سكني,8,26100,98.9
2025,2,حائل,سميراء,النهضة,شقة,سكني,1,16800,140
2025,2,حائل,حائل,المنتزة رالشمالي,دور,سكني,12,17760,99.96
2025,2,حائل,حائل,الوسيطاء,استديو,سكني,19,6472.72,204.39
2025,2,حائل,الفقي,الفقي,شقة,سكني,1,18000,100
2025,2,حائل,حائل,النعام,محل,تجاري,3,0,0
2025,2,حائل,حائل,البادية,دور,سكني,17,12360,61.33
2025,2,حائل,حائل,الودي,دور,سكني,13,19866.66,69.19
2025,2,حائل,الحليفه العليا,الحليفة العليا,شقة,سكني,5,16508.75,131.68
2025,2,حائل,السليمي,الصناعية,محل,تجاري,1,0,0
2025,2,حائل,حائل,شراف,فيلا,سكني,1,23000,54.07
2025,2,حائل,الشملى,النخيل الغربي,محل,تجاري,15,0,0
2025,2,حائل,قاع حجلاء,قاع حجلاء,شقة,سكني,3,15000,90.9
2025,2,حائل,بقعاء,الوسطى,فيلا,سكني,2,13200,49.81
2025,2,حائل,حائل,الشفاء,استديو,سكني,8,14800,286.66
2025,2,حائل,حائل,صلاح الدين الغربي,شقة,سكني,33,15002,105.15
2025,2,حائل,حائل,العزيزية,محل,تجاري,76,0,0
2025,2,حائل,حائل,المصيف,فيلا,سكني,3,44533.33,228.82
2025,2,حائل,حائل,قرية النيصية,محل,تجاري,5,0,0
2025,2,حائل,حائل,العليا,محل,تجاري,8,0,0
2025,2,حائل,التربيه,التربية,فيلا,سكني,1,9600,48
2025,2,حائل,حائل,السويفلة,دور,سكني,4,29000,72.5
2025,2,حائل,حائل,المنتزة رالشمالي,شقة,سكني,63,15940.77,112.85
2025,2,حائل,عقله بن دانى,عقلة بن داني,شقة,سكني,3,13666.66,80
2025,2,حائل,الحيانية,الحيّانية,شقة,سكني,6,14520,115.38
2025,2,حائل,الخوير,الخوير,شقة,سكني,4,18000,180
2025,2,حائل,دريعه,دريعة,شقة,سكني,1,12000,77.41
2025,2,حائل,حائل,السلام,شقة,سكني,27,17392.63,104.34
2025,2,حائل,جبة,حي ج1,دور,سكني,1,16800,57.93
2025,2,حائل,الحليفه السفلى,الحليفة السفلى,شقة,سكني,62,15157.3,113
2025,2,حائل,الشملى,حفيرة السبعة الغربي,شقة,سكني,2,15000,150
2025,2,حائل,حائل,نقرة قفار,دوبلاكس,سكني,1,12000,42.85
2025,2,حائل,تربة,السلام,شقة,سكني,19,11750,112.94
2025,2,حائل,الحائط,البستان,محل,تجاري,1,0,0
2025,2,حائل,حائل,التلفزيون,محل,تجاري,5,0,0
2025,2,حائل,حائل,شرق الصناعية,شقة,سكني,7,16900,133.32
2025,2,حائل,حائل,البحيرة,دور,سكني,1,18000,45.45
2025,2,حائل,حائل,قرية النيصية,شقة,سكني,30,16364.7,113.85
2025,2,حائل,حائل,المجد,دور,سكني,11,20200,69.92
2025,2,حائل,حائل,صلاح الدين,فيلا,سكني,1,13000,86.66
2025,2,حائل,الغزالة - ارينبه,أرينبة,شقة,سكني,1,17000,56.66
2025,2,حائل,الحائط,السلام,محل,تجاري,35,0,0
2025,2,حائل,تربة,فوار,شقة,سكني,2,16800,168
2025,2,حائل,الشيحيه,الشيحيّة,استديو,سكني,1,4800,24
2025,2,حائل,الشنان,العزيزية,شقة,سكني,1,18000,180
2025,2,حائل,المضيح,المضيّح,شقة,سكني,1,18000,72
2025,2,حائل,جبة,حي ج1,شقة,سكني,1,18000,100
2025,2,حائل,حائل,المنتزة الشرقي,مكتب,تجاري,3,0,0
2025,2,حائل,حائل,المدائن,فيلا,سكني,2,24500,45
2025,2,حائل,حائل,النقرة,معرض تجاري,تجاري,70,0,0
2025,2,حائل,تربة,الشعلة,محل,تجاري,4,0,0
2025,2,حائل,حائل,قرطبة,محل,تجاري,1,0,0
2025,2,حائل,منيفة القاعد,منيفة القاعد,فيلا,سكني,5,14000,99.29
2025,2,حائل,حائل,الوسيطاء,شقة,سكني,189,15236.68,107.93
2025,2,حائل,الشملى,النخيل الغربي,شقة,سكني,55,15389.7,139.34
2025,2,حائل,القاعد,القاعد,دور,سكني,1,18000,90
2025,2,حائل,الشغوة,الشغوة,محل,تجاري,2,0,0
2025,2,حائل,الجبريه,الجبرية,شقة,سكني,2,17000,85
2025,2,حائل,حائل,الرصف,فيلا,سكني,8,24600,65.14
2025,2,حائل,حريد,حريد,شقة,سكني,4,18000,118.13
2025,2,حائل,حائل,المنتزة رالشمالي,استديو,سكني,1,6000,92.3
2025,2,حائل,حائل,الزبارة,فيلا,سكني,4,19666.66,94.2
2025,2,حائل,حائل,السلام,محل,تجاري,9,0,0
2025,2,حائل,السليمي,الديرة,فيلا,سكني,1,18000,141.3
2025,2,حائل,السليمي,العدل,شقة,سكني,24,11776.66,95.54
2025,2,حائل,السليمي,الديرة,شقة,سكني,9,12628.57,79.52
2025,2,حائل,حائل,المنتزة الغربي,دور,سكني,9,17644.44,85.11
2025,2,حائل,حائل,السمراء,شقة,سكني,136,14151.76,100.25
2025,2,حائل,حائل,النفل,محل,تجاري,18,0,0
2025,2,حائل,حائل,الوادي,فيلا,سكني,27,26523.07,63.21
2025,2,حائل,ضرغط,ضرغط,دور,سكني,2,32500,187.75
2025,2,حائل,حائل,المحطة,معرض تجاري,تجاري,2,0,0
2025,2,حائل,عثمر   المخطط,عثمر ,شقة,سكني,9,15066.66,137.62
2025,2,حائل,بقعاء,حي ج9,دور,سكني,1,9600,64
2025,2,حائل,حائل,الخزامى,دور,سكني,26,24738.88,103.19
2025,2,حائل,موقق,موقق,محل,تجاري,1,0,0
2025,2,حائل,الشيحيه,الشيحيّة,محل,تجاري,1,0,0
2025,2,حائل,حائل,السويفلة,شقة,سكني,92,18009.52,119.1
2025,2,حائل,الهرير,الهرير,فيلا,سكني,1,12000,11.76
2025,2,حائل,العراديه,العرادية,محل,تجاري,2,0,0
2025,2,حائل,الشنان,العليا,استديو,سكني,1,11000,137.5
