السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,3,حائل,حائل,التلفزيون,شقة,سكني,34,15143.75,107.64
2025,3,حائل,الغزالة - الغزاله,وسط الغزالة,محل,تجاري,4,0,0
2025,3,حائل,الحائط,الريان,محل,تجاري,1,0,0
2025,3,حائل,حائل,قرطبة,دوبلاكس,سكني,1,18000,50.99
2025,3,حائل,حائل,المجمع,محل,تجاري,8,0,0
2025,3,حائل,حائل,قرطبة,محل,تجاري,1,0,0
2025,3,حائل,بقعاء,الوسطى,دور,سكني,1,12000,48
2025,3,حائل,حائل,شرق الصناعية,شقة,سكني,1,18000,72
2025,3,حائل,حائل,العزيزية,دور,سكني,23,14737.5,66.39
2025,3,حائل,الحائط,السلام,دور,سكني,4,14300,60.66
2025,3,حائل,حائل,السويفلة,دور,سكني,11,18100,91.93
2025,3,حائل,بدايع الصغوى,الصغوى,دور,سكني,1,6000,15.22
2025,3,حائل,الحفير,الحفير,شقة,سكني,4,14000,99.44
2025,3,حائل,المشيطيه,المشيطية,شقة,سكني,6,11166.66,90.11
2025,3,حائل,حائل,البحيرة,شقة,سكني,49,18716.66,154.63
2025,3,حائل,حائل,مشار,شقة,سكني,1,28800,147.69
2025,3,حائل,حائل,البادية,استديو,سكني,1,5000,166.66
2025,3,حائل,حائل,اللقيطه,محل,تجاري,7,0,0
2025,3,حائل,الأجفر,حى النخيل,شقة,سكني,6,14775,114.62
2025,3,حائل,حائل,الخزامى,محل,تجاري,56,0,0
2025,3,حائل,بدع بن خلف,بدع بن خلف,شقة,سكني,3,18000,160
2025,3,حائل,تربة,السلام,استديو,سكني,2,6000,85.71
2025,3,حائل,حائل,النقرة,استديو,سكني,12,13950,290.57
2025,3,حائل,تربة,الثريا,محل,تجاري,1,0,0
2025,3,حائل,الحماد,الحماد,شقة,سكني,2,18000,113.99
2025,3,حائل,حائل,درة مشار,فيلا,سكني,3,19333.33,51.5
2025,3,حائل,العراديه,العرادية,شقة,سكني,1,8000,94.11
2025,3,حائل,حائل,غرناطة,شقة,سكني,66,18219.23,119.64
2025,3,حائل,حائل,العليا,شقة,سكني,6,11150,131.34
2025,3,حائل,حائل,العليا,دور,سكني,1,20000,156.11
2025,3,حائل,دليهان,دليهان,محل,تجاري,5,0,0
2025,3,حائل,حائل,الجامعيين,معرض تجاري,تجاري,1,0,0
2025,3,حائل,حائل,قفار,شقة,سكني,37,13805,115.08
2025,3,حائل,حائل,لبدة,شقة,سكني,47,12631.25,101.51
2025,3,حائل,تربة,السلام,شقة,سكني,18,7600,60.07
2025,3,حائل,بيضاء نثيل,بيضاء نثيل,شقة,سكني,1,13200,132
2025,3,حائل,ضبيعه,ضبيعة,شقة,سكني,5,12600,126
2025,3,حائل,حائل,السمراء,شقة,سكني,194,14641.57,106.3
2025,3,حائل,بدائع الصباحه,بدائع صباحة,شقة,سكني,1,12000,100
2025,3,حائل,الوهيبيه,الوهيبية,محل,تجاري,1,0,0
2025,3,حائل,حائل,المحطة,شقة,سكني,288,12209.91,104.85
2025,3,حائل,حائل,قرية الجثامية,محل,تجاري,7,0,0
2025,3,حائل,حائل,الرصف,فيلا,سكني,9,29880,107.24
2025,3,حائل,سميراء,حطين,شقة,سكني,1,17500,145.83
2025,3,حائل,غمره,غمرة,شقة,سكني,3,12000,84.54
2025,3,حائل,الشملى,النخيل الغربي,دور,سكني,1,25500,63.75
2025,3,حائل,تربة,الثريا,شقة,سكني,9,9300,115
2025,3,حائل,الحفير,الحفير,محل,تجاري,1,0,0
2025,3,حائل,حائل,الرصف,دور,سكني,24,20584.61,89.13
2025,3,حائل,حائل,البادية,دور,سكني,22,15140,66.51
2025,3,حائل,حائل,الشفاء,محل,تجاري,108,0,0
2025,3,حائل,صداء,صداء,شقة,سكني,1,18000,211.76
2025,3,حائل,حائل,درة مشار,دور,سكني,2,22000,146.66
2025,3,حائل,تربة,السلام,محل,تجاري,1,0,0
2025,3,حائل,حائل,المدائن,دور,سكني,88,23078.04,91.73
2025,3,حائل,القاعد,القاعد,شقة,سكني,19,14550,101.66
2025,3,حائل,حائل,قفار,دور,سكني,30,20542.85,71.23
2025,3,حائل,حائل,البادية,شقة,سكني,84,12400,100.24
2025,3,حائل,قنا,قناء,شقة,سكني,6,16000,98.97
2025,3,حائل,حائل,المنتزة رالشمالي,شقة,سكني,89,16814.28,127.33
2025,3,حائل,حائل,المطار,فيلا,سكني,15,27312.5,76.99
2025,3,حائل,حائل,المزعبر,شقة,سكني,19,15190,96.24
2025,3,حائل,الحليفه السفلى,الحليفة السفلى,شقة,سكني,69,14700,82.72
2025,3,حائل,حائل,المملكة,شقة,سكني,75,16214.66,108.14
2025,3,حائل,حائل - الجديده,الجديدة,شقة,سكني,34,11623.07,89.98
2025,3,حائل,حائل,أجا,فيلا,سكني,7,29250,103.46
2025,3,حائل,حائل,اللقيطه,فيلا,سكني,5,29000,81.29
2025,3,حائل,الكهفه,الكهفة,شقة,سكني,5,18000,100
2025,3,حائل,بقعاء,بقعاء القديمة,شقة,سكني,71,8534.48,72.12
2025,3,حائل,حائل,المطار,مكتب,تجاري,1,0,0
2025,3,حائل,حائل,المصيف,شقة,سكني,297,19202.15,126.9
2025,3,حائل,حائل,الخزامى,شقة,سكني,593,18643.83,134.14
2025,3,حائل,حائل,الزبارة,دوبلاكس,سكني,4,26666.66,106.54
2025,3,حائل,الحائط - الصفراء,الصفراء,شقة,سكني,1,18000,60
2025,3,حائل,حائل,المصيف,محل,تجاري,37,0,0
2025,3,حائل,حائل,نقرة قفار,محل,تجاري,51,0,0
2025,3,حائل,حائل,صبابة,فيلا,سكني,3,21000,122.8
2025,3,حائل,مراغان الجديد,مراغان,شقة,سكني,2,18000,95
2025,3,حائل,حائل,الشفاء,شقة,سكني,309,15822.55,124.14
2025,3,حائل,الحائط,السلام,شقة,سكني,131,18062.16,133.3
2025,3,حائل,الشنان,الصالحية,شقة,سكني,3,6000,71.11
2025,3,حائل,حائل,قرية النيصية,شقة,سكني,63,21355.26,135.97
