السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,4,حائل,سميراء,المملكة,محل,تجاري,11,0,0
2025,4,حائل,السليمي,السمراء,محل,تجاري,2,0,0
2025,4,حائل,الجبريه,الجبرية,محل,تجاري,1,0,0
2025,4,حائل,وسيط الشعيبات,وسيط الشعيبات,شقة,سكني,1,15000,75
2025,4,حائل,الغزالة - الغزاله,وسط الغزالة,محل,تجاري,7,0,0
2025,4,حائل,بقعاء,حي ج2,دوبلاكس,سكني,1,15000,57.69
2025,4,حائل,حائل,صلاح الدين,فيلا,سكني,2,33000,110
2025,4,حائل,حائل,المنتزة الشرقي,مكتب,تجاري,1,0,0
2025,4,حائل,الأجفر,حى السلام,محل,تجاري,1,0,0
2025,4,حائل,حائل,درة مشار,فيلا,سكني,5,31750,132.75
2025,4,حائل,سميراء,المملكة,شقة,سكني,28,9773.91,66.31
2025,4,حائل,الدابيه,الدابية,شقة,سكني,3,17200,144.43
2025,4,حائل,حائل,إشبيليا,محل,تجاري,17,0,0
2025,4,حائل,حائل,مريفق,شقة,سكني,8,17312.5,137.45
2025,4,حائل,ثويليل,ثويليل,شقة,سكني,1,18000,180
2025,4,حائل,الشنان,العزيزية,استديو,سكني,1,15000,187.5
2025,4,حائل,جبة,حي ج1,دور,سكني,2,7996.5,35.53
2025,4,حائل,حائل,صلاح الدين,دوبلاكس,سكني,1,30000,111.11
2025,4,حائل,حائل,المطار,شقة,سكني,160,13629.8,99.3
2025,4,حائل,بدع بن خلف,بدع بن خلف,شقة,سكني,8,17666.66,182
2025,4,حائل,حائل,أجا,فيلا,سكني,3,30000,60
2025,4,حائل,دفاين الضبا,دفاين الضباء,شقة,سكني,1,12000,51.28
2025,4,حائل,حائل,برزان,محل,تجاري,143,0,0
2025,4,حائل,موقق - المحفر,المحفَّر,شقة,سكني,1,18000,180
2025,4,حائل,حائل,نقرة قفار,استديو,سكني,6,10520,167.53
2025,4,حائل,حائل,إشبيليا,دوبلاكس,سكني,1,20000,64.51
2025,4,حائل,حائل,المدائن,شقة,سكني,158,15872.93,117.63
2025,4,حائل,الحائط,السلام,شقة,سكني,100,16305.11,148.03
2025,4,حائل,حائل,لبدة,دور,سكني,5,15350,89
2025,4,حائل,تربة,الشلال,شقة,سكني,5,10800,115.47
2025,4,حائل,موقع تدريب الأمن العام,عريجاء,دور,سكني,1,6000,30
2025,4,حائل,الصداعيه,الصداعية,شقة,سكني,3,18000,60
2025,4,حائل,موقق,مخطط 380,شقة,سكني,4,11300,87.16
2025,4,حائل,حائل,المجمع,استديو,سكني,57,7200,120
2025,4,حائل,حائل,شراف,فيلا,سكني,1,30000,75
2025,4,حائل,حائل,المطار,فيلا,سكني,11,23525,54.82
2025,4,حائل,حائل,السويفلة,دور,سكني,3,12133.33,48.08
2025,4,حائل,حائل,الجامعيين,محل,تجاري,103,0,0
2025,4,حائل,ضريغط,ضريغط,محل,تجاري,5,0,0
2025,4,حائل,حائل,البادية,محل,تجاري,41,0,0
2025,4,حائل,حائل,صلاح الدين الغربي,معرض تجاري,تجاري,2,0,0
2025,4,حائل,العش,العش,دور,سكني,1,12000,93.66
2025,4,حائل,حائل,الورود,دور,سكني,6,16916.66,131.5
2025,4,حائل,زريب التيم,زريب التيم,شقة,سكني,1,12000,100
2025,4,حائل,الحامريه,الحامرية,شقة,سكني,2,9600,80
2025,4,حائل,حائل,الخماشية,استديو,سكني,2,6000,209.38
2025,4,حائل,الشملى,التعاون,شقة,سكني,6,14526,104.54
2025,4,حائل,حائل,البادية,دور,سكني,23,14072.22,79.9
2025,4,حائل,حائل,مشار,دور,سكني,6,18766.66,59.21
2025,4,حائل,الشملى,الحفيرة الغربي,شقة,سكني,7,13106,116
2025,4,حائل,بقعاء,مخطط الظهيره,دور,سكني,8,9042.85,59.03
2025,4,حائل,منيفة القاعد,منيفة القاعد,شقة,سكني,48,12720.9,103.73
2025,4,حائل,حائل,الشفاء,استديو,سكني,6,8640,196
2025,4,حائل,تربة,الشعلة,شقة,سكني,2,12000,120
2025,4,حائل,جبة,الثاني,شقة,سكني,6,15120,117.96
2025,4,حائل,حائل,الوسيطاء,دور,سكني,34,15393.75,71.14
2025,4,حائل,حائل,البادية,مكتب,تجاري,2,0,0
2025,4,حائل,حائل,المطار,معرض تجاري,تجاري,4,0,0
