السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,جازان,المباركة,المباركة,شقة,سكني,19,15525,137.23
2025,1,جازان,هروب - المروي,المروي,شقة,سكني,1,14400,160
2025,1,جازان,جازان,المحمدية 2,دور,سكني,8,29171.42,154.22
2025,1,جازان,المهزل,المهزل,شقة,سكني,7,18000,167.63
2025,1,جازان,زمزم,زمزم,شقة,سكني,8,16714.28,127.71
2025,1,جازان,المواقده,المواقده,شقة,سكني,2,12000,137.5
2025,1,جازان,الحميراء,الحميراء,محل,تجاري,1,0,0
2025,1,جازان,صبياء,الوسام,شقة,سكني,5,18000,123.79
2025,1,جازان,الحمرايه,الحمرايه,محل,تجاري,1,0,0
2025,1,جازان, الدائر - الثواهر,الثواهر,شقة,سكني,1,12000,184.61
2025,1,جازان,احد المسارحة - الزباره,الزباره,شقة,سكني,1,18000,100
2025,1,جازان,ضمد,خضيرة,شقة,سكني,19,15064.7,103.01
2025,1,جازان,لحوج,لحوج,استديو,سكني,1,17000,133.45
2025,1,جازان,رملان الدرب,رملان الدرب,دور,سكني,1,12000,68.57
2025,1,جازان,الحمرايه,الجربه,محل,تجاري,5,0,0
2025,1,جازان,شعب الذئب,شعب الذئب,محل,تجاري,1,0,0
2025,1,جازان,الحقلة الشماليه,الحقلة الشماليه,شقة,سكني,2,18000,132
2025,1,جازان,ضمد,السليل,دور,سكني,1,8400,84
2025,1,جازان,الرونه,الرونه,محل,تجاري,3,0,0
2025,1,جازان,الكنانية,الكنانية,شقة,سكني,1,9600,76.8
2025,1,جازان,صبياء,المجد,فيلا,سكني,1,12000,60
2025,1,جازان,الشقيرى,الحاره الغربيه,استديو,سكني,1,8400,280
2025,1,جازان,الضيعه وتشمل,الضيعه وتشمل,دور,سكني,1,12000,94.2
2025,1,جازان,نيد مجبا,نيد مجبا,شقة,سكني,1,18000,100
2025,1,جازان,ابو القعايد,ابو القعايد,محل,تجاري,6,0,0
2025,1,جازان,المضرب  الاعلى,المضرب  الاعلى,شقة,سكني,1,14400,120
2025,1,جازان,صبياء,جريبه,محل,تجاري,3,0,0
2025,1,جازان,السلام العليا,السلامه العليا,شقة,سكني,30,16107.69,111.12
2025,1,جازان,صامطة,الإسكان,شقة,سكني,23,17845,135.73
2025,1,جازان,السرورى (الصرويين),السرورى (الصرويين),محل,تجاري,1,0,0
2025,1,جازان,النجاميه,النجاميه,شقة,سكني,18,13873.23,154.95
2025,1,جازان,صامطة,الجامعة,مكتب,تجاري,1,0,0
2025,1,جازان, الدائر - المحنيه,المحنيه,دور,سكني,1,12000,80
2025,1,جازان,جازان,الصفاء,شقة,سكني,296,18671.61,147.62
2025,1,جازان,الجروف,الجروف,استديو,سكني,1,8400,357.44
2025,1,جازان,الشحيذيه,الشحيذيه,محل,تجاري,1,0,0
2025,1,جازان,الجازر,الجازر,شقة,سكني,2,13800,115
2025,1,جازان,عصيم ويشمل,عصيم ويشمل,شقة,سكني,1,18000,225
2025,1,جازان,العدي,العدي,شقة,سكني,1,6000,60
2025,1,جازان,صبياء,المودة,محل,تجاري,4,0,0
2025,1,جازان,الزقله,الزقله,شقة,سكني,2,12000,100
2025,1,جازان,بيش - المشبه,المشبه,شقة,سكني,1,12000,200
2025,1,جازان,صامطة,البدوي,استديو,سكني,3,10500,420
2025,1,جازان,صامطة,حطين,محل,تجاري,20,0,0
2025,1,جازان,جازان,النسيم,محل,تجاري,12,0,0
2025,1,جازان,خالف الصيابه,خالف الصيابه,شقة,سكني,3,10800,126
2025,1,جازان,بيش - طناطن,طناطن,شقة,سكني,5,15700,154.64
2025,1,جازان,الحوامضه,الحوامضه,شقة,سكني,2,15000,80
2025,1,جازان,نيد اللمه,نيد اللمه,شقة,سكني,1,18000,100
2025,1,جازان,جازان,الروضة,استديو,سكني,34,12250,226.61
2025,1,جازان,صامطة,النعيم,شقة,سكني,25,14408.69,135.63
2025,1,جازان,الحمرايه,الحمرايه,شقة,سكني,1,12000,100
2025,1,جازان,جازان,الصناعية,شقة,سكني,1,16000,84.21
2025,1,جازان,القائم الاسفل,القائم الاسفل,شقة,سكني,38,17260.64,119.35
2025,1,جازان,السوانى,السوانى,شقة,سكني,2,13200,132
2025,1,جازان,صامطة,العليا,دور,سكني,1,27000,205.32
2025,1,جازان,جوه ال سلمان,جوه ال سلمان,شقة,سكني,2,9000,65
2025,1,جازان,المختبيه,المختبيه,محل,تجاري,1,0,0
2025,1,جازان,مراوه,مراوه,شقة,سكني,22,17090.47,139.15
2025,1,جازان,حبيل الشامخ,حبيل الشامخ,شقة,سكني,2,18000,80.15
2025,1,جازان,نيد اللفج,نيد اللفج,شقة,سكني,4,16200,162.25
2025,1,جازان,السران,السران,شقة,سكني,1,18000,100
2025,1,جازان,صمبه,صمبه,محل,تجاري,2,0,0
2025,1,جازان,جازان,الروضة,معرض تجاري,تجاري,9,0,0
2025,1,جازان,صبياء,النجوم,استديو,سكني,1,9600,480
2025,1,جازان,العقص,العقص,شقة,سكني,1,18000,200
2025,1,جازان,القائم الاسفل,القائم الاسفل,محل,تجاري,2,0,0
2025,1,جازان,ابوالحشاف,ابوالحشاف,دور,سكني,1,12000,120
2025,1,جازان,باجر,باجر,شقة,سكني,3,16000,96.39
2025,1,جازان,صامطة,الورود,استديو,سكني,2,11400,562.5
2025,1,جازان,السلام بني واصل,الزخميه,دور,سكني,1,12000,42.85
2025,1,جازان,المضايا,الحكاميه,شقة,سكني,61,16465.38,137.77
2025,1,جازان,جازان,الثريا 1,محل,تجاري,1,0,0
2025,1,جازان,هروب - الحدمه,الحدمه,شقة,سكني,2,18000,241.07
2025,1,جازان,المضبع,المضبع,شقة,سكني,1,16000,58.39
2025,1,جازان,أحد المسارحة,المطلع,محل,تجاري,66,0,0
2025,1,جازان,بير الشار,بير الشار,محل,تجاري,1,0,0
2025,1,جازان,الشواجرة,الشواجرة,شقة,سكني,1,18000,90
2025,1,جازان,الشعوب,الشعوب,شقة,سكني,1,14400,160
2025,1,جازان,الجوفاء,الجوفاء,شقة,سكني,4,16500,139.94
2025,1,جازان,أم الدود العليا,أم الدود العليا,شقة,سكني,4,14000,112.35
2025,1,جازان,جازان,المطار,مكتب,تجاري,17,0,0
2025,1,جازان,جازان,الأساملة,شقة,سكني,3,17833.33,158.92
2025,1,جازان,الشواجرة والجرابية,الشواجرة والجرابية,شقة,سكني,1,16500,86.84
2025,1,جازان,المجرم الداثري,المجرم الداثري,شقة,سكني,2,17750,118.75
2025,1,جازان,مشعود,مشعود,محل,تجاري,5,0,0
2025,1,جازان,حبيل الواديين,حبيل الواديين,شقة,سكني,4,17833.33,190.87
2025,1,جازان,صبياء,الناصرية,فيلا,سكني,NULL,9000,60
2025,1,جازان,صير,صير,شقة,سكني,3,11100,112.98
2025,1,جازان,نيد الباه,نيد الباه,شقة,سكني,2,18000,225
2025,1,جازان,ال سلمى,ال سلمى,شقة,سكني,1,18000,180
2025,1,جازان,الحيد,الحيد,شقة,سكني,1,18000,150
2025,1,جازان,صبياء,الفيصلية,مكتب,تجاري,4,0,0
2025,1,جازان,خطوه ام نصر,خطوه ام نصر,شقة,سكني,2,6000,75
2025,1,جازان,حله القميري,حله القميري,شقة,سكني,1,16800,115.86
2025,1,جازان,غربى شبان,غربى شبان,شقة,سكني,2,18010,100.05
2025,1,جازان, الدائر - المحنيه,المحنيه,شقة,سكني,3,6000,55.55
2025,1,جازان,صبيا - طناطن,طناطن,شقة,سكني,3,14800,116.84
2025,1,جازان,صبيا - الرخه,الرخه,استديو,سكني,1,6000,166.66
2025,1,جازان,الدرب - بحره,بحره,شقة,سكني,17,14895.93,107.62
2025,1,جازان,ضمد,ضمد,شقة,سكني,146,15969.84,143.57
2025,1,جازان,العذر ونيدالداره,العذر ونيدالداره,شقة,سكني,1,12000,94.2
2025,1,جازان,خبت سعيد,خبت سعيد,شقة,سكني,17,17181.81,154.22
2025,1,جازان,الدرب - القضب,القضب,شقة,سكني,1,18000,180
2025,1,جازان,ردش الاسفل,ردش الاسفل,شقة,سكني,1,18000,90
2025,1,جازان,جازان,الرحاب 2,دور,سكني,2,12000,56.95
2025,1,جازان,الدواحشه,الدواحشه,شقة,سكني,1,14000,116.66
2025,1,جازان,منفوخه,منفوخه,محل,تجاري,18,0,0
2025,1,جازان,السرب,السرب,محل,تجاري,1,0,0
2025,1,جازان,فيفاء - الفرشة,الفرشة,شقة,سكني,2,18000,100
2025,1,جازان,قائم احمديني,قائم احمديني,شقة,سكني,1,18000,180
2025,1,جازان,جازان,الناصرية 2,محل,تجاري,1,0,0
2025,1,جازان,الدرب - المصمور,المصمور,شقة,سكني,1,13500,115
2025,1,جازان,الداير,الداير,شقة,سكني,1,18000,112.5
2025,1,جازان,منهبه,منهبه,محل,تجاري,1,0,0
2025,1,جازان,الشرج,الشرج,محل,تجاري,1,0,0
2025,1,جازان,سمره,سمره,شقة,سكني,7,13266.66,122.85
2025,1,جازان,صامطة,البدوي,شقة,سكني,88,15072.64,113.94
2025,1,جازان,القوامة,القوامة,شقة,سكني,3,16000,120
2025,1,جازان,ختب,ختب,دور,سكني,1,9600,97.95
2025,1,جازان,العيدابى,العيدابى,شقة,سكني,10,14250,134.24
2025,1,جازان,الشعفوليه,الشعفوليه,شقة,سكني,4,10400,103.33
2025,1,جازان,الشبيكات,نصب العكاس,شقة,سكني,1,12000,94.2
2025,1,جازان,ضمد,الخالدية,استديو,سكني,2,9000,300
2025,1,جازان,ابو القعايد,ابو القعايد,شقة,سكني,14,11666.66,100.97
2025,1,جازان,جازان,الفقهاء,شقة,سكني,21,14233.33,98.09
